அணில்	squirrel
தாள	percussion
மார்கரெட்	margaret
ஆக்சிசனேற்றம்	oxidation
காஸ்	cass
ஆலிவர்	oliver
தடுக்கிறது	prevents
தடுக்கிறது	blocking
போதி	bodhi
டிக்	dick
ஹக்	haque
ஹக்	haq
ஒன்றோடொன்று	seas
பிராமணர்	brahmin
பார்த்தேன்	saw
யாரேனும்	anyone
யாரேனும்	someone
சாபம்	curse
சகோதர	brotherly
தந்தையை	father
பள்ளம்	groove
பாதம்	feet
ராதிகா	radhika
ராஜேஷ்	rajesh
தீர்மானிக்க	determine
எட்	ed
இறக்கை	wing
குமாரி	kumari
வேதாரண்யம்	vedaranyam
சுரப்பிகள்	mussels
துண்டுகள்	slices
கலி	cali
கலி	gali
அனுப்பப்பட்டது	sent
அன்னம்	swan
வசந்தம்	vasantham
வசந்தம்	spring
தையல்	sewing
தையல்	stitch
பைட்	byte
பாரம்பரியமாக	traditionally
பாத்திமா	fatima
பாத்திமா	fatimah
உடல்கள்	bodies
உடலும்	physically
ரசாக்	razak
ஈரப்பதம்	humidity
ஜெய்ப்பூர்	jaipur
உரிமையாளர்கள்	owners
சுற்றுலாத்துறை	tourism
ஆல்பத்தை	album
மறுசீரமைப்பு	restoration
எப்போதாவது	often
எப்போதாவது	seldom
திதி	didi
முகவரிகள்	addresses
தூண்டி	prompt
ராகவன்	raghavan
புழுக்கள்	worms
உமா	uma
காவலர்கள்	policemen
நாடோடி	nomad
உல்	ul
சதுரம்	square
விஷயம்	thing
விஷயம்	mercia
ஒலிப்பதிவு	soundtrack
பாய்ஸ்	boys
ரவிச்சந்திரன்	ravichandran
வருத்தம்	upset
கூழ்	puree
புள்ளிவிவரங்கள்	stats
புள்ளிவிவரங்கள்	insights
சந்தானம்	santhanam
தற்காப்புக்	martial
நாதன்	nathan
ஓசூர்	hosur
அறிவிக்க	informs
அவ்	av
ஈட்டி	spear
தசைகள்	muscles
ராஜேந்திர	rajendra
இராமகிருஷ்ண	ramakrishna
ஹே	hey
காங்	kang
காங்	kong
நாகம்	cobra
நிற்கிறது	stands
வால்ட்	walt
தூதர்	ambassador
காதலை	love
மோரிசன்	morrison
ஜவஹர்லால்	jawaharlal
தொகுக்க	edit
டைசன்	tyson
துப்பாக்கிகள்	guns
லக்னோ	lucknow
கயானா	guyana
ஆய்லர்	euler
மில்	mill
மில்	mil
புபொப	ngc
சாட்சி	testify
சாட்சி	witness
மதராஸ்	madras
வருடாந்த	annual
விளாடிமிர்	vladimir
கிங்ஸ்	kings
நுழையும்	entering
கலிங்க	kalinga
மங்கோலிய	mongolian
ரோஜர்	roger
எடுத்தது	taken
சுண்ணாம்பு	lime
பாக்கு	areca
சிவில்	civil
சோசலிச	socialist
லீலா	leela
ஆலோசகர்	consultant
ஆலோசகர்	counselor
வரலாறுகள்	histories
யூரிக்	uric
துடிப்பு	beat
கட்டிகள்	cubes
கணக்கீடு	enumeration
ஆஸ்டின்	austin
பேர்கன்	bergen
அற்புதமான	wonderful
அற்புதமான	fabulous
அற்புதமான	amazing
சரித்திர	historical
பேரழிவு	disaster
திருட்டு	theft
வெயில்	sunny
சிறியது	small
சிறியது	smaller
நாக்கு	tongue
லாங்	lang
லாங்	long
இளமைப்	loitering
பந்தய	racing
தாகம்	thirst
தாகம்	thirsty
குளங்கள்	pools
தேசியம்	nationalism
டைகர்	tiger
கீழ	bottom
ஆர்வலர்	activist
கூர்மையான	sharp
பனிக்கட்டி	ice
பெறுகிறார்	gets
பெறுகிறார்	receiving
பெறுகிறார்	getting
முறுக்கு	screw
வில்லன்	villain
வில்லன்	villian
அடைக்கலம்	refuge
கராச்சி	karachi
ஒளிரும்	glowing
யாஹூ	yahoo
அழைக்கப்பட்டனர்	invited
பீர்	peer
பீர்	beer
இயற்கையாகவே	naturally
துளைகள்	sockets
துளைகள்	socks
மந்திர்	mandir
ஐஸ்	ice
படைத்து	created
தண்ணீரை	water
கிராமப்புறங்களில்	countryside
நுட்பமான	interior
நுட்பமான	delicate
நேரங்கள்	times
மில்லர்	miller
கல்யாணி	kalyani
நாட்	nat
இயலாமை	disability
மதிய	afternoon
தன்னார்வ	volunteer
சல்பேட்டு	sulfate
தரநிலைகள்	standards
பேகம்	begum
பந்தயம்	wager
பந்தயம்	betting
பந்தயம்	race
பந்தயம்	bet
எதிர்கொள்ளும்	facing
குமார	kumara
காப்பி	coffee
மலம்	feces
முரண்பாடுகள்	conflicts
ஆம்பூர்	ambur
செயலில்	active
கூட்டங்களில்	gatherings
ஒட்டுமொத்தமாக	overall
ஓவர்	over
கனேடிய	canadian
விருந்தினர்	guest
விருந்தினர்	guests
பதினேழு	seventeen
ரோபோ	robot
சுற்றளவு	perimeter
சுற்றளவு	circumference
சுற்றளவு	radius
}>	}>
வாத்து	duck
தகுதிகள்	qualifications
மதன்	madhan
ராயன்	raya
முடிவடைகிறது	ends
மகாலட்சுமி	mahalaxmi
எதிரில்	opp
வெங்கட்ராமன்	venkataraman
வெங்கட்ராமன்	venkatraman
சலீம்	saleem
சலீம்	salim
சரத்	sarath
சரத்	sharath
சரத்	sharad
காசுகள்	coins
ரேவதி	revathi
இணைப்பில்	online
ஆடம்ஸ்	adams
உண்மைகள்	facts
வாய்ப்புக்கள்	chances
கீதா	geetha
கீதா	geeta
பொறியாளர்கள்	engineers
ஸ்காட்லாந்து	scotland
பயிற்சியாளர்	trainer
பயிற்சியாளர்	coach
பயிற்சியாளர்	trainee
நரம்புத்	nervous
மாடுகள்	cows
பட்டயம்	charter
பட்டயம்	diploma
பூந்தமல்லி	poonamallee
யூதர்	jewish
யூதர்	jews
ஆசிரமம்	ashram
பஞ்சாங்கம்	nakshatra
பஞ்சாங்கம்	almanac
தடுத்தல்	blocking
நருடோ	naruto
தீர்மானிக்கும்	deciding
மாரத்தான்	marathon
யோசனை	idea
திடமான	solid
திடமான	silicon
திடமான	solution
பன்றிகள்	pigs
சில்வர்	silver
தேசியவாத	nationalist
ஆவணப்படம்	documentary
தீர்த்த	tirth
ஃபிஃபா	fifa
நீட்சி	stretching
காபி	coffee
மேட்டுப்பாளையம்	mettupalayam
டாக்கா	dhaka
மன்மோகன்	manmohan
ஆர்வலர்கள்	activists
ஆர்வலர்கள்	enthusiasts
பதிவேற்றம்	upload
புறப்படும்	departure
ஆத்மா	soul
ஆத்மா	atma
எதிர்காலம்	future
பூர்வீக	native
கஸ்தூரி	kasturi
பார்சிலோனா	barcelona
புழு	worm
பிர்லா	birla
பொருத்தப்பட்ட	fitted
இலகு	lak
நிரப்பி	filler
திடீரென்று	suddenly
மீனவர்கள்	fisherman
இயற்றி	generator
நந்தகுமார்	nandakumar
சரவணன்	saravanan
மங்கோலியா	mongolia
செலுத்து	pay
காமிக்	comic
எழுபது	seventy
சரோஜா	saroja
குற்றவாளிகள்	culprits
குற்றவாளிகள்	criminals
குற்றவாளிகள்	guilty
குற்றவாளிகள்	sinners
நந்தினி	nandini
பத்தி	paragraph
முயல்	rabbit
மாட்ரிட்	madrid
மூன்றாவதாக	thirdly
பொம்மைகள்	dolls
பொம்மைகள்	toys
பாண்டவர்கள்	pandava
பெருக்கி	amplifier
வெறுப்பு	hatred
வெறுப்பு	hate
இடமாற்றம்	transfer
இடமாற்றம்	replacement
நரம்புகள்	veins
நரம்புகள்	nerves
மாமல்லபுரம்	mahabalipuram
பராக்	barack
பராக்	barak
படிவம்	form
வாசனை	aroma
வாசனை	smell
வாசனை	perfume
ஜோலி	jolie
உடைந்த	broken
போட்டியாளர்	player
பெட்ரோல்	petrol
பெட்ரோல்	gasoline
மூட்டு	joint
மூட்டு	arthritis
உங்களின்	your
உபுண்டு	ubuntu
இருள்	dark
இருள்	darkness
கேன்	kane
பிரதிபலிக்கும்	reflect
பிரதிபலிக்கும்	reflecting
மீத்தேன்	methane
தலைவலி	headache
கொல்லும்	kills
கொல்லும்	killing
குப்பை	trash
குப்பை	rubbish
வயிற்று	stomach
வயிற்று	abdominal
டெக்கான்	deccan
கண்டுபிடிப்பாளர்	inventor
ஐரோப்பியர்கள்	europeans
ஜெர்சி	jersey
பிங்க்	pink
சுவர்களில்	walls
காரை	mortar
ஆண்ட்ரூ	andrew
நந்தா	nanda
சிடி	cd
பூஞ்சை	fungus
பல்கேரியா	bulgaria
ஷேக்	sheikh
ஷேக்	shack
ஷேக்	shake
தூண்டுதல்	stimulation
தூண்டுதல்	seduction
தூண்டுதல்	influences
மணிலா	manila
செந்தில்	senthil
லடாக்	ladakh
தியாகராஜர்	tyagaraja
கிண்டி	guindy
வாசுதேவன்	vasudevan
நாயகம்	democracy
கோபாலகிருஷ்ணன்	gopalakrishnan
தாமதம்	delay
தாமதம்	delayed
நேற்று	yesterday
பாவனை	simulate
பாவனை	simulation
கிரகாம்	graham
தயவு	pls
தயவு	please
லாமா	lama
கமல்	kamal
அறுபது	sixty
பிரிவுகளும்	divisions
பாடநூல்	textbook
இராஜராஜ	rajaraja
மிர்சா	mirza
முகங்கள்	faces
தயிர்	yogurt
தயிர்	curd
கற்பிக்கும்	teaching
ராமர்	rama
சுவரொட்டி	poster
சீரற்ற	random
இக்பால்	iqbal
சைக்கிள்	bicycle
சரவாக்	sarawak
ஹவுரா	howrah
விளக்கப்படம்	chart
புரிகிறது	gotcha
இம்பீரியல்	imperial
திரிபு	strain
பாரு	baru
குறிப்பிடப்பட்டது	specified
அவுரங்காபாத்	aurangabad
பன்மை	plural
குலோத்துங்க	kulothunga
மணமகன்	bridegroom
மணமகன்	groom
வருக	welcome
நிலையானது	standard
திட்டமிடப்பட்டது	scheduled
இறக்க	die
சமாதானம்	peace
செயலிழப்பு	outage
செயலிழப்பு	crash
ஊட்டி	ooty
நம்பகமான	confidential
கதாபாத்திரங்கள்	characters
நின்றது	stop
பக்கத்தைப்	page
காலக்கோடு	timeline
லிட்	litt
விஞ்ஞானி	scientist
சாகா	saga
தோல்வியை	defeat
பாம்பே	bombay
தூண்டல்	prompt
தூண்டல்	inspiration
எதுவுமில்லை	nothing
எதுவுமில்லை	none
தவறுகள்	mistakes
தவறுகள்	errors
அனுபவங்கள்	reminisce
அனுபவங்கள்	experiences
பத்திரங்கள்	ensuring
ஆசியான்	asean
ஹங்கேரி	hungary
இலக்கங்கள்	digits
பொருந்தாது	applicable
சவாரி	ride
பொறுப்புகள்	responsibilities
கள்ளர்	kallar
வாஸ்	vaz
பட்டதாரி	graduate
யமுனை	yamuna
வணங்கும்	worship
மாரி	mari
ராஜ்குமார்	rajkumar
தாலுகா	taluka
சித்திரவதை	torture
நம்முடைய	ours
நம்முடைய	our
ஒளிபரப்பப்பட்டது	aired
ஸ்டீல்	steel
வாகனத்தில்	flipping
க்குள்	within
சேமிக்க	store
பட்டேல்	patel
இறால்	shrimps
இறால்	prawn
