மற்றும்	and
ஒரு	one
இந்த	this
இந்த	these
ஆம்	yes
இது	this
உள்ள	in
மக்கள்	peoples
மக்கள்	people
அல்லது	or
என்ற	titled
என்ற	the
என்ற	derived
ஆண்டு	year
என்று	that
என்பது	is
தமிழ்	tamil
இந்திய	indian
இருந்து	from
பல	many
பல	multiple
முதல்	from
முதல்	first
இல்	at
இல்	in
மேலும்	more
தொகை	amount
என	as
சில	few
சில	some
உள்ளது	available
உள்ளது	exists
}}	}}
அவர்	him
அவர்	her
அவர்	he
இருக்கும்	be
இருக்கும்	existing
வெளி	outsourcing
வெளி	external
வெளி	space
அமைந்துள்ளது	located
மூலம்	source
மூலம்	by
மூலம்	original
கொண்ட	contained
வரை	to
வரை	draw
வரை	until
பின்னர்	then
பின்னர்	later
ஆனால்	but
வேண்டும்	need
வேண்டும்	want
வேண்டும்	should
கொண்டு	brought
கொண்டு	bring
கொண்டு	with
பட்டியல்	playlist
பட்டியல்	list
அமைந்துள்ள	located
அதன்	its
பெண்கள்	females
பெண்கள்	girls
பெண்கள்	women
கொண்டுள்ளது	has
கொண்டுள்ளது	contains
போது	during
போது	when
இணைப்புகள்	connections
இணைப்புகள்	attachments
இணைப்புகள்	links
இரண்டு	two
தகவல்	info
தகவல்	information
தகவல்	message
அது	it
மாவட்ட	district
மொத்த	total
வளர்ச்சி	development
வளர்ச்சி	growth
மாவட்டம்	district
அந்த	that
மிகவும்	very
}}}	}}}
திட்டம்	project
திட்டம்	plan
தேசிய	national
கலந்து	attending
இலங்கை	srilanka
இலங்கை	ceylon
இலங்கை	srilankan
இங்கு	here
கி	ki
கி	kyi
அமெரிக்க	american
அடிப்படை	basis
அடிப்படை	base
அடிப்படை	basic
பெயர்	name
பெயர்	label
மூன்று	three
ஆண்கள்	males
ஆண்கள்	men
ஆண்கள்	mens
ஒன்று	gather
ஒன்று	either
ஒன்று	one
ஐக்கிய	united
புதிய	new
புதிய	fresh
அவரது	his
அவரது	her
மொத்தம்	total
மொத்தம்	totals
வது	rd
வது	th
இவை	these
டி	de
சிறந்த	great
சிறந்த	best
சிறந்த	excellent
அரசு	government
அரசு	govt
வசதிகள்	facilities
இந்தியா	india
பெரிய	great
பெரிய	big
பெரிய	large
ஊரக	rural
நாள்	day
பிறப்பு	generic
பிறப்பு	born
பிறப்பு	birth
பிறப்பு	hatch
இருந்தது	was
முக்கிய	main
முக்கிய	important
பல்வேறு	variety
பல்வேறு	various
இருந்த	were
திரைப்படங்கள்	movies
தான்	is
பிற	other
அவர்கள்	them
அவர்கள்	they
மொழி	language
முறை	method
முறை	procedure
முறை	mode
கோயில்	temple
விருது	award
பொதுவாக	general
அக்டோபர்	october
அக்டோபர்	oct
செய்து	committed
தன்	his
தன்	throws
தொடர்ந்து	keep
இரண்டாம்	second
இரண்டாம்	secondary
சென்னை	chennai
வரும்	comes
வரும்	coming
அன்று	on
மே	may
ஒவ்வொரு	every
ஒவ்வொரு	each
என்	my
மட்டுமே	only
வரலாறு	history
பகுதியில்	area
நூல்கள்	books
சேர்ந்த	belonging
பின்	pin
பின்	after
பின்	back
இல்லை	not
இல்லை	no
நவம்பர்	november
அதிக	high
காலத்தில்	period
மிக	very
மிக	toothache
மீது	vehemently
நான்கு	four
பிறகு	then
பிறகு	later
பிறகு	after
அரசியல்	politics
அரசியல்	political
பகுதி	partial
பகுதி	area
பகுதி	region
பகுதி	part
பகுதி	segment
பற்றி	about
ஆறு	six
ஆறு	river
மீண்டும்	again
}}}}	}}}}
இங்கிலாந்து	england
காலம்	season
காலம்	period
காலம்	time
நிலை	position
நிலை	state
நிலை	level
ஒரே	same
போர்	war
காரணமாக	due
பொருள்	material
பொருள்	product
பொருள்	object
பொருள்	synonyms
பொருள்	subject
அறிவியல்	science
பேச்சு	speech
பேச்சு	talk
இதனால்	with
அனைத்து	all
கல்வி	education
ஏப்ரல்	apr
ஏப்ரல்	april
உலக	world
உலக	global
கே	gay
முடியும்	can
கீழ்	down
கீழ்	lower
கீழ்	under
கீழ்	bottom
இடம்	place
இடம்	location
இடம்	space
செப்டம்பர்	september
பேர்	others
பெரும்	great
பெரும்	insolent
சி	chi
நாடுகள்	countries
தொகுதி	albums
தொகுதி	system
தொகுதி	module
கிழக்கு	east
கிழக்கு	orient
கிழக்கு	eastern
அமைப்பு	setup
அமைப்பு	system
அமைப்பு	setting
அமைப்பு	organization
அமைப்பு	structure
அளவு	amount
அளவு	quantity
அளவு	scale
அளவு	size
நகர்	nagar
மற்ற	other
மற்ற	misc
இந்து	hindu
இவற்றையும்	these
தற்போது	now
தற்போது	currently
பாடல்	song
உண்டு	available
உண்டு	have
வாழும்	living
இருக்கிறது	available
இருக்கிறது	is
நிறுவனம்	company
நிறுவனம்	employer
நிறுவனம்	organization
நிறுவனம்	organisation
எனவே	so
நபர்கள்	people
துடுப்பாட்டக்காரர்	cricketer
காலனி	colony
மேற்கு	west
மேற்கு	western
தலைவர்	president
தலைவர்	leader
முதலில்	first
சார்ந்த	relative
சார்ந்த	dependency
சார்ந்த	based
மேல்	top
மேல்	up
நாடு	country
மட்டும்	only
அடிப்படையில்	basically
அடிப்படையில்	basis
எண்	count
எண்	number
குறிப்பிட்ட	stated
குறிப்பிட்ட	specified
குறிப்பிட்ட	specific
செய்ய	do
செய்ய	make
சிறிய	small
சிறிய	little
வந்த	came
நான்	me
நான்	am
வேறு	other
மார்ச்	march
நிலையில்	condition
நிலையில்	stage
பெண்	girl
பெண்	woman
பெண்	female
வெற்றி	success
வெற்றி	wins
வெற்றி	winning
வெற்றி	won
வெற்றி	victory
வெற்றி	win
இணைப்பு	connection
இணைப்பு	link
இணைப்பு	attachment
திரைப்படம்	movie
திரைப்படம்	film
வகை	category
வகை	type
வகை	mode
ஐந்து	five
அதே	same
சிறப்பு	featured
சிறப்பு	special
தமிழர்	tamils
விட	than
சுமார்	about
என்பதை	whether
கட்டுரைகள்	articles
படி	read
படி	step
மனித	human
பெரும்பாலும்	almost
பெரும்பாலும்	often
பெரும்பாலும்	mostly
கட்சி	party
பொது	common
பொது	public
பொது	general
கல்லூரி	college
இசை	music
முறையில்	mode
நாட்டின்	country
மத்திய	central
அதில்	atlee
மில்லியன்	million
மில்லியன்	millions
நகரம்	city
எந்த	any
எந்த	which
எந்த	no
எனப்படும்	called
நீர்	water
செய்யும்	doing
இணைந்து	join
விக்கிப்பீடியா	wikipedia
சென்று	gone
பார்க்க	see
அணி	matrix
அணி	team
எழுதிய	written
எழுதிய	wrote
நிலையம்	station
தொடர்பான	related
மீட்டர்	metre
மீட்டர்	meters
மீட்டர்	meter
இடத்தில்	place
கோவில்	temple
கோவில்	kovil
மாதம்	month
மதுரை	madurai
ஆய்வு	study
ஆய்வு	research
வட	north
குறைந்த	lesser
குறைந்த	lowest
குறைந்த	low
குறைந்த	less
டிசம்பர்	december
டிசம்பர்	dec
முன்	front
முன்	pre
முன்	before
வாழ்க்கை	life
சனவரி	january
புனித	holy
ஆகியவை	vis
இரண்டாவது	second
இரண்டாவது	secondary
ஆங்கிலம்	english
அங்கு	there
தொழில்	business
தொழில்	industry
தொழில்	profession
பழைய	old
பழைய	older
ஆண்டுகள்	years
குறிப்பாக	particularly
குறிப்பாக	especially
குறிப்பாக	specifically
குறிப்பாக	specially
பார்க்கவும்	visit
பார்க்கவும்	watch
துறை	department
துறை	port
குறிக்கும்	pointing
கடல்	marine
கடல்	sea
கடல்	ocean
போல	like
இதற்கு	for
சிறு	small
சிறு	minor
தென்	south
உயர்	high
உயர்	deluxe
வடக்கு	north
ஆட்சி	kingdom
ஆட்சி	rule
ஆட்சி	governance
ஆட்சி	reign
மக்களின்	people
நோய்	illness
நோய்	disease
தேர்தல்	election
உற்பத்தி	production
உற்பத்தி	manufacturing
ஆக	aug
வந்தது	arrived
வந்தது	came
கலை	arts
கலை	art
தங்கள்	their
சமூக	social
போல்	as
போல்	bol
போல்	like
தர	quality
நூற்றாண்டு	century
அவருடைய	his
உலகின்	worlds
அமெரிக்கா	america
அமெரிக்கா	americas
பகுதிகளில்	areas
ஜி	ji
வந்து	come
பரிசு	prize
பரிசு	gift
பிரிவு	category
பிரிவு	division
பிரிவு	section
உடல்	body
இவர்கள்	these
கூட	even
கூட	also
கூட	too
எழுத்தாளர்	writer
குழு	group
இலக்கிய	literature
இலக்கிய	literary
விளையாட்டு	gaming
விளையாட்டு	sports
விளையாட்டு	game
விளையாட்டு	sport
உறுப்பினர்கள்	members
இறப்பு	death
இறப்பு	mortality
அடி	feet
அடி	ft
அடி	hit
துணை	partner
துணை	support
துணை	vice
துணை	sub
துணை	deputy
பதிப்பு	edition
பதிப்பு	version
சொல்	say
சொல்	word
சொல்	tell
தெற்கு	south
கட்டுரை	essay
கட்டுரை	article
கட்டுரை	composition
கட்டுரை	articles
வட்டம்	circle
சராசரி	average
சராசரி	mean
