que	that
per	by
per	for
les	les
els	the
amb	with
com	as
com	like
més	more
ser	be
bar	bar
seu	headquarters
van	van
era	era
seva	seva
text	text
també	also
entre	between
fou	was
anys	years
any	year
població	population
però	but
aquest	this
altres	other
altres	others
estat	state
estat	been
després	after
són	are
fins	until
des	des
aquesta	this
eren	were
estats	states
persones	people
from	from
part	part
cap	none
sobre	on
sobre	envelope
gran	great
durant	during
durant	durant
tot	everything
enllaços	links
dos	two
externs	external
família	family
ciutat	city
quan	when
habitatges	houses
qual	which
molt	very
tenia	tapeworm
nord	north
habitants	inhabitants
barcelona	barcelona
dones	women
res	nothing
segons	seconds
primer	first
segle	century
nom	name
tres	three
sud	south
lloc	place
nova	new
nova	nova
homes	men
primera	first
dues	two
guerra	war
següent	next
sense	without
això	this
general	general
municipi	municipality
catalunya	catalonia
vivien	vivien
forma	shape
forma	form
mateix	same
així	so
fet	done
han	han
encara	still
mort	death
dades	data
només	only
només	just
regió	region
temps	time
empreses	companies
troba	find
grup	group
contra	against
admin	admin
properes	upcoming
famílies	families
frança	france
poblacions	populations
fills	children
rei	king
francès	french
mentre	while
nombre	number
tots	all
edició	editing
edició	publishing
isbn	isbn
renda	rent
quatre	four
partit	party
alguns	some
aquests	these
fill	son
nou	new
març	march
setembre	september
principal	main
menys	less
color	color
color	colour
món	world
octubre	october
empresa	company
abans	before
edat	age
web	web
jpg	jpg
dins	inside
església	church
maig	may
terme	terme
casa	house
història	story
història	history
país	country
segona	second
joan	john
joan	joan
final	end
govern	government
est	east
est	est
vida	life
poder	power
totes	all
situat	situated
gener	january
tipus	type
habitatge	housing
juny	june
diferents	different
parelles	couples
parelles	pairs
diversos	several
català	catalan
fitxa	sheet
insee	insee
títol	title
haver	haver
oest	west
desembre	december
què	what
san	san
nacional	national
nacional	nacional
abril	april
major	major
agost	august
vivint	living
poble	village
centre	center
centre	centre
perquè	because
aquestes	these
riu	river
disc	disc
mostra	sample
mostra	show
novembre	november
obres	works
millor	best
espanya	spain
sistema	system
santa	santa
juliol	july
diverses	several
total	total
universitat	university
dia	day
mitjà	medium
data	date
world	world
departament	department
construcció	construction
vol	flight
premi	prize
premi	award
exemple	example
febrer	february
escola	school
cinc	five
espècie	species
principals	main
madrid	madrid
font	source
zona	zone
los	los
grans	large
banda	band
banda	banda
central	central
província	province
oficial	officer
superfície	surface
maria	maria
molts	many
cens	census
equip	team
amèrica	america
amèrica	americas
ara	ara
ara	now
qui	who
dir	dir
punt	punt
punt	point
cest	cest
iii	iii
algunes	some
regne	kingdom
john	john
actualment	currently
cas	case
unitats	units
causa	cause
activitats	activities
president	president
article	article
exèrcit	army
música	music
aigua	water
increment	increase
llavors	then
llavors	seeds
conegut	known
conegut	acquaintance
terra	earth
gray	gray
saint	saint
època	epoch
barra	barra
barra	bar
sèrie	series
art	art
club	club
càrrec	charge
etapa	stage
rgb	rgb
república	republic
parís	paris
ordre	command
ordre	order
donar	give
cosa	thing
ell	him
