préférence	präferenz
composent	bilden
alabama	alabama
stan	stan
queensland	queensland
holstein	holstein
escalade	klettern
claudia	claudia
allusion	anspielung
mécanismes	mechanismen
mathilde	mathilde
oslo	oslo
ice	ice
suffisant	ausreichend
wendy	wendy
disputés	gestritten
ricardo	ricardo
rhodes	rhodos
caché	versteckt
oscars	oscars
mrc	mrc
renommer	umbenennen
cincinnati	cincinnati
ltd	ltd
cyril	cyril
judith	judith
cie	cie
carol	carol
rita	rita
dupont	dupont
séparer	trennen
massive	massive
visites	besuche
visites	besichtigungen
albanais	albaner
albanais	albanische
head	head
portland	portland
prétexte	vorwand
julius	julius
mitterrand	mitterrand
socialisme	sozialismus
impasse	sackgasse
adrian	adrian
dialecte	dialekt
juventus	juventus
genèse	genesis
recteur	rektor
loups	wölfe
damien	damien
frise	friesland
pertinence	relevanz
complexité	komplexität
zhang	zhang
béatrice	beatrice
jonas	jonas
slalom	slalom
natal	natal
antoinette	antoinette
prestigieux	renommierten
hector	hector
bienvenue	willkommen
casa	casa
shaw	shaw
accompagner	begleiten
incline	neigt
papiers	papiere
pêcheurs	fischer
villers	villers
vecteur	vektor
grange	scheune
break	kombi
éclate	platzt
statuts	statuten
malcolm	malcolm
fonda	fonda
dommage	schade
slovaque	slowakisch
moldavie	moldawien
nationalistes	nationalisten
script	skript
accordé	bewilligt
détention	haft
ward	ward
bastia	bastia
matthieu	matthäus
chaux	kalk
planche	brett
pionnier	pionier
assise	assisi
perche	barsch
mystique	mystische
when	when
zoo	zoo
lotus	lotus
innocent	unschuldig
trek	trek
leclerc	leclerc
fabriqué	hergestellt
comportements	verhaltensweisen
emprisonné	inhaftiert
leçons	lektionen
cardinaux	kardinäle
locomotives	lokomotiven
paraguay	paraguay
oran	oran
rodríguez	rodríguez
ruth	ruth
expressions	ausdrücke
tactique	taktik
balzac	balzac
originaux	originale
vera	vera
boeing	boeing
newton	newton
armstrong	armstrong
sauvé	gerettet
sauve	rette
sauve	rettet
alonso	alonso
phrases	sätze
jambes	beine
cracovie	krakau
transit	transit
sensibilité	empfindlichkeit
épidémie	epidemie
oreille	ohr
gil	gil
céréales	getreide
pts	pts
confirmer	bestätigen
réalisatrice	regisseurin
diminuer	verringern
obstacles	hindernisse
délégués	delegierte
rabat	rabat
cherbourg	cherbourg
sociologue	soziologe
voté	abgestimmt
chalon	chalon
anatomie	anatomie
voltaire	voltaire
rogers	rogers
occurrence	vorkommen
rubrique	rubrik
pcf	pcf
santo	santo
cyclo	cyclo
vérification	überprüfung
renouvellement	erneuerung
corrèze	corrèze
entrepreneur	unternehmer
martín	martín
généalogie	genealogie
oricon	oricon
jamie	jamie
psychanalyse	psychoanalyse
manœuvre	manöver
pompiers	feuerwehr
vagues	wellen
népal	nepal
cérémonies	zeremonien
martyr	märtyrer
assassin	mörder
bactéries	bakterien
véronique	véronique
biographies	biografien
chuck	chuck
discographie	diskographie
faillite	bankrott
kyoto	kyoto
invisible	unsichtbar
cambodge	kambodscha
réacteur	reaktor
standards	standards
panthéon	pantheon
légumes	gemüse
niger	niger
prose	prosa
caserne	kaserne
anthropologie	anthropologie
dupuis	dupuis
weber	weber
cédric	cédric
intervalle	intervall
quarantaine	quarantäne
concurrents	wettbewerber
symptômes	symptome
estimations	schätzungen
jackie	jackie
scope	scope
dissous	aufgelöst
réplique	replica
mètre	meter
staline	stalin
relecture	korrekturlesen
ban	ban
azerbaïdjan	aserbaidschan
arcs	bögen
tgv	tgv
walsh	walsh
anecdote	anekdote
directeurs	direktoren
canard	ente
bits	bits
chirac	chirac
panorama	panorama
icône	symbol
progressif	progressiv
progressif	schrittweise
garnier	garnier
puf	puf
size	size
osaka	osaka
oreilles	ohren
patrouille	patrouille
aoc	aoc
zagreb	zagreb
creek	creek
vaud	waadt
fusée	rakete
grès	sandstein
notation	rating
prairies	wiesen
bennett	bennett
rendement	ertrag
requêtes	abfragen
reynolds	reynolds
canvas	canvas
xve	xve
annexion	annexion
brad	brad
jolie	hübsche
bénéfice	gewinn
colmar	colmar
electric	electric
leroy	leroy
athletic	athletic
amélie	amélie
évangile	evangelium
tapis	teppiche
solides	feststoffe
marius	marius
pratiquer	üben
wall	wall
