der	le
die	les
und	et
von	par
von	de
des	du
mit	avec
ist	est
für	pour
auf	sur
ein	un
ein	une
eine	une
auch	également
auch	aussi
sich	se
nicht	pas
nach	après
nach	selon
war	war
war	était
bei	chez
sie	vous
sie	elle
ich	je
ich	moi
werden	seront
werden	devenir
sind	sont
oder	ou
wird	sera
durch	par
score	score
einen	un
dass	que
aber	mais
wie	comme
wie	comment
nur	uniquement
nur	seulement
unter	sous
artikel	articles
man	man
vor	avant
diese	cette
diese	ces
vom	du
kann	peut
hier	ici
diskussion	discussion
seine	ses
seit	depuis
dieser	cette
dieser	ce
jahr	année
wenn	si
dann	ensuite
dann	alors
dann	puis
zwei	deux
jahre	années
mai	mai
isbn	isbn
was	quoi
hatte	avait
zwischen	entre
gegen	contre
keine	néant
keine	aucune
waren	marchandises
zeit	temps
stadt	ville
wieder	encore
schon	déjà
haben	ont
gibt	donne
seed	seed
siehe	voir
drei	trois
teil	partie
berlin	berlin
habe	ai
alle	tous
während	pendant
ihre	votre
ihre	vos
bereits	déjà
dieses	cette
dieses	ce
können	peuvent
jan	jan
sehr	très
ihr	votre
gemeinde	commune
erste	première
erste	premier
august	august
august	août
ohne	sans
sollte	devrait
deutschland	allemagne
ihm	lui
ende	fin
märz	mars
aug	aug
deutsche	allemands
band	bande
januar	janvier
oktober	octobre
immer	toujours
also	donc
nov	nov
wikipedia	wikipédia
jun	jun
jul	jul
juni	juin
konnte	pouvait
april	avril
september	septembre
selbst	même
juli	juillet
okt	oct
feb	fév
geschichte	histoire
apr	apr
jpg	jpg
dezember	décembre
dez	déc
universität	université
platz	place
sep	sep
november	novembre
liste	liste
kam	vint
wir	nous
jahrhundert	siècle
dies	ceci
dies	cela
vier	quatre
seite	page
februar	février
zusammen	ensemble
film	film
wäre	serait
neue	nouvelle
leben	vie
new	new
namen	noms
relevanz	pertinence
muss	doit
einige	certains
einige	quelques
mitglied	membre
text	texte
münchen	munich
löschen	supprimer
bekannt	connue
bekannt	connu
zurück	retour
ort	lieu
geht	va
jetzt	maintenant
friedrich	friedrich
stand	stand
würde	dignité
politiker	politiciens
personen	personnes
titel	titre
karl	karl
gut	bien
gut	bon
familie	famille
weiter	continuer
sohn	fils
hans	hans
erl	erl
gehört	entendu
bild	image
nichts	rien
wien	vienne
bezeichnet	désigne
gelöscht	supprimé
denn	car
peter	peter
sei	sois
fall	cas
wilhelm	wilhelm
englisch	anglais
davon	dont
fünf	cinq
könig	roi
welche	quels
welche	quelle
welche	quel
mehrere	plusieurs
form	forme
meter	mètre
schloss	château
gruppe	groupe
finden	trouver
nahm	prit
heinrich	heinrich
neu	nouveau
john	john
könnte	pourrait
machen	faire
beispiel	exemple
recht	droit
bin	bin
york	york
paul	paul
frage	question
insgesamt	total
eher	plutôt
kurz	court
unternehmen	entreprises
verwendet	utilisé
straße	route
straße	rue
rund	rond
einfach	facile
einfach	simple
datei	fichier
frau	femme
lassen	laisser
land	pays
fast	presque
hatten	eurent
hatten	avaient
tod	décès
tod	mort
arbeit	travail
macht	puissance
paris	paris
alles	tout
kategorie	catégorie
bedeutung	signification
bereich	secteur
bereich	domaine
welt	monde
anfang	début
viel	beaucoup
quelle	source
haus	maison
michael	michael
region	région
lang	lang
allen	allen
hamburg	hambourg
besonders	particulièrement
deutsch	francais
deutsch	allemand
franz	franz
lange	lange
begriff	terme
gegründet	fondé
gegründet	fondée
gegründet	basé
gesellschaft	société
folge	épisode
align	align
will	will
georg	georg
erhalten	obtenir
einwohner	habitants
führt	mène
führt	conduit
führt	exécute
studierte	étudié
london	londres
alten	anciens
alten	ancien
kinder	enfants
gerade	juste
österreich	autriche
mitte	milieu
sechs	six
album	album
museum	musée
musik	musique
gebäude	bâtiment
begründung	justification
wenig	peu
kreis	cercle
frankreich	france
pro	pro
thomas	thomas
grund	raison
möglich	possible
thema	thème
rolle	rouleau
rolle	rôle
musste	fallait
gewünscht	souhaité
entwicklung	développement
meine	mon
frankfurt	francfort
stuttgart	stuttgart
benutzer	utilisateurs
maria	marie
vater	père
frauen	femmes
buch	livre
provinz	province
dir	toi
quellen	sources
bleibt	reste
kilometer	kilomètres
stunden	heures
martin	martin
ernst	ernst
schule	école
leipzig	leipzig
https	https
ludwig	ludwig
archivierung	archivage
dorf	village
robert	robert
mannschaft	équipe
gesperrt	verrouillé
stark	stark
gewählt	élu
gewählt	élus
spielen	jouer
iii	iii
weiß	blanc
bar	bar
amt	amt
sogar	même
seiten	pages
richtung	direction
köln	cologne
partei	parti
wer	qui
kleine	petite
http	http
version	version
international	international
tage	jours
rahmen	cadre
werke	œuvres
werke	oeuvres
offizielle	officielle
offizielle	officiel
kommen	venir
weniger	moins
autor	auteur
müssen	doivent
wirklich	vraiment
preis	prix
ddr	rda
genau	exactement
spiel	jeu
teilweise	partiellement
burg	château
schweiz	suisse
serie	série
arbeiten	travaux
arbeiten	travailler
tag	jour
norden	nord
sollten	devraient
literatur	littérature
millionen	millions
krieg	guerre
besser	mieux
sprache	langue
lemma	lemme
zeigt	affiche
danke	merci
pdf	pdf
schauspieler	acteur
hätte	aurait
auswahl	sélection
spieler	joueurs
spieler	joueur
links	liens
warum	pourquoi
otto	otto
from	from
konnten	pouvaient
beschreibung	description
direkt	directement
direkt	direct
schriftsteller	écrivain
alter	age
alter	âge
klasse	classe
gemeinden	communes
bischof	évêque
höhe	hauteur
reihe	série
häufig	fréquent
häufig	fréquents
süden	sud
gruß	salutation
gemacht	fait
gehören	appartiennent
ließ	laissait
christian	christian
johannes	jean
erwähnt	mentionné
chr	chr
letzte	dernière
bezeichnung	dénomination
meister	maître
zuvor	auparavant
zuvor	précédemment
sicher	sûr
insel	île
klar	clair
joseph	joseph
veröffentlicht	publié
regierung	gouvernement
carl	carl
sieben	sept
bevölkerung	population
van	van
gleich	égal
alte	vieille
problem	problème
bayern	bavière
westen	ouest
lage	situation
mitglieder	membres
national	national
graf	comte
david	david
präsident	président
baden	baignade
kaiser	empereur
arten	espèces
geboren	né
richard	richard
sitz	siège
hermann	hermann
berliner	berliner
san	san
karriere	carrière
zehn	dix
center	center
system	système
bilder	images
vermutlich	probablement
erreicht	atteinte
erreicht	atteint
enthält	contient
mutter	mère
west	west
acht	huit
scheint	semble
ziel	objectif
ziel	cible
grüße	salutations
roman	roman
liga	ligue
spiele	jeux
sachsen	saxe
wolfgang	wolfgang
folgen	suivre
folgen	suivez
walter	walter
leider	malheureusement
uhr	montre
uhr	horloge
benannt	nommée
benannt	nommé
geben	donner
kultur	culture
gestellt	posée
gestellt	posé
alexander	alexander
trotz	malgré
projekt	projet
maler	peintre
paar	couple
max	max
sommer	été
runde	ronde
william	william
institut	institut
raum	espace
armee	armée
tun	faire
strecke	parcours
regel	règle
gefunden	trouvé
daten	données
welches	quel
theater	théâtre
wollte	voulait
person	personne
mein	mon
com	com
hilfe	aide
gegeben	donné
reich	riche
dich	toi
schnell	rapide
einzelnen	individuels
world	world
josef	josef
gmbh	sarl
google	google
besten	meilleurs
italien	italie
fragen	questions
hälfte	moitié
euro	euro
verbindung	connexion
nähe	proximité
anders	anders
vertrag	traité
vertrag	contrat
sonst	sinon
james	james
top	top
bruder	frère
künstler	artiste
england	angleterre
erfolg	succès
früher	autrefois
wissen	savoir
länge	longueur
groß	grand
geschrieben	écrit
beiträge	cotisations
abschnitt	section
trainer	entraîneur
gerne	volontiers
see	lac
spielt	joue
zeitschrift	revue
führen	guider
studium	etudes
ausbildung	formation
park	parc
george	george
wappen	armoiries
zürich	zurich
wort	mot
komponist	compositeur
zahl	nombre
internationale	internationale
dresden	dresde
schreiben	ecrire
schreiben	écrire
rudolf	rudolf
wahl	choix
männer	hommes
schauspielerin	actrice
hannover	hanovre
werde	deviens
werde	vais
dar	dar
spd	spd
schlacht	bataille
akademie	académie
gehen	aller
anzahl	nombre
anzahl	nbre
olympischen	olympique
stil	style
sagen	dire
charles	charles
american	american
funktion	fonction
wahrscheinlich	probablement
till	till
herzog	duc
jede	chaque
liebe	amour
rom	rome
umfasst	comprend
nachfolger	successeur
grenze	frontière
truppen	troupes
mitarbeiter	collaborateurs
werner	werner
verwendung	utilisation
sieg	victoire
entwickelt	développé
china	chine
besitzt	possède
leicht	facilement
besitz	possession
bald	bientôt
autoren	auteurs
tiefe	profondeur
press	press
gattung	genre
allein	seul
allein	seule
bürgermeister	maire
polen	pologne
link	lien
verheiratet	marié
ernannt	nommés
km²	km²
produktion	production
herrschaft	domination
berg	montagne
sla	sla
alt	vieux
punkt	point
andreas	andreas
stiftung	fondation
aktiv	actif
gute	bonne
punkte	points
minuten	minutes
bleiben	rester
frühen	précoce
her	her
rang	rang
diente	servit
ähnlich	similaire
ähnlich	semblable
finale	finale
verfahren	procédure
tour	tour
wollen	vouloir
ergebnis	résultat
mark	mark
württemberg	wurtemberg
falsch	faux
weise	sage
heiligen	sainte
möglichkeit	possibilité
leiter	chef
rennen	courses
del	del
union	union
japan	japon
fläche	superficie
müller	müller
albert	albert
fest	fête
kanton	canton
düsseldorf	düsseldorf
versucht	essayé
erkennen	détecter
erkennen	reconnaître
politik	politique
anna	anna
right	right
position	position
dennoch	néanmoins
schwer	lourd
ausschließlich	exclusivement
gruppen	groupes
satz	théorème
satz	phrase
ersetzt	remplacé
ersetzt	remplace
geführt	guidé
engl	engl
wert	valeur
späteren	ultérieur
frei	libre
frank	frank
klaus	klaus
inhalt	contenu
heinz	heinz
beteiligt	participe
beteiligt	impliqué
wochen	semaines
fritz	fritz
kategorien	catégories
louis	louis
records	records
selten	rare
schüler	élèves
fluss	rivière
vollständig	complètement
vollständig	entièrement
admin	admin
club	club
bremen	brême
relativ	relativement
jungen	garçons
erklärt	expliqué
erklärt	explique
fort	fort
musiker	musicien
musiker	musiciens
gesehen	vu
nimmt	prend
adolf	adolf
fußball	football
bedeutet	signifie
vertreter	représentants
hochgeladen	téléchargé
hessen	hesse
organisation	organisation
halten	garder
hand	main
sammlung	collection
lexikon	lexique
www	www
meisterschaft	championnat
nehmen	prendre
erbaut	construit
sinn	sens
bilden	composent
westfalen	westphalie
hoch	haut
herren	messieurs
probleme	problèmes
alfred	alfred
erscheint	apparaîtra
erscheint	apparaît
hallo	bonjour
vergleich	comparaison
php	php
nummer	numéro
hof	cour
halle	halle
basis	base
dient	sert
anton	anton
neun	neuf
wirtschaft	économie
markt	marché
städte	villes
kapelle	chapelle
verloren	perdu
ausgezeichnet	excellent
russland	russie
bonn	bonn
jugend	jeunesse
spanien	espagne
post	post
entweder	soit
soldaten	soldats
lebt	vit
zeigen	montrer
umgebung	environs
bücher	livres
medien	médias
jedes	chaque
entscheidung	décision
einfluss	influence
anlage	annexe
beschrieben	décrit
schutz	protection
lied	chanson
geworden	devenu
cdu	cdu
rechte	droits
color	color
erkennbar	reconnaissable
stück	pièce
stück	morceau
programm	programme
live	live
jazz	jazz
papst	pape
themen	thèmes
sache	chose
gerhard	gerhard
regelmäßig	régulièrement
erschienen	paru
junge	garçon
eltern	parents
sprachen	langues
internet	internet
größe	taille
start	démarrer
spricht	parle
hauptstadt	capitale
regisseur	réalisateur
philosophie	philosophie
friedhof	cimetière
philipp	philipp
lehrer	enseignants
lehrer	enseignant
würden	seraient
betrug	fraude
betrug	escroquerie
kopf	tête
zusammenarbeit	coopération
nein	non
denke	pense
brücke	pont
überwiegend	principalement
überwiegend	majoritairement
zerstört	détruit
bundesliga	bundesliga
teilen	partager
nacht	nuit
versionen	versions
lesen	lire
daniel	daniel
idee	idée
rot	rouge
eindeutig	clairement
bestimmt	détermine
bestimmt	déterminé
zweiter	deuxième
lebte	vécu
klein	petit
interesse	intérêt
genug	assez
enzyklopädie	encyclopédie
mussten	devaient
kind	enfant
münster	münster
svg	svg
studien	etudes
studien	études
direktor	directeur
römischen	romain
ost	ost
marie	marie
gustav	gustav
freiburg	fribourg
fehlt	manque
fehlt	manquant
modell	modèle
bildung	éducation
setzt	suspend
washington	washington
kurze	brève
kurze	courts
island	islande
you	you
kampf	combat
vertreten	représenté
abteilung	département
beginnt	commence
schwarz	noir
with	with
ulrich	ulrich
kurt	kurt
verband	bandage
single	célibataire
regeln	règles
wald	forêt
ferdinand	ferdinand
joachim	joachim
löschung	effacement
dollar	dollar
music	music
jürgen	jürgen
sänger	chanteur
heidelberg	heidelberg
fischer	pêcheurs
schweden	suède
ergebnisse	résultats
verkauft	vendu
vandalismus	vandalisme
zwölf	douze
juden	juifs
border	border
henry	henry
elisabeth	elisabeth
brandenburg	brandebourg
verliehen	décerné
suche	recherche
breite	largeur
royal	royal
festival	festival
übersetzung	traduction
versuch	tentative
pfalz	palatinat
state	state
rhein	rhin
bewegung	mouvement
opfer	victime
bayerischen	bavarois
erde	terre
angegeben	spécifié
technik	technique
typ	type
united	united
mag	mag
open	open
mainz	mayence
boden	sol
radio	radio
entdeckt	découvert
bernhard	bernhard
vorschlag	proposition
erzbischof	archevêque
halt	halte
ungarn	hongrie
historiker	historien
pierre	pierre
software	logiciels
status	statut
rock	rock
aufstieg	ascension
verwaltung	gestion
wiki	wiki
bank	banque
rein	pur
mannschaften	equipes
tor	tor
herbst	automne
schulen	écoles
ebene	niveau
ebene	plaine
seitdem	depuis
schmidt	schmidt
gehörten	appartenaient
göttingen	göttingen
richter	juges
richter	juge
ausstellung	exposition
