stadiger	slower
instandhouding	maintenance
stoom	vapor
realisme	realism
shaw	shaw
itsrugby	itsrugby
motion	motion
kompetisies	competitions
astronomiese	astronomical
assur	assur
disney	disney
woonplek	residence
gevolgtrekking	inescapable
missie	mission
beskeie	coy
beskeie	modest
markus	mark
saffraan	saffron
toegewyde	devoted
toegewyde	dedicated
hong	hong
snit	track
bangladesj	bangladesh
sed	sed
bak	bak
gesprekke	conversions
gesprekke	conversations
elektron	electron
aws	aws
bedeling	dispensation
anderson	anderson
identies	identical
moldowa	moldova
operasies	surgeries
sportsoorte	sports
herhaaldelik	repeatedly
ubuntu	ubuntu
saldanha	saldanha
swangerskap	pregnancy
swangerskap	maternity
onveranderd	untouched
onveranderd	unchanged
vonnis	judgment
propaganda	propaganda
breuk	fault
breuk	fraction
jules	jules
lancaster	lancaster
besighede	businesses
leonard	leonard
rupert	rupert
mikro	micro
rené	rené
trop	flock
hopkins	hopkins
postuum	posthumous
huur	rent
afgehandel	finished
afgehandel	completed
afgehandel	complete
virtuele	virtual
wiking	wiking
blaaie	pages
instruksies	instructions
olga	olga
aanvaarde	accepted
clinton	clinton
alessandro	alessandro
kosmiese	cosmic
beeldhouwerk	sculpture
trofee	trophy
plaasvervanger	replacement
breedtegraad	latitude
emosies	emotions
guy	guy
vatikaan	vatican
georgia	georgia
magnus	magnus
oorkom	dignity
tarzan	tarzan
aletta	aletta
strategie	strategy
moeiliker	advanced
enkel	ankle
enkel	single
hugh	hugh
lippe	lips
lippe	lippe
pellissier	pellissier
roland	roland
romanof	romanov
onderliggende	base
macdonald	macdonald
blank	blank
draak	dragon
reëlings	plans
onderaan	beneath
philippe	philippe
poema	cougar
hellenistiese	hellenistic
presidente	presidents
biblioteke	libraries
winsgewende	profit
keet	keet
pleeg	commits
pleeg	consult
bid	pray
bid	prays
bolivië	bolivia
lipvis	wrasse
beroemd	famous
ongewerweldes	invertebrate
lucia	lucia
galileo	galileo
canterbury	canterbury
kliënte	clients
aleksei	alexey
gent	ghent
maagd	virgin
finansieel	financial
finansieel	finance
dames	ladies
krakau	kraków
moordenaar	killer
albanië	albania
sangers	singers
onsekerheid	uncertainty
kommandeur	kommandeur
sekerheid	confidence
randburg	randburg
druiwe	grape
druiwe	grapes
metgesel	partner
bosporus	bosphorus
titanic	titanic
banknote	banknote
poste	jobs
kubaanse	cuban
rwanda	rwanda
geskil	dispute
verbranding	combustion
authorlink	authorlink
theo	theo
mededinger	competitor
brakpan	brakpan
neutraal	neutral
matisse	matisse
middag	afternoon
maklike	easy
proton	proton
babilonië	babylonia
verrigtinge	proceedings
penis	penis
ione	ione
gaste	attendees
gaste	guests
joachim	joachim
knoop	knot
kombinasies	combinations
mineraal	mineral
opkomende	upcoming
opgespoor	detected
bevolkte	populated
germania	germania
fonetiese	phonetic
baken	landmark
pireneë	pyrenees
vennoot	partner
akkurate	accurate
gevangene	prisoner
blokke	blocks
aberdeen	aberdeen
trias	triassic
orania	orania
fietsry	cycling
mat	matte
migreer	migrate
verslaggewer	reporter
montagu	montagu
centurion	centurion
aanbeveling	recommendation
uitslae	results
lichtenburg	lichtenburg
tone	toes
tone	tone
immergroen	evergreen
swaard	sword
behuising	housing
raper	raper
manhattan	manhattan
ilias	iliad
gediagnoseer	diagnosed
change	tsvangirai
hospitale	hospitals
wallonië	wallonia
jamie	jamie
stabiel	stable
