que	dass
uma	eine
com	mit
para	für
foi	war
como	wie
não	nicht
não	nein
mais	mehr
sua	ihre
utc	utc
são	sind
seu	ihr
min	min
também	auch
the	the
ser	sein
ele	er
mas	aber
discussão	diskussion
entre	zwischen
anos	jahre
sobre	über
tem	hat
nos	uns
até	bis
cidade	stadt
quando	wenn
quando	wann
janeiro	januar
onde	wo
grande	groß
brasil	brasilien
rio	fluss
estado	staat
ano	jahr
primeiro	zuerst
primeiro	ersten
pode	kann
ligações	verbindungen
parte	teil
este	dieser
este	dieses
este	diese
primeira	erste
nome	namen
nome	name
ainda	noch
outros	sonstige
esta	diese
sem	ohne
ela	sie
dia	tag
dois	zwei
muito	sehr
região	region
apenas	nur
ter	haben
msg	msg
julho	juli
lista	liste
maio	mai
março	märz
norte	norden
família	familie
abril	april
sul	süden
grupo	gruppe
setembro	september
paulo	paulo
ver	sehen
ver	siehe
outubro	oktober
isso	das
maior	größte
maior	größer
álbum	album
junho	juni
contra	gegen
tempo	zeit
dezembro	dezember
fevereiro	februar
forma	form
vez	mal
novembro	november
assim	so
então	dann
três	drei
série	serie
além	zusätzlich
final	finale
desde	seit
história	geschichte
filme	film
antes	vor
melhor	besser
melhor	beste
guerra	krieg
população	bevölkerung
estados	staaten
bem	gut
mundo	welt
banda	band
km²	km²
gols	tore
nacional	nationalen
jogos	spiele
alguns	einige
center	center
vida	leben
possui	besitzt
cada	jede
música	musik
página	seite
dias	tage
campeonato	meisterschaft
josé	josé
futebol	fußball
portugal	portugal
joão	johannes
tinha	hatte
clube	club
unidos	vereinigten
novo	neu
segunda	zweite
pessoas	personen
presidente	präsident
caso	fall
jogo	spiel
sistema	system
período	zeitraum
século	jahrhundert
título	titel
casa	haus
enquanto	während
seja	sei
oficial	offizielle
oficial	offizier
filho	sohn
governo	regierung
pois	denn
artigos	artikel
distrito	distrikt
fazer	tun
trabalho	arbeit
acordo	abkommen
número	zahl
maria	maria
vários	mehrere
vários	verschiedene
terra	erde
igreja	kirche
universidade	universität
qualquer	jede
podem	können
centro	zentrum
início	beginn
tipo	typ
santa	santa
conhecido	bekannt
mundial	weltweiten
cerca	zaun
português	portugiesisch
rei	könig
algumas	einige
quem	wer
água	wasser
quatro	vier
exemplo	beispiel
morte	tod
eram	waren
brasileira	brasilianische
produção	produktion
temporada	saison
muitos	viele
wikipédia	wikipedia
time	time
geral	allgemein
aqui	hier
versão	version
fim	ende
carlos	carlos
menos	weniger
programa	programm
porto	hafen
fontes	quellen
deve	muss
seria	wäre
sempre	immer
site	webseite
livro	buch
equipe	team
escola	schule
várias	mehrere
dados	daten
copa	copa
posição	position
internacional	international
hoje	heute
província	provinz
países	länder
embora	obwohl
inglês	englisch
pouco	wenig
porque	weil
projeto	projekt
você	sie
atual	aktuell
john	john
ordem	ordnung
pai	vater
estádio	stadion
partido	partei
começou	begann
ilha	insel
carreira	karriere
campo	feld
uso	gebrauch
linha	zeile
linha	linie
poder	macht
muitas	viele
principais	wichtigsten
conta	konto
tarde	nachmittag
vila	dorf
política	politik
frança	frankreich
direito	recht
nem	weder
real	real
rede	netzwerk
obra	werk
jpg	jpg
chamado	genannt
chamado	namens
fase	phase
pedro	pedro
lisboa	lissabon
capital	hauptstadt
isbn	isbn
ponto	punkt
empresa	unternehmen
corpo	körper
década	jahrzehnt
divisão	abteilung
república	republik
votação	abstimmung
américa	amerika
data	datum
agora	jetzt
condado	county
condado	grafschaft
desenvolvimento	entwicklung
mil	tausend
diretor	direktor
toda	ganz
categoria	kategorie
cintura	taille
mar	meer
militar	militärische
diz	sagt
sucesso	erfolg
francisco	francisco
original	original
fora	außen
comunidade	gemeinschaft
idade	alter
cinco	fünf
maioria	mehrheit
alemanha	deutschland
tudo	alles
média	durchschnitt
vai	geht
quase	fast
boa	gute
dentro	innen
processo	prozess
último	letzter
milhões	millionen
rock	rock
arte	kunst
total	gesamt
total	insgesamt
lei	gesetz
importante	wichtig
presente	geschenk
feito	erledigt
central	zentrale
central	zentral
língua	sprache
sede	sitz
pontos	punkte
costa	costa
origem	ursprung
exército	armee
santo	heiliger
incluindo	einschließlich
ouro	gold
federal	federal
quanto	wieviel
texto	text
membros	mitglieder
nada	nichts
cor	farbe
direção	richtung
nível	ebene
imagem	bild
homem	mann
junto	zusammen
criação	schaffung
border	border
silva	silva
construção	bau
jogador	spieler
televisão	fernsehen
social	sozialen
revista	zeitschrift
vitória	sieg
união	union
cultura	kultur
canal	kanal
http	http
papel	rolle
força	kraft
força	stärke
principalmente	hauptsächlich
lançamento	start
personagem	charakter
estilo	stil
território	territorium
world	world
será	wird
mãe	mutter
nunca	niemals
movimento	bewegung
santos	santos
you	you
pessoa	person
fato	tatsache
fato	fakt
cruz	kreuz
espanha	spanien
possível	möglich
fonte	quelle
localidades	orte
bairro	viertel
acima	oben
filha	tochter
liga	liga
vice	vize
diversos	verschiedenes
from	from
sim	ja
sociedade	gesellschaft
império	reich
episódio	episode
batalha	schlacht
seleção	auswahl
seed	seed
cidades	städte
encontra	findet
espaço	raum
municipal	municipal
deus	gott
paris	paris
clubes	clubs
filmes	filme
modelo	modell
alemão	deutsch
musical	musical
meu	meine
páginas	seiten
oeste	westen
chamada	anruf
ator	schauspieler
popular	beliebt
última	letzte
luta	kampf
disco	scheibe
estes	diese
criado	erstellt
francês	französisch
festival	festival
general	general
especial	besondere
teatro	theater
seis	sechs
minha	meine
problemas	probleme
superior	superior
cinema	kino
deu	gab
disse	sagte
nossa	unsere
participação	beteiligung
participação	teilnahme
membro	mitglied
modo	modus
grupos	gruppen
usado	gebraucht
antigo	alten
resultado	ergebnis
atriz	schauspielerin
meses	monate
estúdio	studio
código	code
momento	moment
iii	iii
antiga	ehemaligen
instituto	institut
autor	autor
chegou	angekommen
forte	stark
david	david
amor	liebe
terceiro	dritter
espécies	arten
espécies	tierart
descoberto	entdeckt
alto	hohen
termo	begriff
san	san
mulher	frau
parece	scheint
densidade	dichte
luís	ludwig
fica	bleib
itália	italien
irmão	bruder
conteúdo	inhalt
causa	ursache
japão	japan
terceira	dritter
terceira	dritte
personagens	figuren
vista	vista
formação	ausbildung
rua	straße
apoio	unterstützung
rádio	radio
frente	vorderseite
torneio	turnier
organização	organisation
museu	museum
educação	bildung
histórico	historischen
comum	gemeinsamen
peso	gewicht
alta	hohe
áreas	bereichen
homens	männer
valor	wert
velocidade	geschwindigkeit
profissional	berufliche
problema	problem
jovem	jung
livre	kostenlos
tema	thema
vivo	lebend
minas	minen
natural	natürliche
sete	sieben
estudos	studien
cantora	sängerin
del	del
consenso	konsens
zona	zone
ganhou	gewann
criar	erstellen
castelo	burg
próximo	nahe
próximo	nächster
sentido	sinn
função	funktion
editora	verlag
etc	usw
etc	etc
algo	etwas
ambos	beide
jorge	jorge
jornal	zeitung
manuel	manuel
poderia	könnte
james	james
show	show
inglaterra	england
life	life
branco	weiß
acesso	zugang
fernando	fernando
york	york
conselho	rat
guitarra	gitarre
roma	rom
verão	sommer
manter	halten
manter	beibehalten
interior	inneren
dar	geben
livros	bücher
love	love
londres	london
anterior	vorherige
anterior	früheren
classe	klasse
evento	veranstaltung
united	united
capacidade	fähigkeit
governador	gouverneur
leste	osten
noite	nacht
energia	energie
casos	fälle
contém	enthält
aproximadamente	ungefähr
ministro	minister
simples	einfach
fala	spricht
luz	licht
horas	stunden
imperador	kaiser
competição	konkurrenz
príncipe	prinz
william	william
serviços	dienstleistungen
vale	tal
ação	aktion
escreveu	schrieb
futebolista	fußballspieler
apresenta	präsentiert
paul	paul
michael	michael
escrito	geschrieben
controle	kontrolle
eleito	gewählt
vídeo	video
saúde	gesundheit
teria	hätte
produtor	produzent
atividade	aktivität
fundação	stiftung
verdade	stimmt
estas	diese
melhores	besten
internet	internet
antônio	antônio
decisão	entscheidung
estrutura	struktur
abaixo	unten
conde	graf
ajuda	hilfe
bandeira	flagge
inclinação	neigung
music	music
escritor	schriftsteller
falta	fehlt
ngc	ngc
pedido	antrag
pedido	anfrage
morreu	starb
semana	woche
pesquisa	suche
excentricidade	exzentrizität
teoria	theorie
méxico	mexiko
jesus	jesus
robert	robert
bloqueio	blockade
oliveira	oliveira
black	black
top	top
madeira	holz
medalha	medaille
paulista	paulista
china	china
músicas	lieder
músicas	songs
mulheres	frauen
campos	felder
esposa	ehefrau
esposa	gattin
alguém	jemand
wiki	wiki
verde	grün
luiz	luiz
destaque	highlight
eua	usa
pessoal	personal
sub	sub
pequena	kleine
direitos	rechte
eventos	veranstaltungen
argentina	argentinien
editor	herausgeber
usar	verwenden
áfrica	afrika
chefe	boss
flora	flora
set	set
palácio	palast
qualidade	qualität
regras	regeln
metal	metall
orbital	orbital
regiões	regionen
proposta	vorschlag
vocal	vocal
dizer	sagen
mercado	markt
aparece	erscheint
referência	referenz
via	via
ocupação	besetzung
voz	stimme
bateria	batterie
empresas	unternehmen
records	records
letras	buchstaben
george	george
feminino	weiblich
