bordure	borda
séquence	sequência
polytechnique	politécnica
placés	colocados
placés	posicionados
marge	margem
marge	marge
vatican	vaticano
renommage	renomeação
apparitions	aparições
bombe	bomba
croate	croata
rachel	rachel
shanghai	xangai
constant	constante
byzantin	bizantino
conduire	conduzir
conduire	condução
capture	capturar
capture	captura
cadres	molduras
disparaît	desaparece
magique	mágica
timbres	selos
déesse	deusa
lituanie	lituânia
valenciennes	valenciennes
chapitres	capítulos
paragraphe	parágrafo
adn	dna
bec	bico
égal	igual
für	für
joués	jogados
situations	situações
perdue	perdida
géométrie	geometria
gard	gard
nathan	nathan
wallon	valão
editions	edições
semblable	semelhante
semblable	similar
forfait	pacote
finistère	finisterra
possibilités	possibilidades
décennie	década
beaumont	beaumont
austin	austin
influences	influências
fausse	falsa
century	century
enquêtes	inquéritos
like	like
estonie	estónia
suggère	sugere
chypre	chipre
explorateur	explorador
jun	jun
dell	dell
over	over
surfaces	superfícies
sentiments	sentimentos
qualifiés	qualificados
vitesses	velocidades
canal+	canal+
adoptée	aprovada
adoptée	adotada
adoptée	adoptada
instance	instância
vigne	videira
brouillon	rascunho
vilaine	safada
réalisations	realizações
kings	kings
puissante	poderosa
astronomie	astronomia
tombé	caiu
escadron	esquadrão
immatriculation	matrícula
juridiction	jurisdição
terminer	concluir
terminer	terminar
êtres	seres
claviers	teclados
conclut	conclui
database	database
engagés	empenhados
mandats	mandatos
sarthe	sarthe
istanbul	istambul
témoignages	depoimentos
témoignages	testemunhos
laurence	laurence
élimination	eliminação
consacrer	dedicar
łódź	łódź
aviron	remo
sorties	saídas
timbre	selo
baptisé	batizado
mons	mons
ordonne	ordena
théorique	teórico
sean	sean
dégâts	dano
dégâts	danos
wolf	wolf
notable	notável
doublage	dobragem
considérablement	consideravelmente
louisiane	louisiana
absolue	absoluto
médiéval	medieval
spécialité	especialidade
intégrale	integral
prime	prime
occupent	ocupam
classées	classificadas
classées	classificados
oracle	oracle
age	idade
melbourne	melbourne
polémique	controvérsia
sauvages	selvagens
vivants	vivos
compréhension	compreensão
field	field
bade	baden
catastrophe	catástrofe
catastrophe	desastre
démonstration	demonstração
réussite	sucesso
citoyen	cidadão
thriller	thriller
configuration	configuração
bleus	azuis
creuse	oca
greg	greg
nuits	noites
lincoln	lincoln
cavaliers	cavaleiros
char	char
volcan	vulcão
kent	kent
parlant	falando
grille	grade
grille	grelha
fernández	fernández
marvel	marvel
voisines	vizinhas
remarques	observações
tend	tende
spirou	spirou
sofia	sofia
special	special
hébreu	hebraico
pat	pat
variables	variáveis
vignoble	vinhas
roue	roda
autorisé	autorizado
autorisé	licenciado
cavalier	cavaleiro
puissances	potências
sierra	serra
retenu	retido
navigateur	navegador
albin	albin
organes	órgãos
business	negócios
originaires	originárias
originaires	originários
causer	causar
sylvain	sylvain
compétence	competência
décerné	atribuído
éliminer	eliminar
usages	usos
fonctionnaires	funcionários
caractérise	caracteriza
permettait	permitia
démocrates	democratas
bords	bordas
directrice	directora
directrice	diretora
espérance	esperança
fragments	fragmentos
seattle	seattle
existant	existente
bond	bond
mulhouse	mulhouse
missiles	mísseis
missiles	míssil
ordonné	ordenado
certifié	certificada
certifié	certificado
chercheur	pesquisador
innovation	inovação
combiné	combinado
ref	ref
amy	amy
turner	turner
ardèche	ardèche
alternatif	alternativo
écrites	escritas
fortifications	fortificações
forest	forest
jaunes	amarelos
constate	constata
burkina	burkina
évènement	evento
yonne	yonne
sachant	sabendo
chargés	carregados
chargés	carregado
girls	girls
assisté	assistido
effectifs	efectivos
devraient	devem
devraient	deveriam
comprenait	compreendia
répression	repressão
blé	trigo
inaugurée	inaugurada
conrad	conrad
rousseau	rousseau
meyer	meyer
stable	estável
correspondent	correspondem
correspondent	correspondam
symphonique	sinfônica
ecclésiastique	eclesiástico
fonctionnaire	funcionário
catholicisme	catolicismo
rayons	raios
individuelles	individuais
height	height
silva	silva
linéaire	linear
commandé	encomendado
commandé	comandado
bretonne	bretã
brevet	patente
mémorial	memorial
engagée	contratada
engagée	comprometida
propulsion	propulsão
mythe	mito
faso	faso
manger	comer
fire	fire
bouches	bocas
mohammed	maomé
grey	grey
prochaine	próxima
léonard	leonardo
degrés	graus
flammarion	flammarion
extérieure	exterior
styles	estilos
doubs	doubs
nazis	nazistas
guyane	guiana
rappeler	recordar
esprits	espíritos
talk	talk
elisabeth	elisabeth
aude	aude
alexandra	alexandra
caméra	câmera
assiste	assiste
andreas	andreas
continuent	continuam
legend	legend
régulier	regular
contiennent	contenham
contiennent	contêm
mix	mix
grandeur	grandeza
sound	sound
immigration	imigração
werner	werner
airlines	airlines
pollution	poluição
garcia	garcia
fayard	fayard
marocain	marroquino
filmographie	filmografia
accessibles	acessíveis
attribuée	atribuído
attribuée	atribuída
réunis	reunidos
hôte	anfitrião
hôte	host
revers	lapela
sergio	sergio
calme	calma
organe	órgão
signification	significado
todd	todd
duel	duelo
panama	panamá
poétique	poético
poétique	poética
enregistrements	gravações
épaisseur	espessura
globale	global
#aaaaaa	#aaaaaa
hunter	hunter
heureux	feliz
alaska	alasca
august	august
law	law
perdues	perdidos
bébé	bebê
moments	momentos
illustrateur	ilustrador
dépendant	dependente
perse	pérsia
diesel	diesel
indiquant	indicando
phoenix	phoenix
valley	valley
lópez	lópez
erik	erik
comprennent	incluem
délai	prazo
magic	magic
solidarité	solidariedade
peugeot	peugeot
piémont	piemonte
successifs	sucessivas
successifs	sucessivos
détient	detém
chapeau	chapéu
vénus	vênus
régiments	regimentos
portait	usava
comptant	contando
ted	ted
uniforme	uniforme
serment	juramento
comprise	compreendida
libéraux	liberais
éliminé	eliminado
disciplines	disciplinas
déroulement	desenrolar
portugaise	portuguesa
edition	edição
supérieurs	superiores
scandale	escândalo
débarquement	desembarque
edit	edit
festivals	festivais
jésuites	jesuítas
wta	wta
isle	isle
sebastian	sebastian
ducs	duques
alphabétique	alfabética
considèrent	consideram
juliette	julieta
attribution	atribuição
protestants	protestantes
arrestation	prisão
