adressen	endereços
nevada	nevada
rogers	rogers
kapellen	capelas
tee	chá
merkel	merkel
focus	focus
kontroverse	controvérsia
palazzo	palazzo
storm	storm
landsberg	landsberg
klarinette	clarinete
stolberg	stolberg
kapitulation	rendição
wilhelmshaven	wilhelmshaven
monatlich	mensal
johns	johns
liu	liu
stabilität	estabilidade
bewiesen	provado
madame	madame
lücke	lacuna
giorgio	giorgio
drohte	ameaçou
buchholz	buchholz
clarke	clarke
göteborg	gotemburgo
doc	doc
erzherzog	arquiduque
beherrscht	domina
lizenzen	licenças
kult	culto
hörte	ouviu
hörte	ouvi
synonyme	sinónimos
cat	cat
stevens	stevens
aaron	aaron
desc	desc
staatsanwalt	procurador
bangkok	bangkok
zurückgekehrt	retornou
leibniz	leibniz
variablen	variáveis
sub	sub
iata	iata
resonanz	ressonância
swiss	swiss
tales	tales
angestellter	empregado
mass	mass
bundesrat	bundesrat
aux	aux
armenien	arménia
murphy	murphy
rick	rick
petit	petit
elo	elo
überrascht	surpreso
zhang	zhang
rob	rob
full	full
schönberg	schönberg
stalin	estaline
habsburg	habsburg
selbstmord	suicídio
flur	corredor
proteste	protestos
braut	noiva
buffalo	buffalo
liefen	correram
scheibe	disco
poesie	poesia
vorläufig	provisoriamente
pilz	cogumelo
gottlob	gottlob
linde	linde
vorort	subúrbio
ankara	ancara
discovery	discovery
sektor	setor
ted	ted
weiblich	feminino
isoliert	isolado
erfassen	capturar
wilhelmine	guilhermina
chan	chan
ignorieren	ignorar
anno	anno
iron	iron
lane	lane
raupen	lagartas
rückgang	declínio
kürzlich	recentemente
delhi	deli
zusammengestellt	compilado
beleuchtung	iluminação
zivilisten	civis
getauft	batizado
delle	delle
tötet	mata
solothurn	solothurn
garantiert	garantido
gelsenkirchen	gelsenkirchen
germain	germain
henrik	henrik
zeitliche	temporal
aktiviert	ativado
heavy	heavy
abständen	intervalos
scheidung	divórcio
psychotherapie	psicoterapia
afrikanische	africano
rauch	fumo
taxon	táxon
portale	portais
treue	fidelidade
bird	bird
boxen	boxe
playstation	playstation
trocken	seco
lena	lena
erinnere	lembro
rex	rex
rückstand	resíduo
word	word
springs	springs
reporter	repórter
identifizieren	identificar
complete	complete
nagel	prego
grundsätze	princípios
überlebte	sobreviveu
wirksamkeit	eficácia
mandate	mandatos
xxx	xxx
wählt	escolhe
wählt	votem
beschließt	decide
marne	marne
ökonom	economista
referent	palestrante
lópez	lópez
teuer	caro
schah	xá
constantin	constantin
ballett	balé
vorfall	incidente
verlangte	exigiu
fernández	fernández
triumph	triunfo
mongolei	mongólia
vilnius	vilnius
turn	turn
rodríguez	rodríguez
beitritt	adesão
weißrussland	bielorrússia
challenger	challenger
schwager	cunhado
then	then
fiktive	fictícia
werkstätten	oficinas
freedom	freedom
paradies	paraíso
they	they
nest	ninho
kaplan	capelão
kaplan	kaplan
baseball	beisebol
petersen	petersen
gunther	gunther
luftfahrt	aviação
common	common
ricardo	ricardo
schnittstelle	interface
feststellung	constatação
wismar	wismar
christa	christa
gelblich	amarelado
fahrten	passeios
diskografie	discografia
nachmittag	tarde
archiviert	arquivado
hubschrauber	helicópteros
verzicht	renúncia
laz	laz
kopien	cópias
schrittweise	progressiva
lächerlich	ridículo
steinbach	steinbach
gültigkeit	validade
scorecard	scorecard
gefährlich	perigoso
aufgelegt	desligou
integrieren	integrar
garnison	guarnição
wandern	caminhadas
begründeten	fundamentado
hmm	hmm
investitionen	investimentos
steil	íngreme
meyers	meyers
baumann	baumann
panama	panamá
bureau	bureau
bestrebungen	aspirações
hypothese	hipótese
fink	fink
frédéric	frédéric
befürworter	defensores
eugène	eugène
arndt	arndt
bibliothekar	bibliotecário
spirit	spirit
vienna	vienna
bein	perna
carsten	carsten
usb	usb
erklärungen	declarações
oberbayern	oberbayern
raimund	raimundo
verbreiten	divulguem
has	has
hieronymus	hieronymus
frey	frey
pyramide	pirâmide
argumentiert	argumenta
detmold	detmold
nebraska	nebraska
brasilianische	brasileira
anpassen	personalizar
steuermann	timoneiro
yang	yang
diskriminierung	discriminação
merseburg	merseburg
welten	mundos
zuständigkeit	competência
aviv	aviv
ing	ing
mütter	mães
hildegard	hildegard
reutlingen	reutlingen
graubünden	grisões
leslie	leslie
logisch	lógico
kasten	caixa
piraten	piratas
käse	queijo
helfer	ajudante
käme	viria
lotus	lotus
ziegler	ziegler
cohen	cohen
ausschluss	exclusão
kameras	câmeras
wikis	wikis
gärtner	jardineiro
biologischen	biológico
again	again
kuppel	cúpula
individuell	individual
gloria	gloria
kiss	kiss
sean	sean
achte	oitava
dreizehn	treze
luke	luke
platziert	colocado
granit	granito
phillips	phillips
reife	maturidade
böhm	böhm
brünn	brno
dankbar	grato
triathlon	triatlo
warnung	aviso
verlagsanstalt	verlagsanstalt
neumarkt	neumarkt
biographische	biográfica
redir	redir
bert	bert
überwinden	superar
diesel	diesel
ingeborg	ingeborg
intro	intro
made	made
unterkategorie	subcategoria
unglück	infelicidade
schuldig	culpado
anträge	pedidos
referenz	referência
kohl	kohl
curt	curt
grammy	grammy
hughes	hughes
font	font
claudius	cláudio
verschwörung	conspiração
bettina	bettina
zar	czar
kennzeichnung	marcação
füße	pés
inge	inge
côte	côte
giebel	gablete
rica	rica
alphabet	alfabeto
eugene	eugene
geschieden	divorciado
jutta	jutta
sud	sud
harvey	harvey
apotheker	farmacêutico
banner	banner
nerven	nervos
anonym	anônimo
grüßen	cumprimentar
siena	siena
maya	maya
zoologe	zoólogo
wiederholung	repetição
liebt	ama
beschwerden	queixas
gleichgewicht	equilíbrio
vermarktet	comercializado
radweg	ciclovia
bourbon	bourbon
fahrrad	bicicleta
komponente	componente
tänzer	dançarino
andrei	andrei
manuell	manualmente
möller	möller
abgelegt	arquivado
verb	verbo
rheinische	rheinische
mathematical	mathematical
feature	feature
ana	ana
bomber	bombardeiros
bomber	bombardeiro
satteldach	empena
bertelsmann	bertelsmann
trilogie	trilogia
empfehle	recomendo
gemüse	legumes
balkan	balcãs
metzler	metzler
wiedergegeben	reproduzido
ästhetik	estética
nintendo	nintendo
