cappelle	capelas
raggiungono	alcançam
years	years
bis	bis
werner	werner
perfetta	perfeita
pontefice	pontífice
autrice	autora
marsiglia	marselha
into	into
presentava	apresentava
prete	padre
marcos	marcos
cadavere	cadáver
periferia	periferia
cranio	crânio
nono	nono
scoprono	descobrem
iscritto	inscrito
cosenza	cosenza
sguardo	olhar
borgogna	borgonha
orizzontale	horizontal
catturare	capturar
assisi	assis
strati	camadas
campana	sino
dicono	dizem
hart	hart
frederick	frederick
tombe	túmulos
ricostruita	reconstruída
gambe	pernas
puro	puro
miles	miles
connessione	conexão
var	var
conoscono	conhecem
marcus	marcus
venuto	veio
castle	castle
rappresentanza	representação
anziani	idosos
predecessore	antecessor
intellettuale	intelectual
full	full
efficacia	eficácia
spot	spot
batterie	baterias
minnesota	minnesota
collezioni	coleções
gigi	gigi
riservato	reservado
manoscritto	manuscrito
jake	jake
completamento	completação
acronimo	acrónimo
acronimo	sigla
murphy	murphy
premiato	premiado
armatura	armadura
buio	escuridão
dono	dom
allevamento	pecuária
statistica	estatística
scappare	fugir
aaron	aaron
jules	jules
johannes	johannes
prestigio	prestígio
main	main
munizioni	munição
votato	votado
disposti	dispostos
esisteva	existia
trionfo	triunfo
identificato	identificado
english	english
lettori	leitores
ohio	ohio
approvato	aprovado
organizzatore	organizador
interpretare	interpretar
glenn	glenn
vertici	cimeiras
industrie	indústrias
gemelli	gêmeos
dobbiamo	devemos
invitato	convidado
presumibilmente	presumivelmente
presumibilmente	alegadamente
treccani	treccani
pareri	pareceres
riuniti	reunidos
meccanico	mecânico
lane	lane
trilogia	trilogia
servire	servir
abile	hábil
torres	torres
ampliato	expandiu
incluse	incluídas
temporaneamente	temporariamente
dame	dame
contenuta	contida
panzer	panzer
cecilia	cecilia
sopravvissuti	sobreviventes
acquisizione	aquisição
morris	morris
depressione	depressão
dirigenti	executivos
javier	javier
spessore	espessura
identificazione	identificação
operativa	operacional
inviata	enviada
petto	peito
circostanze	circunstâncias
igor	igor
descrivere	descrever
devil	devil
interpretazioni	interpretações
terrestri	terrestres
garden	garden
biografie	biografias
repubblicano	republicano
pavimento	chão
car	car
legali	legais
zucchero	açúcar
poca	pouca
funzionalità	funcionalidade
pdc	pdc
sacerdoti	sacerdotes
neozelandese	neozelandesa
palco	palco
clero	clero
frontale	frontal
affermando	afirmando
england	england
ordinario	ordinário
soppressione	supressão
soci	sócios
pérez	pérez
hugh	hugh
again	again
eserciti	exércitos
secondarie	secundárias
specializzata	especializada
manovra	manobra
valencia	valencia
variazione	variação
away	away
order	order
sospensione	suspensão
pirati	piratas
tavole	tábuas
veneziano	veneziano
wallace	wallace
loggia	loggia
pesaro	pesaro
sultano	sultão
toro	touro
eletti	eleitos
superman	superman
code	code
code	caudas
modern	modern
index	index
mass	mass
percentuali	percentagens
emissione	emissão
they	they
after	after
ferite	feridas
kiev	kiev
realizzando	realizando
phoenix	phoenix
alluminio	alumínio
vendere	vender
datato	datado
corno	corno
corno	chifre
piatti	pratos
futuri	futuros
protesta	protesto
rachel	rachel
immacolata	imaculada
intellettuali	intelectuais
grey	grey
bersaglio	alvo
court	court
manifesto	manifesto
napoletano	napolitano
napoletano	napoletano
fedeltà	fidelidade
raw	raw
illustri	ilustres
integrato	integrado
tomáš	tomáš
watson	watson
interfaccia	interface
scrivendo	escrevendo
terrore	terror
mod	mod
reynolds	reynolds
martiri	mártires
istanbul	istambul
colorado	colorado
für	für
preceduto	precedido
separati	separados
continuato	continuado
colorazione	coloração
parità	paridade
etiopia	etiópia
sandra	sandra
illinois	illinois
magico	mágico
orleans	orleans
spalla	ombro
challenge	challenge
scipione	scipione
bach	bach
getto	jato
bros	bros
phillips	phillips
sentito	ouviu
sloveno	esloveno
call	call
indiani	índios
aperte	abertas
geometria	geometria
biagio	biagio
volevo	queria
tenendo	segurando
millennio	milénio
giganti	gigantes
