los	die
por	von
por	durch
con	mit
una	eine
una	ein
categoría	kategorie
para	für
como	wie
como	als
fue	war
más	weitere
más	mehr
sus	ihre
sus	seine
también	außerdem
también	auch
entre	zwischen
#redirección	#weiterleitung
este	dieser
este	dieses
este	osten
pero	aber
años	jahren
años	jahre
dos	zwei
son	sind
sobre	über
sobre	umschlag
año	jahreszahl
año	jahr
desde	von
desde	seit
esta	dieser
esta	diese
enlaces	verknüpfungen
enlaces	links
hasta	bis
hasta	sogar
externos	extern
externos	externen
ciudad	stadt
ser	sein
parte	teil
durante	während
sin	ohne
donde	wo
san	san
era	war
nacional	nationale
nacional	nationalen
primera	erste
primera	erstes
primera	erster
primera	ersten
team	team
cuando	wenn
seed	seed
nombre	namen
nombre	vorname
nombre	name
estados	zustände
estados	staaten
utc	utc
siglo	jahrhundert
siglo	jahrhunderts
después	danach
después	nachher
españa	spanien
tiene	hat
otros	sonstiges
otros	andere
otros	sonstige
gran	großen
gran	große
gran	großer
gran	großes
unidos	vereinigten
unidos	vereinigt
unidos	vereint
puede	kann
estado	staat
estado	status
estado	zustand
estado	bundesstaat
uno	eins
uno	einer
lugar	ort
primer	erste
primer	erstes
primer	erster
así	so
población	bevölkerung
muy	sehr
había	hatte
mismo	gleiche
mismo	gleichen
nueva	neue
nueva	neu
fueron	wurden
historia	geschichte
club	club
eran	waren
universidad	universität
universidad	hochschule
forma	form
tres	drei
grupo	gruppe
general	allgemeine
general	allgemein
general	allgemeinen
guerra	krieg
aunque	obgleich
aunque	obwohl
familia	familie
además	ausserdem
además	außerdem
además	zusätzlich
todo	alles
sur	süd
sur	süden
mayor	größer
mayor	älter
mayor	höher
según	laut
tiempo	zeit
provincia	bundesland
provincia	provinz
partido	partei
contra	gegen
encuentra	findet
todos	alle
juan	johannes
juan	juan
josé	josef
josé	josé
bajo	niedriges
bajo	niedrige
bajo	niedrig
bajo	unter
serie	reihe
serie	serie
cada	jedes
cada	jede
fútbol	fußball
fútbol	fussball
equipo	mannschaft
equipo	team
norte	norden
méxico	mexiko
han	haben
argentina	argentinien
inglés	englisch
inglés	engländer
nuevo	neuer
nuevo	neue
nuevo	neu
nuevo	neuen
nuevo	neues
véase	siehe
septiembre	september
octubre	oktober
segunda	zweites
segunda	zweite
discusión	erörterung
discusión	diskussion
discusión	debatte
gobierno	regierung
condado	grafschaft
final	finale
final	endgültig
final	ende
vida	leben
personas	menschen
personas	personen
español	spanisch
centro	zentrum
centro	mitte
julio	juli
lincoln	lincoln
país	land
mientras	während
internacional	international
internacional	internationalen
internacional	internationaler
internacional	internationale
santa	santa
antes	früher
antes	vorher
oficial	offizielle
oficial	offiziell
oficial	offizier
quien	wer
mundo	welt
embargo	embargo
tanto	soviel
tanto	sowohl
mayo	mai
mayo	mayo
algunos	einige
algunos	manche
algunos	einigen
temporada	jahreszeit
temporada	saison
mejor	besten
mejor	besser
mejor	bestes
mejor	beste
luego	dann
marzo	märz
día	tag
madrid	madrid
enero	januar
número	nummer
número	anzahl
número	zahl
agosto	august
diciembre	dezember
artículo	artikel
noviembre	november
estos	diese
abril	april
total	gesamt
total	insgesamt
región	region
sistema	system
habitantes	einwohner
habitantes	bewohner
maría	maria
real	real
página	seite
esto	dies
música	musik
presidente	präsidenten
presidente	präsident
presidente	vorsitzender
sólo	nur
álbum	album
cuenta	rechnung
cuenta	konto
cuenta	zählt
junio	juni
febrero	februar
ella	sie
pueden	können
varios	verschiedene
varios	mehrere
varios	verschiedenes
francia	frankreich
solo	allein
solo	nur
solo	alleine
chile	chile
tipo	typ
iglesia	gotteshaus
iglesia	kirche
película	film
película	kinobesucher
entonces	dann
banda	band
cuatro	vier
zona	gebiet
zona	zone
televisión	glotze
televisión	fernsehen
carlos	carlos
rey	königs
rey	könig
premio	auszeichnung
hace	macht
hace	tut
km²	km²
edición	bearbeitung
edición	editieren
edición	bearbeiten
edición	auflage
edición	ausgabe
tenía	hatte
premios	auszeichnungen
sitio	aufstellungsort
futbolistas	fußballer
bien	gut
segundo	sekunde
segundo	zweites
segundo	zweitens
segundo	zweite
segundo	zweiter
mar	meer
poco	wenig
orden	ordnung
orden	befehl
orden	auftrag
orden	reihenfolge
estadounidense	amerikaner
estadounidense	amerikanisch
agua	wasser
tierra	erde
tierra	land
título	titel
título	überschrift
earth	earth
división	division
división	abteilung
división	teilung
canción	lied
fecha	datum
república	republik
trabajo	arbeiten
trabajo	arbeit
luis	luis
caso	fall
dentro	innen
dentro	drinnen
dentro	innerhalb
obras	werke
color	farbe
distrito	landkreis
distrito	bezirk
distrito	distrikt
superficie	fläche
superficie	oberfläche
superficie	wohnfläche
copa	drink
muchos	viele
muchos	vielen
near	near
línea	zeile
línea	linie
francisco	franz
francisco	francisco
francisco	franziskus
les	les
siguiente	weiter
siguiente	nächstes
siguiente	nächster
siguiente	nächste
área	bereich
grandes	großen
grandes	große
censo	volkszählung
censo	zählung
liga	bund
liga	liga
estas	diese
muerte	tod
medio	medium
medio	halb
política	politik
política	politisches
menos	weniger
menos	abzüglich
largo	lange
largo	langes
buenos	guten
buenos	gute
hijo	sohn
hecho	erledigt
hecho	geschehen
hecho	gemacht
hecho	tatsache
hecho	getan
algunas	einige
carrera	karriere
carrera	rennen
poder	macht
pueblo	dorf
departamento	hauptabteilung
departamento	abteilung
hizo	machte
central	zentrale
central	zentral
york	york
ejemplo	beispiel
género	genre
género	gattung
padre	vater
isbn	isbn
campo	feld
isla	insel
hacer	machen
hacer	tun
ante	ante
conocido	bekannter
conocido	bekannte
conocido	bekannt
http	http
países	länder
países	ländern
frente	stirn
frente	frontseite
frente	front
antonio	antonio
época	epoche
director	direktor
director	regisseur
días	tage
días	tagen
española	spanische
versión	version
varias	mehrere
actual	aktuell
actual	aktueller
actual	aktuelle
momento	moment
momento	augenblick
lista	liste
lista	bereit
jpg	jpg
densidad	dichte
campeonato	meisterschaft
tarde	nachmittag
tarde	spät
tienen	haben
ejército	heer
ejército	armee
porque	weil
porque	denn
estación	jahreszeit
observatorio	informationsstelle
observatorio	sternwarte
observatorio	beobachtungsstelle
observatorio	observatorium
aires	aires
actualmente	derzeit
actualmente	zurzeit
desarrollo	entwicklung
escuela	schule
programa	programm
información	information
importante	wichtig
importante	wichtige
último	letzte
último	zuletzt
último	letztes
último	letzter
canciones	liede
canciones	lieder
canciones	gesänge
canciones	songs
uso	verwendung
uso	nutzung
uso	gebrauch
juegos	spiele
localidad	lokalität
localidad	ortschaft
base	grundlage
base	basis
punto	punkt
posición	position
posición	stellung
alemania	deutschland
ubicación	standort
ubicación	ort
ubicación	lage
partidos	parteien
grupos	gruppen
john	john
miembros	mitglieder
pedro	petrus
pedro	pedro
capital	hauptstadt
capital	kapital
primeros	erste
primeros	ersten
teatro	theater
cualquier	jede
laboratorio	laboratorium
laboratorio	labor
libro	buch
estudios	studien
estudios	studium
diferentes	verschieden
diferentes	verschiedenen
diferentes	unterschiedliche
diferentes	verschiedene
barcelona	barcelona
nivel	ebene
nivel	stufe
nivel	niveau
llamado	genannt
mayoría	mehrheit
unión	union
edad	alter
artículos	artikel
juego	spiel
arte	kunst
especies	arten
especies	spezies
estilo	stil
cine	kino
cine	kinofilme
proyecto	projekt
center	center
selección	auswahl
equipos	mannschaften
origen	ursprung
origen	herkunft
código	kode
código	code
museo	museum
puntos	punkte
perú	peru
militar	militärische
militar	militärisch
militar	militärischen
américa	amerika
ubicado	untergebracht
producción	produktion
producción	erzeugung
italia	italien
manuel	manuel
tener	haben
wikipedia	wikipedia
plantas	pflanzen
comenzó	begann
debe	muss
siempre	stets
siempre	immer
metros	metern
metros	meter
oro	gold
casi	beinahe
casi	fast
construcción	konstruktion
construcción	bauwesen
construcción	bau
local	lokale
local	lokalen
local	lokal
francés	französisch
francés	franzosen
francés	franzose
francés	französische
santiago	santiago
cerca	vorbei
cerca	nahe
estudio	studie
principales	wichtigsten
usuario	nutzer
usuario	benutzer
com	kom
com	com
cinco	fünf
anterior	vorherige
anterior	vorhergehende
anterior	früheren
batalla	kampf
batalla	schlacht
derecho	recht
imagen	bild
imagen	abbild
gracias	danke
gracias	dank
kitt	kitt
torneo	turnier
mucho	viel
social	soziales
social	sozialen
social	soziale
millones	millionen
comunidad	gemeinschaft
fin	ende
acuerdo	vereinbarung
acuerdo	abkommen
acuerdo	einigung
colombia	kolumbien
servicio	dienst
servicio	service
rock	rockmusik
rock	rock
político	politisch
político	politiker
películas	filmen
películas	filme
ver	sehen
ver	ansehen
ver	siehe
fuera	außerhalb
pesar	bedauern
popular	populär
popular	beliebte
popular	beliebt
muchas	viele
muchas	vielen
hoy	heutige
hoy	heute
alto	hohen
alto	hoch
cuerpo	körper
sino	sondern
disco	scheibe
sociedad	gesellschaft
tema	thema
dirección	anschrift
dirección	richtung
dirección	adresse
dirección	direktion
hombres	männer
última	letzte
última	letztes
última	zuletzt
original	ursprüngliche
original	ursprünglichen
original	ursprünglicher
original	original
original	originell
new	new
estadio	stadion
ambos	beide
ambos	beides
miguel	miguel
ley	gesetz
oeste	westen
mujeres	frauen
mujeres	weiblich
incluso	selbst
incluso	sogar
cambio	änderung
cambio	veränderung
style	style
jugador	spieler
instituto	institut
público	publikum
público	öffentlich
miembro	mitglied
superior	superior
superior	obere
media	durchschnitt
media	mittelwert
media	media
california	kalifornien
parque	park
tan	tan
tan	so
llegó	kam
archivo	datei
archivo	archiv
radio	radius
radio	rundfunk
radio	radio
ahora	nun
ahora	jetzt
parís	paris
parís	pariser
sería	wäre
sería	würde
world	world
cruz	kreuz
cest	cest
brasil	brasilien
red	netzwerk
red	netz
aquí	hier
canal	kanal
movimiento	bewegung
revista	magazin
revista	zeitschrift
éxito	erfolg
éxito	erfolgreich
relación	verwandtschaft
relación	beziehung
relación	verhältnis
relación	relation
elecciones	wahl
elecciones	wahlen
plaza	plaza
grande	gross
grande	groß
distribución	distribution
distribución	vertrieb
distribución	verteilung
compañía	firma
compañía	gesellschaft
proceso	prozeß
proceso	prozess
alrededor	ungefähr
alrededor	herum
musical	musikalisch
musical	musical
primero	zuerst
territorio	hoheitsgebiet
territorio	territorium
dice	sagt
hombre	mann
león	löwen
león	löwe
león	león
algo	irgendwas
algo	irgendetwas
algo	etwas
voz	stimme
década	jahrzehnt
década	dekade
madre	mutter
iii	iii
organización	organisation
monte	monte
aún	noch
decir	sagen
goles	tore
victoria	victoria
victoria	sieg
importantes	wichtige
resultado	resultat
resultado	ergebnis
china	china
china	chinesische
xix	xix
calle	strasse
calle	straße
papel	rolle
papel	papier
medios	mittel
francesa	französin
dio	gab
aparece	erscheint
empresa	firma
empresa	unternehmen
fernando	fernando
don	don
propio	eigenen
propio	eigenes
mapa	karte
civil	zivilist
civil	zivile
civil	zivil
civil	zivilen
venezuela	venezuela
educación	ausbildung
educación	bildung
educación	erziehung
término	begriff
llamada	aufgerufen
llamada	anruf
ciudades	städte
alta	hohe
alta	hoch
igual	gleich
igual	selbe
usa	nutze
usa	verwende
allí	dort
londres	london
tercera	drittes
tercera	dritter
tercera	dritte
edificio	gebäude
fallecimiento	todesfall
fuerzas	kräfte
posible	möglicher
posible	mögliche
posible	möglich
antiguo	altes
antiguo	antik
natural	natürlichen
natural	natürliche
álbumes	alben
paso	schritt
mujer	frau
fuerza	kraft
fuerza	stärke
altura	körpergröße
altura	höhe
hijos	söhne
garcía	garcia
for	for
servicios	dienstleistungen
villa	villa
conocida	bekannt
campeón	champion
autor	autor
autor	verfasser
modo	modus
personajes	charaktere
personajes	figuren
alemán	deutscher
alemán	deutsch
meses	monate
meses	monaten
único	einzige
único	ledig
único	einzigartig
actor	schauspieler
parece	scheint
antigua	antigua
especial	besondere
especial	spezial
especial	speziell
interior	innenraum
interior	innere
interior	inneren
plata	silber
lemmon	lemmon
japón	japan
control	steuerung
control	kontrolle
consejo	rat
seis	sechs
libre	frei
libre	kostenlos
libre	freien
libre	freier
libre	freie
libre	umsonst
llegar	ankommen
valle	tal
valle	senke
festival	festival
festival	fest
personaje	figur
personaje	charakter
principalmente	hauptsächlich
david	david
castillo	schloss
castillo	burg
publicado	publiziert
publicado	veröffentlicht
publicado	gesendet
cantante	sängerin
cantante	sänger
referencia	verweis
referencia	referenz
inglaterra	england
resto	rest
resto	übrige
editorial	leitartikel
editorial	verlag
deporte	sport
recibió	empfing
recibió	erhielt
espacio	raum
espacio	weltraum
espacio	platz
espacio	raumfahrt
asociación	assoziation
asociación	verband
asociación	partnerschaft
hija	tochter
acción	aktion
actores	akteure
actores	schauspielern
actores	schauspieler
actores	darsteller
hermano	bruder
fundación	gründung
fundación	stiftung
blanco	weiß
blanco	ziel
blanco	weiss
profesional	fachmann
profesional	professionelle
profesional	professionell
profesional	profi
episodio	folge
episodio	episode
cultural	kulturell
principios	grundsätze
principios	prinzipien
imperio	kaiserreich
imperio	imperium
imperio	reich
ganó	gewann
dicho	gesagt
nunca	niemals
nunca	nie
investigación	untersuchung
investigación	forschung
prefijo	präfix
municipios	gemeinden
from	from
problemas	ärger
problemas	probleme
modelo	modell
svg	svg
actividad	tätigkeit
actividad	aktivität
joven	jung
formación	ausbildung
formación	schulung
lugares	orte
incluyendo	einschließlich
incluyendo	inklusive
realizó	verwirklichte
realizó	führte
realizó	durchführte
planta	pflanze
período	periode
montañas	berge
montañas	gebirge
montañas	bergen
ronda	runde
clase	klasse
especialmente	besonders
especialmente	speziell
oficina	büro
alcalde	bürgermeister
alcalde	bürgermeisterin
longitud	längengrad
longitud	länge
temas	themen
políticos	politiker
políticos	politikern
deportivo	sportlich
arquitectura	architektur
creación	schaffung
creación	kreation
creación	schöpfung
barrio	stadtteil
barrio	nachbarschaft
barrio	viertel
libros	bücher
novela	roman
jorge	jorge
jorge	georg
razas	rassen
razas	rennen
academia	akademie
jefe	chef
jefe	häuptling
jefe	boss
defensa	verteidigung
características	merkmale
características	eigenschaften
características	funktionen
características	features
honor	ehre
survey	survey
incluye	enthält
incluye	beinhaltet
incluye	inklusive
existen	existieren
amor	liebe
fuente	quelle
obtuvo	bekam
obtuvo	erhielt
nuevos	neue
nuevos	neuen
martín	martin
situación	lage
situación	situation
nombrado	ernannt
nombrado	genannt
nombrado	benannt
existe	existiert
derechos	rechte
ministro	minister
interés	interesse
series	serie
series	serien
series	reihen
texto	text
escritores	schriftsteller
escritores	autoren
actriz	schauspielerin
persona	person
capacidad	fähigkeit
capacidad	fassungsvermögen
capacidad	kapazität
capacidad	kapazitäten
artes	künste
participó	teilgenommen
cantidad	menge
cantidad	quantität
fuentes	quellen
fuentes	schriftarten
fuentes	schriften
vista	vista
vista	ansicht
luz	licht
luz	leuchte
baja	niedrige
baja	niedrig
baja	senkt
paz	friede
paz	frieden
tercer	drittes
vuelta	umdrehung
vuelta	zurück
vuelta	umdrehen
noche	nacht
noche	abend
muestra	probe
muestra	zeigt
rusia	rußland
rusia	russland
personal	personal
personal	mitarbeiter
personal	persönlich
robert	robert
apoyo	unterstützung
semana	woche
pacífico	friedlich
pacífico	pazifik
escritor	schriftsteller
escritor	autor
escritor	verfasser
castilla	kastilien
profesor	lehrer
profesor	professor
profesor	dozent
comuna	kommune
comuna	commune
roma	rom
diseño	gestaltung
diseño	design
casos	fälle
negro	schwarzer
negro	schwarze
negro	schwarz
negro	schwarzes
camino	weg
ayuda	hilfe
ayuda	beihilfe
ayuda	helfen
nombres	namen
podría	könnte
causa	ursache
causa	verursacht
horario	zeitplan
ciencias	wissenschaften
últimos	letzten
tamaño	größe
tamaño	grösse
principio	grundregel
principio	grundsatz
principio	prinzip
periodo	periode
nacimiento	geburt
nada	nichts
etapa	stufe
etapa	phase
etapa	etappe
actualidad	aktuell
actualidad	aktualität
pequeño	kleines
pequeño	kleiner
pequeño	klein
santo	heilig
santo	heiligen
santo	heiliges
santo	heiliger
zonas	zonen
zonas	gebiete
lópez	lópez
referencias	verweise
referencias	referenzen
única	einmalig
única	einzigartig
ediciones	ausgaben
ediciones	editionen
dios	gott
debut	debüt
presente	anwesend
presente	gegenwart
congreso	kongreß
congreso	kongress
guitarra	gitarre
australia	australien
qué	was
pablo	pablo
elementos	elemente
compuesto	composite
horas	stunden
partes	teile
lengua	zunge
diversos	verschiedene
militares	militärische
militares	militär
militares	militärisch
militares	militärischen
torre	türme
torre	turm
dado	gegeben
actividades	aktivitäten
nacionales	nationalen
cantón	kanton
sencillo	einfache
sencillo	einfach
federal	federal
federal	bundes
participación	teilnahme
participación	beteiligung
participación	mitwirkung
participación	partizipation
fuerte	starke
fuerte	stark
italiano	italienischen
italiano	italienisch
posee	besitzt
jugadores	spielern
jugadores	spieler
lleva	trägt
seguridad	sicherheit
administración	verwaltung
empresas	unternehmen
empresas	firmen
mercado	markt
mercado	marktplatz
gonzález	gonzález
lucha	kampf
estructura	struktur
jesús	jesuiten
jesús	jesus
ocupación	besatzung
ocupación	belegung
ocupación	besetzung
ocupación	beruf
cet	twr
cet	mez
nacido	geboren
enrique	enrique
enrique	heinrich
literatura	literatur
católica	katholikin
católica	katholisch
católica	katholischen
católica	katholische
armas	gewehre
armas	waffen
energía	energie
idioma	sprache
valencia	valencia
cabeza	kopf
gobernador	statthalter
gobernador	gouverneur
city	city
córdoba	córdoba
mes	monat
situado	gelegen
situado	aufgestellt
diferencia	unterschied
diferencia	differenz
objetivo	ziel
objetivo	zielsetzung
ruta	pfad
ruta	route
perteneciente	gehörend
economía	wirtschaft
economía	ökonomie
economía	volkswirtschaft
histórico	historisch
histórico	historisches
histórico	historischen
india	indien
flores	blumen
visita	besuch
visita	besuche
conde	graf
fase	phase
william	william
resultados	resultate
resultados	ergebnisse
nos	uns
nos	wir
niños	kinder
niños	kindern
tales	solche
https	https
pequeña	kleine
pequeña	klein
campaña	kampagne
dar	geben
fernández	fernández
colegio	kollegium
occidental	westlichen
occidental	westliche
aproximadamente	ungefähr
tropas	truppen
sección	sektion
sección	abschnitt
presencia	gegenwart
presencia	anwesenheit
presencia	präsenz
presencia	vorhandensein
permite	ermöglicht
permite	erlaubt
sentido	sinn
uruguay	uruguay
ficha	registerkarte
ficha	register
tenían	hatten
top	top
siete	sieben
ets	ets
animales	tiere
esposa	ehefrau
esposa	frau
ríos	flüsse
ríos	flüssen
catalina	catalina
catalina	katharina
may	may
murió	gestorben
murió	starb
bar	bar
medalla	medaille
función	funktion
usuarios	verwender
usuarios	nutzer
usuarios	benutzer
programas	programme
calidad	qualität
artistas	künstlerinnen
artistas	künstler
artistas	interpreten
similar	ähnliche
similar	ähnlich
similar	ähnliches
nuestra	unsere
independencia	unabhängigkeit
buena	gute
sistemas	systeme
significa	bedeutet
paul	paul
virgen	jungfrau
transporte	beförderung
transporte	verkehr
transporte	verkehrsmittel
transporte	transport
pueblos	völker
rodríguez	rodriguez
coordenadas	koordinaten
vol	vol
valor	mut
valor	wert
unidad	maßeinheit
unidad	einheit
unidad	referat
unidad	laufwerk
crear	erstellen
crear	anlegen
imágenes	bilder
inicio	anfang
inicio	beginn
inicio	start
salud	gesundheit
contiene	enthält
sierra	sierra
sierra	säge
será	wird
idea	idee
llevó	führte
minutos	minuten
diego	diego
verano	sommer
sol	sonnenschein
teoría	theorie
teoría	theoretisch
revolución	revolution
entrada	eingang
entrada	eintrag
entrada	eintritt
mejores	besten
mejores	bessere
