reds	レッズ
posters	ポスター
leipzig	ライプツィヒ
santo	サント
expelled	退学
strait	海峡
stefan	シュテファン
stefan	ステファン
alto	アルト
thomson	トムソン
communicate	コミュニケーション
alphabet	アルファベット
zagreb	ザグレブ
chef	シェフ
carnegie	カーネギー
prizes	懸賞
prizes	賞品
eighteen	十八
eighteen	eighteen
shirt	シャツ
loading	ローディング
edges	エッジ
plantation	プランテーション
vernon	ヴァーノン
acre	エーカー
wonderful	素晴らしい
wonderful	ワンダフル
missiles	ミサイル
guides	ガイド
finger	フィンガー
garage	ガレージ
garage	車庫
savage	サベージ
climbing	登山
climbing	クライミング
barrel	バレル
biographies	伝記
ham	ハム
valve	バルブ
commenting	コメント
osaka	大阪
analog	アナログ
monkey	サル
tackle	タックル
integrity	整合性
definitions	定義
operas	オペラ
troop	部隊
marina	marina
marina	マリーナ
detection	検知
detection	検出
sixty	sixty
differential	差動
differential	微分
venus	ウェヌス
venus	金星
venus	ヴィーナス
salmon	サケ
salmon	サーモン
monarchy	君主制
stade	スタッド
francesco	フランチェスコ
abortion	流産
monica	モニカ
elephant	ゾウ
trademark	商標
ton	トン
counting	カウント
corn	コーン
corn	トウモロコシ
corn	とうもろこし
trucks	トラック
lengthy	長文
par	パー
tension	緊張
tension	テンション
cleaning	クリーニング
cleaning	洗浄
cleaning	清掃
cleaning	掃除
judgement	判断
judgement	審判
catalina	カタリナ
disasters	災害
lesbian	レズビアン
withdrawal	脱退
withdrawal	離脱
withdrawal	撤退
walks	ウォーキング
realm	レルム
trailer	トレーラー
trailer	予告編
janet	ジャネット
tornado	トルネード
tornado	竜巻
aunt	叔母
aunt	おば
genesis	ジェネシス
shallow	浅い
shallow	浅瀬
mentioning	言及
scattered	散逸
boyfriend	彼氏
boyfriend	ボーイフレンド
consolidated	連結
catholicism	カトリシズム
luther	ルター
pleasure	快感
pleasure	喜び
pleasure	快楽
seeks	シーク
webb	ウェッブ
alberto	アルベルト
magical	マジカル
deliberately	わざと
sacrifice	犠牲
sacrifice	生贄
faction	派閥
olive	オリーブ
corridor	回廊
corridor	廊下
molecules	分子
kiev	キエフ
vista	vista
vista	ビスタ
castro	カストロ
lineup	ラインナップ
ultra	ultra
ultra	ウルトラ
bulletin	掲示
bulletin	公報
clinic	クリニック
clinic	診療所
itunes	itunes
pollution	公害
pollution	汚染
questionable	疑わしい
sally	サリー
rex	レックス
afghan	アフガン
afghan	アフガニスタン
vatican	バチカン
folklore	伝承
affiliation	所属
cruiser	巡洋艦
cruiser	クルーザー
silk	シルク
agreements	協定
armour	装甲
eng	eng
stamps	切手
specimens	標本
consumers	消費者
cage	ケージ
correspondence	対応
correspondence	通信
tehran	テヘラン
cheshire	チェシャ
amanda	アマンダ
pos	pos
bye	バイ
employer	事業主
static	スタティック
nixon	ニクソン
panthers	パンサーズ
objection	異議
chocolate	チョコレート
helsinki	ヘルシンキ
cambodia	カンボジア
grandmother	おばあさん
grandmother	祖母
jung	ユング
brilliant	ブリリアント
libya	リビア
angela	アンジェラ
creature	生き物
gather	集める
android	android
android	アンドロイド
filmography	filmography
deposits	預金
apartments	アパート
csd	csd
uci	uci
puppet	パペット
meyer	マイヤー
meyer	メイヤー
strongest	最強
gameplay	ゲームプレイ
lima	リマ
batteries	電池
chains	チェイン
ucla	ucla
recover	回復
wong	ウォン
combine	組み合わせ
cubs	カブス
hawk	ホーク
hawk	タカ
rational	rational
altar	祭壇
ufc	ufc
exhibits	展示
determination	裁決
chennai	チェンナイ
myanmar	ミャンマー
proud	誇らしい
proud	自慢
proud	誇り
surveillance	監視
threatening	脅迫
allegiance	忠誠
discharge	退院
discharge	除隊
discharge	分泌物
penny	ペニー
rector	総長
bug	バグ
bug	不具合
bug	bug
proceed	続行
chapman	チャップマン
mud	マッド
decree	布告
honey	ハニー
honey	はちみつ
honey	蜂蜜
diagram	ダイアグラム
infringement	侵害
displacement	変位
sponsor	スポンサー
ira	アイラ
careers	キャリア
careers	求人
haiti	ハイチ
wisdom	知恵
pierce	ピアス
pierce	ピアース
stupid	バカ
alma	アルマ
alexandra	アレクサンドラ
shuttle	シャトル
hampton	ハンプトン
eva	eva
eva	エヴァ
mickey	ミッキー
atlético	アトレティコ
atlético	アトレチコ
lynch	リンチ
johannes	ヨハネス
trunk	トランク
genuine	本物
genuine	正真正銘
adolf	アドルフ
sharon	シャロン
guitarists	ギタリスト
hung	ハング
gardner	ガードナー
artifacts	アーティファクト
mandate	委任
mohammed	モハメッド
dish	ディッシュ
terrible	ひどい
rebecca	レベッカ
toledo	トレド
divide	分ける
divide	割る
divide	除算
recommendations	おすすめ
gymnastics	体操
alter	alter
ideology	イデオロギー
constantinople	コンスタンティノープル
modeling	モデリング
monsters	モンスターズ
bulls	ブルズ
harassment	嫌がらせ
harassment	ハラスメント
censorship	検閲
paramount	パラマウント
luxury	贅沢
yahoo	ヤフー
yahoo	yahoo
