και	and
το	the
από	from
από	by
με	with
να	to
που	which
για	for
σε	in
είναι	is
κατηγορία	category
τους	them
ήταν	was
ως	as
ένα	one
ότι	that
μια	one
έχει	has
θα	will
αλλά	but
μετά	then
μετά	after
επίσης	also
όπως	as
όπως	like
είχε	had
ενώ	while
δύο	two
αυτό	this
αυτό	that
αν	if
αυτή	she
όπου	wherever
όπου	where
όταν	when
μέχρι	until
μία	one
μπορεί	can
ομάδα	squad
ομάδα	group
ομάδα	team
θέση	position
μεταξύ	between
χρόνια	chronic
χρόνια	years
πρώτη	first
πιο	more
ένας	one
πόλη	town
πόλη	city
σύνδεσμοι	links
μόνο	only
έγινε	done
πολύ	very
κάθε	every
κάθε	each
περιοχή	region
περιοχή	area
αιώνα	century
έτσι	so
αθήνα	athens
περίοδο	period
τότε	then
όνομα	name
ελλάδα	greece
μέρος	part
μέρος	place
σήμερα	today
μέσα	inside
μέσα	in
πως	how
μαζί	together
διάρκεια	duration
ιστορία	story
ιστορία	history
πρωτάθλημα	league
πρωτάθλημα	championship
αργότερα	later
νέα	new
νέα	news
περίπου	about
περίπου	approximately
αυτά	these
πριν	before
χωρίς	without
εθνική	national
συζήτηση	conversation
συζήτηση	discussion
συζήτηση	debate
αρχείο	archive
αρχείο	file
πρέπει	must
φορά	time
πάνω	up
πάνω	upstairs
έλληνες	greeks
ομάδες	groups
ομάδες	teams
πρώτο	first
έργο	project
έργο	work
κυρίως	mainly
κυρίως	mostly
ου	th
όχι	not
όχι	no
ελληνική	greek
μεγάλη	big
υπό	under
έως	until
ποδοσφαιριστές	footballers
ταινία	movie
ταινία	tape
ταινία	film
άλλα	other
άλλα	others
τμήμα	department
τμήμα	section
σαν	like
εκεί	there
ωστόσο	however
άλλες	other
τέλος	finally
τέλος	end
σειρά	series
σειρά	order
σειρά	row
στοιχεία	elements
στοιχεία	data
εκτός	unless
εκτός	except
συνέχεια	continuity
συνέχεια	continue
συνέχεια	continued
κάτω	down
κάτω	lower
κάτω	downstairs
κάτω	below
μου	my
πολλές	many
όλα	everything
όλα	all
σύστημα	system
ακόμα	still
φορές	times
ίδια	identical
ίδια	same
ιουλίου	july
χώρα	country
αποτέλεσμα	outcome
αποτέλεσμα	result
αποτέλεσμα	effect
οκτωβρίου	october
ιανουαρίου	january
σεπτεμβρίου	september
νοεμβρίου	november
αγώνες	matches
αγώνες	games
ταινίες	films
ταινίες	movies
μέσω	via
μέσω	through
μαρτίου	march
γεννήθηκε	born
ιουνίου	june
αυτές	these
πολλά	many
απριλίου	april
τρεις	three
αυγούστου	august
έργα	works
έργα	projects
δεκεμβρίου	december
χρήση	use
πρόεδρος	president
πολιτική	policy
πολιτική	politics
ακόμη	still
ίδιο	same
μας	our
μας	us
εκλογές	elections
εκλογές	election
μέλη	members
τελικά	eventually
τελικά	finally
μέλος	member
εποχή	epoch
εποχή	season
εποχή	era
χωριό	village
αρχικά	initially
αρχικά	originally
αρχικά	initials
περίοδος	period
δήμος	municipality
κύπελλο	cup
ζωή	life
ζωή	zoe
έδρα	headquarters
έδρα	seat
περιλαμβάνει	includes
μεγάλο	large
μεγάλο	big
βάση	base
βάση	basis
κέντρο	center
κέντρο	centre
γεννήσεις	births
φεβρουαρίου	february
κάτι	something
κοντά	near
κοντά	close
κοντά	nearby
εκ	ec
μορφή	form
μορφή	format
χρόνο	time
ιστοσελίδα	website
κόμμα	party
κόμμα	comma
γιατί	because
γιατί	why
ρόλο	rollo
ρόλο	role
άλμπουμ	album
άλμπουμ	albums
επειδή	because
έκδοση	edition
έκδοση	version
γκολ	goals
γκολ	goal
αρχές	authorities
αρχές	principles
γύρω	around
συνήθως	usually
ονομασία	name
ονομασία	designation
κοινότητα	community
τελευταία	last
τελευταία	lately
έκανε	did
έκανε	made
ξεκίνησε	started
είτε	either
είτε	or
κυβέρνηση	government
πρώτος	first
πήρε	took
κάνει	done
ηπα	usa
αυτός	he
ανάμεσα	between
δεύτερη	second
γλώσσα	tongue
γλώσσα	language
γιος	son
μάχη	battle
μάχη	combat
μάχη	fight
πανεπιστήμιο	university
όλες	all
κάποια	some
δείτε	see
δείτε	watch
πόλεμο	war
συχνά	frequently
συχνά	often
περιοχές	regions
περιοχές	areas
πρώην	ex
πρώην	former
συμμετοχές	participations
παράδειγμα	example
άρθρο	article
εικόνα	picture
εικόνα	image
έλαβε	received
επίσημη	official
επίσημη	formal
κατοίκους	inhabitants
κατοίκους	residents
πηγές	sources
βόρεια	north
βόρεια	northern
πόλεις	towns
πόλεις	cities
ιδιαίτερα	particularly
ιδιαίτερα	especially
αγώνα	race
αγώνα	match
αγώνα	fight
γεγονός	event
γεγονός	fact
σελίδα	page
θέμα	theme
θέμα	subject
ηλικία	age
ντε	de
χρησιμοποιείται	used
πρώτα	first
μέγεθος	size
θεωρείται	considered
εδώ	here
νότια	southern
νότια	south
σημείο	point
σχέση	relationship
περίπτωση	case
νέο	new
ήδη	already
έτος	year
σχεδόν	almost
σχεδόν	nearly
ένωση	union
ένωση	association
περισσότερο	more
βασιλιά	king
εκκλησία	church
εκδόσεις	publications
μουσείο	museum
πολιτικός	politician
συμμετοχή	involvement
συμμετοχή	participation
δυο	two
μεγαλύτερη	greater
μεγαλύτερη	older
μεγαλύτερη	larger
μεγαλύτερη	bigger
πέθανε	die
πέθανε	died
ανά	per
μουσική	music
κόσμο	cosmo
κόσμο	world
άτομα	persons
άτομα	individuals
άτομα	people
δεύτερο	second
είδος	type
είδος	species
αρκετά	enough
μεγαλύτερο	older
μεγαλύτερο	larger
μεγαλύτερο	bigger
εκείνη	she
χώρες	countries
χώρο	space
σχολή	school
εναντίον	against
τρία	three
χαρακτηριστικά	characteristics
χαρακτηριστικά	features
χαρακτηριστικά	attributes
όρος	term
όρος	mount
όρος	condition
ιδρύθηκε	founded
βασιλιάς	king
παιδιά	boys
παιδιά	kids
παιδιά	guys
παιδιά	children
βραβείο	prize
βραβείο	award
άρχισε	started
φαίνεται	seems
φαίνεται	looks
αρχαία	ancient
μήκος	length
κυκλοφόρησε	released
τι	what
συμμετείχε	participated
χρονιά	year
παραγωγή	production
ηθοποιός	actress
ηθοποιός	actor
ούτε	neither
ελληνικά	greek
δυνάμεις	powers
δυνάμεις	strengths
δυνάμεις	forces
γαλλία	france
ελληνικό	greek
ευρώπη	europe
δεκαετία	decade
γνωστό	known
παγκόσμιο	global
βιβλίο	book
διάστημα	interval
διάστημα	space
οικογένεια	family
μέτρα	measures
σημαίνει	means
πέντε	five
παραπάνω	above
υπουργός	minister
σεζόν	season
πρότυπο	model
πρότυπο	template
πρότυπο	standard
αριθμός	number
θάνατο	death
εταιρεία	company
σώμα	body
σώμα	corps
