the	என்ற
and	மற்றும்
and	இன்னும்
was	இருந்தது
for	இதற்கு
for	க்கு
for	இதற்காக
for	க்காக
that	அந்த
that	என்று
with	குல
with	கொண்டு
with	இதனால்
with	உடன்
from	இருந்து
from	விட்டும்
from	அனுப்புநர்
from	முதல்
this	இந்த
this	இது
utc	utc
his	தன்
his	அவருடைய
his	அவனது
his	அவரின்
his	அவரது
not	அல்ல
not	இல்லை
not	கூடாது
are	இருக்கிறார்கள்
talk	பேச்சு
talk	பேசவும்
talk	பேசு
which	எந்த
also	also
also	அத்துடன்
also	கூட
has	கொண்டுள்ளது
has	has
were	இருந்தன
were	இருந்தனர்
were	இருந்த
but	ஆனாலும்
but	ஆனா
but	ஆனால்
have	உண்டு
one	ஒன்று
one	ஒன்றை
one	ஒரு
new	புதிதாக
new	புதியது
new	புதிய
new	புதிது
first	முதலாவது
first	முதலில்
first	முதல்
page	பக்கத்தை
page	பக்கம்
page	பக்கத்தைப்
page	பக்கத்தில்
you	நீங்கள்
you	நீ
they	அவர்கள்
article	கட்டுரை
who	யார்
who	யாரால்
who	யாரென்று
all	அனைத்தும்
all	எல்லா
all	அனைத்து
all	எல்லாம்
all	அனைவரும்
all	எல்லாமே
their	அவர்களின்
their	அவர்களது
their	தங்கள்
there	அங்கே
there	அங்கு
made	செய்த
made	made
its	அதன்
people	மக்களே
people	நபர்கள்
people	மக்களின்
people	மக்கள்
may	மே
after	பிறகும்
after	பின்பும்
after	பிறகு
after	பின்
other	மற்றவை
other	பிற
other	வேறு
other	மற்ற
should	வேண்டும்
two	இரண்டு
two	இருவர்
score	புள்ளிகள்
score	மதிப்பெண்
score	ஸ்கோர்
score	மதிப்பெண்கள்
her	அவளை
her	அவர்
her	அவளின்
her	அவளது
her	அவரது
can	முடியும்
would	இருந்திருந்தால்
more	பலவற்றிற்கு
more	அதிகம்
more	மேலும்
she	இவள்
she	அவளுக்கு
she	அவள்
about	அறிமுகம்
about	பற்றி
about	குறித்து
about	சுமார்
when	எப்போது
when	பொழுது
when	இருக்கும்போது
when	போது
time	நேரம்
time	காலம்
team	அணி
american	அமெரிக்கன்
american	அமெரிக்கர்
american	அமெரிக்க
such	அத்தகைய
such	இத்தகைய
discussion	கலந்துரையாடலை
discussion	விவாதம்
discussion	கலந்துரையாடல்
links	இணைப்புகள்
links	இணைப்புக்கள்
only	மட்டுமே
only	மட்டும்
some	சில
see	பார்
see	பார்க்க
see	காண்கிறேன்
united	யுனைடெட்
united	ஐக்கிய
united	united
united	ஐக்கியம்
years	ஆண்டுகள்
years	வருடங்கள்
into	இஸ்லாத்தில்
school	பள்ளிக்கு
school	பள்ளி
school	பாடசாலை
school	பள்ளிக்கூடம்
world	உலகம்
world	உலக
world	உலகமே
during	உடலுறவில்
during	போது
out	அவுட்
out	வெளியில்
out	வெளியே
state	நிலை
state	மாநிலம்
states	மாநிலங்கள்
states	மாநிலங்களில்
states	நிலைகள்
national	தேசிய
national	தேசியக்
wikipedia	விக்கிப்பீடியா
year	ஆண்டு
year	வருடம்
year	வருடமும்
city	நகரம்
city	சிட்டி
over	over
over	ஓவர்
used	பயன்படுத்தப்பட்டது
used	பயன்படுத்திய
used	பயன்படுத்தியது
then	பின்னர்
then	அப்பொழுது
then	பிறகு
then	அப்போது
then	பின்பு
than	விட
county	வட்டாரம்
external	வெளி
external	வெளிப்புற
where	எங்கே
where	எங்கு
will	செய்வான்
what	என்ன
what	என்னென்ன
delete	அழி
delete	நீக்கு
any	ஏதாவது
any	ஏதேனும்
any	எந்த
these	இவை
these	இவற்றையும்
these	இந்த
