tarjeta	cartão
oklahoma	oklahoma
orlando	orlando
anillos	anéis
leyendas	lendas
arenas	areias
morgan	morgan
contribución	contribuição
banderas	bandeiras
originario	originário
acb	acb
voluntarios	voluntários
germán	germán
vegetal	vegetal
versos	versos
indicar	indicar
jurídica	jurídica
transportes	transportes
domínguez	dominguez
compró	comprou
huir	fugir
sustitución	substituição
ejercer	exercer
horacio	horatio
distinciones	distinções
literalmente	literalmente
gráfica	gráfico
emisiones	emissões
supuestamente	supostamente
perdieron	perderam
western	western
isaac	isaac
bosnia	bósnia
químico	químico
destinos	destinos
partidarios	apoiantes
urss	urss
reacciones	reacções
reacciones	reações
challenger	challenger
adoptó	adotou
queso	queijo
leopoldo	leopoldo
ponce	ponce
externo	externo
silvestre	selvagem
silvestre	silvestre
gary	gary
inca	inca
identificar	identificar
narra	narra
ian	ian
hip	hip
smiths	smiths
concilio	concílio
escuchar	escutar
escuchar	ouvir
hop	hop
catorce	catorze
demostró	demonstrou
demostró	mostrou
legales	legais
his	his
representó	representou
pelota	bola
gráficos	gráficos
ferrer	ferrer
taiwán	taiwan
tercio	terço
natación	natação
frases	frases
entregó	entregou
anuncio	anúncio
azules	azuis
tubo	tubo
freshwater	freshwater
liceo	liceu
flamenco	flamengo
refleja	reflete
cálculo	cálculo
get	get
cifras	números
carter	carter
orange	orange
quebec	quebec
kentucky	kentucky
lorena	lorena
entrevistas	entrevistas
futura	futura
conduce	conduz
bibliotecas	bibliotecas
propietarios	proprietários
hierba	erva
detroit	detroit
responsables	responsáveis
convenciones	convenções
extremadamente	extremamente
toca	toca
toca	toque
cubana	cubana
review	review
hernán	hernan
hablan	falam
abad	abade
consistía	consistia
químicos	químicos
rechazó	rejeitou
publicadas	publicadas
iniciado	iniciado
manifiesto	manifesto
fantasma	fantasma
centímetros	centímetros
commons	commons
soluciones	soluções
revuelta	revolta
implicados	envolvidos
especialidad	especialidade
contraste	contraste
castellón	castellón
suyo	seu
carlo	carlo
generaciones	gerações
bello	bello
arreglos	arranjos
esencial	essencial
town	town
nombramiento	nomeação
jerez	jerez
cancha	quadra
abreviado	abreviado
esquema	esquema
esquema	destaques
piratas	piratas
sirven	servem
ecuación	equação
permanecer	permanecer
recibiendo	recebendo
faro	farol
jon	jon
phil	phil
almacenamiento	armazenamento
especializado	especializado
tarragona	tarragona
asignado	atribuído
producidos	produzidos
fire	fire
neutral	neutro
tienes	tens
walker	walker
conversión	conversão
separados	separados
omar	omar
descanso	repouso
sinónimo	sinônimo
violación	violação
presidenta	presidente
desempeño	desempenho
clemente	clemente
presentador	apresentador
obligó	obrigou
quintana	quintana
registró	registrou
utah	utah
platos	pratos
débil	fraca
vidrio	vidro
casarse	casar
broadway	broadway
trabajaba	trabalhava
presentaron	apresentaram
reseña	resenha
desarrollada	desenvolvida
crímenes	crimes
valdés	valdés
free	free
derivados	derivados
chihuahua	chihuahua
contando	contando
vasca	basca
vivos	vivos
gerardo	gerardo
australiano	australian
australiano	australiano
seguía	seguia
produjeron	produziram
ascendido	promovido
asteroide	asteróide
dimensión	dimensão
atentado	atentado
creía	acreditava
afganistán	afeganistão
restaurantes	restaurantes
perry	perry
comer	comer
heridas	feridas
diagnóstico	diagnóstico
señaló	apontou
asedio	cerco
montana	montana
privados	privados
onu	onu
francesco	francesco
modernas	modernas
celebrar	comemorar
simultáneamente	simultaneamente
collection	collection
intelectuales	intelectuais
alcaldía	prefeitura
macho	macho
alumno	aluno
steven	steven
reemplazo	substituição
décimo	décimo
setenta	setenta
clasificaciones	classificações
bach	bach
viña	vinha
capas	camadas
interacción	interação
interacción	interacção
murray	murray
perfecto	perfeito
mhz	mhz
permitido	permitido
jordi	jordi
girls	girls
universitarios	universitários
tiros	tiros
trigo	trigo
persa	persa
tennessee	tennessee
civilización	civilização
complejos	complexos
argentinas	argentinas
mariana	mariana
turco	turco
creen	acreditam
colegios	colégios
enfrentamientos	confrontos
iluminación	iluminação
extendió	espalhou
extendió	estendeu
convocado	convocado
participando	participando
mineral	mineral
sustancias	substâncias
entero	inteiro
impulso	impulso
computadora	computador
lectores	leitores
castellana	castellana
elevación	elevação
elevación	elevador
móviles	móveis
integra	integra
rotación	rotação
estabilidad	estabilidade
dependiente	dependente
curva	curva
alabama	alabama
maestría	mestrado
maestría	perícia
hidrógeno	hidrogênio
krai	krai
people	people
criminal	criminoso
criminal	criminal
year	year
vuelto	voltado
tejidos	tecidos
suceso	acontecimento
fabricante	fabricante
adquisición	aquisição
cuadrado	quadrado
israelí	israelita
israelí	israelense
existían	existiam
expulsado	expulso
guerreros	guerreiros
positivo	positivo
combatir	combater
iguales	iguais
impuesto	imposto
modificación	modificação
modificación	alteração
haría	faria
ginebra	genebra
luces	luzes
concluyó	concluiu
interiores	interiores
juveniles	juvenis
historieta	quadrinhos
esperaba	esperava
sindicato	sindicato
períodos	períodos
inclusión	inclusão
rick	rick
suspensión	suspensão
desplazamiento	deslocamento
reconocidos	reconhecidos
wars	wars
proporcionar	fornecendo
berlin	berlim
reveló	revelou
pedido	encomenda
históricamente	historicamente
educativa	educacional
font	font
específica	específica
jordan	jordan
huelga	greve
distinta	diferente
eddie	eddie
claudia	cláudia
apple	apple
benjamin	benjamin
capitales	capitais
sostiene	sustenta
adecuada	adequada
just	just
huesos	ossos
llamaba	chamava
vídeos	vídeos
serena	serena
declarada	declarada
salsa	molho
salvaje	selvagem
baleares	baleares
bryan	bryan
alfabeto	alfabeto
continuaron	continuaram
manuscrito	manuscrito
petersburgo	petersburgo
gosse	gosse
visitó	visitou
horizontal	horizontal
vestido	vestido
especializada	especializada
octavo	oitavo
palestina	palestina
ampliar	ampliar
orstom	orstom
cartel	cartaz
maryland	maryland
arm	arm
espero	aguardo
granja	fazenda
patas	pernas
heemstra	heemstra
vanguardia	vanguarda
hoese	hoese
presentada	apresentada
masters	masters
préstamo	empréstimo
plate	plate
iucn	iucn
oficio	profissão
estatuto	estatuto
dream	dream
liderazgo	liderança
mostrando	mostrando
space	space
célula	pilha
lineal	linear
franquicia	franquia
tervuren	tervuren
adquirir	adquirir
expulsión	expulsão
genes	genes
plana	plana
nicolas	nicolas
perón	perón
observaciones	observações
desembocadura	foz
pepe	pepe
rivales	rivais
solicitó	solicitou
alice	alice
rayo	raio
físicos	físicos
organiza	organiza
bombas	bombas
maurice	maurice
cecilia	cecília
cecilia	cecilia
marte	marte
retratos	retratos
loco	louco
harrison	harrison
stewart	stewart
formalmente	formalmente
argelia	argélia
sound	sound
novio	namorado
rechazo	rejeição
parker	parker
eligió	escolheu
firmar	assinar
describir	descrever
xavier	xavier
chipre	chipre
guy	guy
expresiones	expressões
ruptura	ruptura
emisora	emissora
filósofos	filósofos
previsto	planejado
thys	thys
adolescente	adolescente
inés	inês
actualizado	atualizado
prototipo	protótipo
dinámica	dinâmica
literarias	literárias
mencionada	mencionada
variación	variação
latitud	latitude
trío	trio
usted	você
sabía	sabia
alfa	alpha
alfa	alfa
ann	ann
grabada	gravada
irlandés	irlandês
audenaerde	audenaerde
edgar	edgar
anchura	largura
botanical	botanical
marciales	marciais
barry	barry
utilidad	utilidade
manchester	manchester
beatles	beatles
higgins	higgins
celebrada	realizada
receptor	destinatário
construidas	construídos
construidas	construídas
personalmente	pessoalmente
desapareció	desapareceu
prólogo	prólogo
valenciano	valenciano
xbox	xbox
maugé	maugé
force	force
states	states
ken	ken
campeona	campeã
lgbt	lgbt
automáticamente	automaticamente
centre	centre
pacheco	pacheco
necesarias	necessárias
abraham	abraão
colaboradores	colaboradores
lost	lost
baterista	baterista
caras	rostos
supercopa	supercopa
turín	turim
lesiones	lesões
disminución	diminuição
apoyó	apoiou
aceptación	aceitação
sídney	sydney
parra	parra
facilidad	facilidade
libras	libras
modificar	modificar
land	land
cedido	cedido
definido	definido
contribuyó	contribuiu
terrestres	terrestres
rara	rara
necesitan	precisam
soviéticos	soviéticos
figueroa	figueroa
adquirido	adquirido
clasificó	classificou
pérdidas	perdas
fantasía	fantasia
fenómenos	fenômenos
conecta	conecta
mini	mini
africano	africano
let	let
poética	poética
robinson	robinson
otomano	otomano
over	over
finanzas	finanças
sinfónica	sinfônica
suborden	subordem
boxeo	boxe
ocupada	ocupada
renault	renault
raymond	raymond
iron	iron
comparte	compartilhe
jerry	jerry
árbitro	árbitro
antropología	antropologia
favorable	favorável
bizantino	bizantino
significativa	significativa
protegida	protegida
fiel	fiel
derivado	derivado
rodaje	rodagem
escalera	escada
heinrich	heinrich
reglamento	regulamento
arabia	arábia
gigantes	gigantes
experimentos	experiências
paisajes	paisagens
cuesta	custa
mito	mito
dispuesto	disposto
grabados	gravuras
efectivo	dinheiro
robot	robô
cárdenas	cárdenas
cuota	quota
roland	roland
obreros	operários
sagrada	sagrado
sagrada	sagrada
primarias	primárias
interpretaciones	interpretações
hembra	fêmea
consiguieron	conseguiram
añadió	adicionou
añadió	acrescentou
gold	gold
procedimientos	procedimentos
dominante	dominante
fred	fred
rob	rob
vigente	vigente
chaco	chaco
luchador	lutador
ligera	leve
facultades	faculdades
tocando	tocando
recuerdos	lembranças
mantenido	mantido
popularmente	popularmente
específicos	específicos
wright	wright
falla	falha
llano	planície
llano	liso
romper	quebrar
huerta	horta
septentrional	setentrional
seguimiento	acompanhamento
difíciles	difíceis
cerveza	cerveja
proyección	projeção
neerlandés	holandês
neerlandés	neerlandês
chiapas	chiapas
compuestas	compostas
contenía	continha
bloqueado	bloqueado
maneras	maneiras
salen	saem
tocó	tocou
infierno	inferno
gastos	despesas
africana	africana
conformado	conformado
depósito	depósito
lucio	lúcio
montenegro	montenegro
avanzada	avançado
avanzada	avançada
nucleares	nuclear
emma	emma
terry	terry
jornadas	jornadas
situados	localizados
lobos	lobos
especialista	especialista
octava	oitava
pendiente	brinco
pendiente	pendente
realista	realista
century	century
cortas	curtas
definitivo	definitivo
recordar	recordar
comenzando	começando
paraíso	paraíso
autora	autora
funcionar	funcionar
testimonio	testemunho
malta	malta
balonmano	handebol
bloques	blocos
positiva	positivo
pudieran	pudessem
