прес	press
убиства	homicide
убиства	killings
убиства	murders
убиства	homicides
почетоци	startups
почетоци	beginnings
квал	qual
судови	courts
династии	dynasties
податок	data
маска	disguise
маска	mask
бунтот	mutiny
сива	grey
прогласи	declares
прогласи	declared
прогласи	declare
прогласи	proclaimed
прогласи	proclaim
жолто	yellow
дизајниран	designed
фановите	fans
измама	hoax
измама	deception
измама	fraud
измама	scam
фантастика	fiction
ситни	petty
роуз	rose
североисточна	northeastern
есеј	essay
андонов	andonov
петнаесет	fifteen
готски	gothic
покажала	showed
возможно	possible
радост	joy
часовникот	clock
паул	paul
мотив	motive
мотив	motif
фокс	fox
варијација	variation
кил	kiel
бронзени	bronze
можен	possible
поток	stream
блејк	blake
гијом	guillaume
буш	bush
крајно	utterly
квалификации	qualifications
бруклин	brooklyn
регент	regent
помлад	younger
спроти	across
размери	proportions
магија	spell
магија	magic
забележана	spotted
четврток	thursday
нормален	normal
тима	tima
половите	sexes
половите	genders
грозје	grape
грозје	grapes
експерти	experts
дефинирање	defining
трговец	merchant
трговец	trader
трговец	salesperson
трговец	dealer
гери	gerry
гери	gary
традиционален	traditional
бари	bari
руда	ore
отстапување	deviation
офанзива	offensive
неуспехот	failure
органите	organs
потези	moves
поеми	poems
грлото	throat
малцинство	minority
акти	acts
одбранбен	defensive
визија	vision
запишани	enrolled
хауард	howard
петок	friday
рубе	roubaix
шон	shawn
шон	shaun
шон	sean
капела	chapel
феликс	felix
стратегии	strategies
ужива	enjoys
ужива	enjoying
востаници	zealots
интерфејс	interface
понатамошно	further
гренланд	greenland
електрично	electrical
електрично	electric
електрично	electrically
отвора	opens
разновидни	varied
емили	emily
сериозна	serious
еврејско	jewish
сведочат	testify
мешано	mixed
мешано	medley
хонг	hong
сонот	daydream
прозорци	windows
тина	tina
шестиот	sixth
гент	gent
гент	gant
реално	real
глагол	verb
придонесе	contribute
карпа	cliff
карпа	rock
правно	legally
пренесе	transmit
пренесе	relayed
пренесени	transferred
волумен	volume
проширена	enlarged
проширена	extended
проширена	expanded
функционирање	functioning
квантна	quantum
завршено	complete
завршено	completed
завршено	finished
завршено	done
сплит	split
хиерархија	hierarchy
хиерархија	pecking
даун	daun
будизмот	buddhism
најави	announces
најави	announced
монте	monte
нуклеарни	nuclear
дестинација	destination
читателите	readers
сирење	cheese
државник	statesman
одлуките	decisions
лоцирана	located
минерали	minerals
минерали	mineral
засекогаш	forever
зачува	preserve
робин	robin
робин	robyn
светла	lights
светла	bright
специјализирани	specialised
специјализирани	specialized
невис	nevis
наумов	naumov
дискови	discs
дискови	disks
реализира	realise
климатски	climatic
црви	worms
црви	maggots
крилја	wings
манифестации	manifestations
слабост	weakness
џонатан	jonathan
њукасл	newcastle
предвидени	envisioned
извршено	perpetrated
извршено	committed
херберт	herbert
русите	russians
профит	profit
профит	profits
ремикс	remix
дизајнирани	designed
борусија	borussia
жанеиро	janeiro
делегација	delegation
падина	slope
дамки	stains
дамки	blobs
дамки	spots
борел	borrell
борел	borel
болен	ill
болен	sick
мет	matt
унгарскиот	hungarian
сливот	confluence
сервиси	services
вработување	hiring
вработување	employment
јасен	clear
јасен	jasen
апарат	camera
апарат	apparatus
морските	sponges
медисон	madison
ментор	mentor
тековната	current
завршување	completion
шели	shelley
шели	shelly
стих	verse
мјанмар	myanmar
гарсија	garcia
гарсија	garcía
заем	loan
максимилијан	maximilian
конзул	consul
капа	kappa
капа	cap
капа	hat
капа	capa
микронезија	micronesia
опција	option
исполнува	fulfilling
исполнува	meets
исполнува	fulfills
гвајана	guyana
омега	omega
комунистите	communists
мешани	mixed
церемонијата	ceremony
конфедерација	confederation
познавање	knowledge
ленин	lenin
работен	working
бокс	boxing
зелено	green
разновидност	diversity
разновидност	variety
реони	precincts
епоха	epoch
јава	rides
јава	java
моја	my
моја	mine
балет	ballet
убеди	persuaded
убеди	convince
убеди	persuading
убеди	persuade
вечера	dinner
наполи	naples
наполи	napoli
наведено	specified
зачувана	stored
зачувана	saved
зачувана	preserved
јазична	lingual
шпанците	spaniards
прикажано	shown
осман	osman
презиме	surname
присуствувале	attended
сигурни	reliable
обична	plain
можностите	opportunities
патуваат	travelling
