protestants	protestanti
arrestation	arresto
daté	datato
cristal	cristallo
combinaison	combinazione
favoriser	favorire
taxe	tassa
radar	radar
jouée	giocata
malaisie	malesia
nominations	nomine
terminée	completata
nés	nati
repas	pasto
éthique	etica
hesse	hesse
arms	arms
halle	halle
supercoupe	supercoppa
luxe	lusso
estimée	stimato
estimée	stimata
maîtresse	padrona
lorenzo	lorenzo
rob	rob
casablanca	casablanca
dennis	dennis
traitant	trattando
mail	mail
qualifier	qualificare
compositeurs	compositori
artisans	artigiani
cat	cat
wood	wood
bourges	bourges
témoigne	testimonia
strictement	rigorosamente
tâches	compiti
trouvant	trovando
impératrice	imperatrice
ressort	molla
marquer	segna
chartres	chartres
décoré	decorato
humides	bagnate
léo	leo
hof	hof
condé	condé
contraintes	vincoli
détective	detective
cohen	cohen
conçue	progettata
sarkozy	sarkozy
pole	pole
wagner	wagner
devenus	diventati
mondes	mondi
wurtemberg	württemberg
salomon	salomone
barbe	barba
allié	alleato
prouver	dimostrare
proposant	proponente
dette	debito
auront	avranno
dream	dream
moyennes	medie
meurthe	meurthe
bibliothèques	biblioteche
cru	crudo
dessert	dessert
blake	blake
nationaliste	nazionalista
peuplée	popolata
expert	esperto
normand	normanno
lourde	pesante
holmes	holmes
faisaient	facevano
renard	volpe
esclavage	schiavitù
magnétique	magnetico
mississippi	mississippi
collègues	colleghi
ille	ille
attire	attira
graines	semi
rébellion	ribellione
républicaine	repubblicana
rtl	rtl
nova	nova
isolées	isolate
percussions	percussioni
fixé	fissato
tueur	assassino
envoyés	inviati
galeries	gallerie
apparente	apparente
parlent	parlano
provincial	provinciale
évident	ovvio
coûts	costi
auxerre	auxerre
libérer	liberare
munitions	munizioni
divine	divina
warren	warren
observe	osserva
bouddhisme	buddismo
fraction	frazione
présentés	presentati
aidé	aiutato
opera	opera
concepts	concetti
harmonie	armonia
magnus	magnus
révélé	rivelato
collins	collins
blocs	blocchi
voulant	volendo
acheté	comprato
acheté	acquistato
ouvertes	aperte
bolivie	bolivia
coupé	tagliato
#aaa	#aaa
législation	legislazione
localement	localmente
cerf	cervo
révolutionnaires	rivoluzionari
proportion	proporzione
palatinat	palatinato
noces	nozze
poméranie	pomerania
sylvie	sylvie
posthume	postumo
wolfgang	wolfgang
reçoivent	ricevono
câble	cavo
mers	mari
amoureuse	innamorata
lost	lost
johan	johan
cbs	cbs
reconstruit	ricostruito
canaux	canali
figaro	figaro
exercer	esercitare
brièvement	brevemente
irlandaise	irlandese
boucle	fibbia
produisent	producono
maçonnerie	muratura
chevet	capezzale
slovénie	slovenia
correctement	correttamente
piliers	pilastri
coordination	coordinazione
coordination	coordinamento
talents	talenti
diplomatique	diplomatico
doux	dolce
pères	padri
capables	capaci
partagé	condiviso
romaines	romane
achevé	completato
joint	guarnizione
syndicats	sindacati
immédiate	immediata
nigeria	nigeria
lou	lou
gaulois	gallo
émilie	emilia
convaincu	convinto
nacional	nacional
malades	malati
leonard	leonard
concession	concessione
hainaut	hainaut
