이시하라	ishihara
진지하게	seriously
개미	ant
개미	ants
엄격히	strictly
아벨리노	avellino
스파르타	sparta
사임	resigned
사임	resign
브레인	brain
에런	aaron
침입	intrusion
침입	trespassing
움직임	move
움직임	movement
움직임	motion
움직임	moving
움직임	moves
움직임	movements
블리자드	blizzard
미소	smile
미소	smiling
미소	smiles
생략	omitted
생략	omit
낸시	nancy
아다치	adachi
눈동자	pupil
갈라파고스	galapagos
갈라파고스	galápagos
안드로메다	andromeda
닉슨	nixon
시에나	siena
스탠드	stand
스탠드	stands
번개	lightning
에드먼드	edmund
카테고리	category
카테고리	categories
왓슨	watson
외과	surgery
외과	surgical
처녀	virginity
처녀	virgin
처녀	maiden
처녀	virgins
변광성	variable
평평한	flat
입대	enlisted
입대	enlistment
에이브러햄	abraham
본격	earnest
안데스	andean
사라져	disappear
물병자리	aquarius
메츠	mets
결론	conclude
결론	conclusions
결론	conclusion
이사벨	isabel
이사벨	isabella
이사벨	isabelle
처형	execute
처형	execution
추측	conjectures
추측	guessing
추측	conjecture
추측	guessed
추측	guess
니켈로디언	nickelodeon
이용하기	use
파이어폭스	firefox
넥서스	nexus
평론	criticism
평론	critic
툴루즈	toulouse
듀크	duke
창고	warehouse
창고	warehouses
창고	storehouse
킥복싱	kickboxing
섭씨	celsius
마술사	juggler
마술사	magician
마술사	sorcerer
구매	purchase
구매	purchases
구매	purchasing
구매	purchased
구매	buying
레즈	reds
기술자	technicians
기술자	technician
기술자	technologist
기술자	engineer
트렉	trek
평등	equality
평등	equal
후예	descendants
윈터	winter
윈터	wynter
해왕성	neptune
타쿠야	takuya
스마일	smile
스마일	smiles
니카라과	nicaraguan
니카라과	nicaragua
패닉	panic
세키	seki
칸국	khanate
문자열	substring
문자열	string
문자열	strings
앨프리드	alfred
구멍	hole
구멍	holes
잘라	cut
피어스	pierce
피어스	pearce
뉴어크	newark
프리즘	prism
리포터	reporter
비평	criticism
아치	archie
아치	arches
아치	arch
센트	cents
센트	cent
재해	disasters
커티스	curtis
포기	foggy
공부	studying
공부	study
공부	studies
아쿠아	aqua
아쿠아	acqua
갇혀	trapped
가죽	leather
찾았다	found
빠르다	fast
매출	sales
분노	anger
분노	wrath
분노	rage
트레이너	trainer
트레이너	trainers
포위	encirclement
공예	crafting
공예	craft
공예	handicraft
공예	crafts
그라운드	ground
연합국	allies
인공위성	satellites
인공위성	satellite
산부인과	obstetrics
롤러코스터	rollercoaster
콘도	condo
베티	betty
아이팟	ipod
아이팟	ipods
지식인	knowledge
다카	dhaka
다카	taka
몸통	torso
유죄	guilty
알겠습니다	okay
할당	assignment
할당	allocation
할당	assignments
할당	allocate
할당	assigning
할당	assign
초보	novice
초보	beginner
협박	threatening
협박	threats
협박	blackmail
협박	intimidation
노바	nova
타슈켄트	tashkent
상대방	counterparty
질주	snorting
질주	gallop
블랙번	blackburn
후방	rear
포장	packaging
포장	wrap
포장	packing
