dhe	and
një	one
nga	from
nga	by
për	for
është	is
edhe	even
tij	his
nuk	not
ishte	was
janë	are
duke	by
duke	having
shumë	very
por	but
pas	after
pas	following
këtë	this
parë	seen
tyre	their
tyre	them
mund	could
mund	can
ose	or
gjatë	long
disa	some
lidhje	links
lidhje	relationship
lidhje	connection
lidhje	link
kjo	this
kjo	that
kur	when
mbi	over
mbi	above
deri	till
deri	until
jashtme	external
jashtme	exterior
saj	sy
saj	its
saj	her
kishte	had
ajo	she
ajo	it
vetëm	alone
vetëm	only
vetëm	just
ata	them
ata	those
ata	they
tjera	other
pjesë	parts
pjesë	part
atë	him
atë	it
sipas	according
shqiptare	albanian
madhe	big
rreth	about
rreth	around
para	money
para	cash
para	before
ishin	were
per	about
per	for
këto	these
apo	or
banorë	inhabitants
banorë	residents
komuna	municipalities
komuna	municipality
cila	which
nje	one
kundër	counter
kundër	against
madh	immense
lista	list
lista	lists
qenë	been
kantoni	canton
gjithashtu	also
ndërsa	while
cilat	which
ndryshme	different
ndryshme	divergent
etj	etc
duhet	need
duhet	must
sipërfaqe	surfaces
sipërfaqe	surface
ato	them
ato	they
ato	those
përgjithshëm	general
tjetër	other
tjetër	next
njohur	familiar
njohur	recognized
njohur	recognised
njohur	known
shqiptar	albanian
shqiptar	shqiptar
style	style
dytë	second
mirë	good
fundit	last
fundit	latest
pasi	after
shiko	see
shiko	look
nën	below
nën	sub
nën	under
jpg	jpg
herë	fold
herë	times
viti	year
sot	today
çdo	every
çdo	any
lartë	high
popullsi	population
kosovës	kosovo
komunë	municipality
jetë	life
president	president
bërë	done
eshte	is
mes	middle
mes	mid
mes	between
vonë	late
vend	country
vend	venue
vend	place
shqipëri	albania
pak	little
pak	slightly
francë	france
fshat	countryside
fshat	village
zyrtare	official
kryetari	speaker
kryetari	chairman
luftës	ww
vendosur	located
pasur	had
pasur	rich
sepse	because
sepse	cause
kishin	had
vitet	years
tre	triplets
tre	three
fund	skirt
fund	ending
fund	end
marrë	taken
tjerë	others
harta	map
harta	maps
mbreti	king
midis	between
vogël	tiny
kosovë	kosovo
vjet	years
përbëhet	consists
përbëhet	consist
pastaj	then
shtetit	state
nëse	if
tiranë	tirana
kombëtare	national
emrin	name
mori	received
mori	took
filloi	started
ish	ex
ish	former
mars	march
mars	mars
file	file
presidenti	president
lindur	born
lindi	lindi
lindi	lindy
lindi	birth
kryesore	main
aktualisht	currently
qyteti	town
qyteti	city
politike	political
qershor	june
pse	why
maj	may
vetë	firsthand
vetë	self
nëntor	november
janar	january
thotë	says
shtator	september
vet	his
brenda	brenda
brenda	inside
shteteve	states
kryesisht	mainly
kryesisht	mostly
shqiptarë	albanians
prill	april
ditë	day
ditë	days
tetor	october
shkurt	february
shkurt	short
bëhet	become
bëhet	becomes
vjetër	old
bën	does
bën	makes
kodi	code
monark	monarch
dhjetor	december
dhjetor	decimal
mbret	king
aktuale	current
gjuhën	tongue
gjuhën	language
tani	now
frëngjisht	french
km²	km²
shtetet	states
shtetet	countries
informacion	information
shume	very
shume	much
gusht	august
shba	usa
pranë	beside
pranë	near
top	top
korrik	july
katër	four
rëndësishme	important
fillim	beginning
prishtinë	pristina
jashtë	outside
jashtë	out
përbërja	composition
shën	saint
qytet	town
qytet	city
këtu	here
dhënë	given
dhënë	granted
përdorur	used
faqja	page
aty	there
nëpër	through
krijuar	created
del	del
zona	zone
zona	area
këshilltarëve	councillors
vit	year
shpesh	frequently
shpesh	often
përfshirë	involved
përfshirë	included
megjithatë	nevertheless
megjithatë	however
data	date
kryesor	main
kryesor	primary
emri	name
jane	jane
new	new
isbn	isbn
zakonisht	usually
zakonisht	usual
reja	new
federal	federal
qarkun	county
qendër	center
qendër	centre
ana	ana
ana	anna
republika	republic
iii	ill
iii	iii
provinca	province
der	der
fjalë	word
fjalë	words
ndodhet	located
amerikan	american
osmane	ottoman
pjesa	part
ndonjë	any
caps	caps
gjë	thing
ali	allie
ali	ali
shkruar	written
kulturore	cultural
mesme	middle
mesme	medium
shqip	shqip
shqip	albanian
numër	number
atëherë	then
mjaft	enough
bazë	base
bazë	basic
kohe	time
ndërtuar	built
ndërtuar	build
nëpërmjet	via
nëpërmjet	through
solid	solid
fshati	village
vite	years
forcat	forces
vdiq	died
sipërfaqja	hull
jug	south
atyre	them
lidhur	connected
lidhur	linked
lidhur	tied
ushtarake	military
veri	north
papa	pope
popullore	popular
numri	number
atij	him
përveç	except
vepra	opus
vepra	deeds
vepra	works
asaj	her
vërtetë	real
vërtetë	really
përmes	via
përmes	through
përdoret	used
dha	gave
arriti	arrived
botë	world
spanjë	spain
ndërkombëtare	international
shqipëria	albania
sidomos	especially
tretë	third
veriore	northern
merr	take
merr	get
formë	shape
formë	form
kisha	churches
kisha	kisha
kisha	church
veçantë	special
shteti	country
shteti	state
vende	places
vende	seats
ndeshje	match
njerëzit	people
ende	still
maqedonisë	macedonia
shënoi	scored
shënoi	marked
fitoi	won
vendi	country
vendi	place
http	http
faqe	cheek
faqe	page
