yra	is
lietuvos	lithuanian
apie	about
kaip	how
kaip	as
kaip	like
kad	that
taip	yep
taip	yes
taip	yeah
taip	yup
savo	your
pat	pat
jis	he
vieta	venue
vieta	locations
kaimas	village
šiaurės	nordic
tačiau	however,
tik	only
tik	just
vilniaus	vilnius
mirties	death
bet	but
lietuvių	lithuanian
miesto	urban
jav	us
turi	must
dar	still
dalis	part
kauno	kaunas
vilnius	vilnius
kalba	language
karo	war
kultūros	culture
labai	very
birželio	june
jie	they
kurie	who
kur	where
daug	many
daug	much
rytų	east
rytų	eastern
tuo	jo
mokykla	schools
mokykla	school
čia	here
kuri	kuri
vakarų	west
vakarų	western
muzikos	musical
nors	though
futbolo	soccer
futbolo	football
pietų	lunch
daugiau	more
kaimo	village
todėl	therefore
jau	already
and	duck
dirbo	worked
jonas	jonas
dalyvavo	implicated
dalyvavo	participated
kalbos	languages
kalbos	language
universiteto	psychological
mokyklos	school
šeimos	family
upės	river
upės	rivers
šiaulių	šiauliai
xix	xix
dabar	now
rajonas	district
gyveno	resided
gyveno	lived
dainų	songs
darbo	working
isbn	isbn
vandens	aquatic
vaikai	children
oro	air
tekstas	text
anglų	english
meno	arts
meno	artistic
svetainė	website
jei	if
administracinis	administrative
istorijos	story
istorijos	history
daktaras	dr
bažnyčios	churches
jūros	sea
kas	what
kas	who
kas	whats
gyvena	lives
universitetas	university
kaunas	kaunas
apskritis	county
įkurta	founded
šio	this
ežeras	lake
romos	roman
palenkės	gmina
beveik	nearly
mokslo	science
vytautas	vytautas
pasaulyje	worldwide
antanas	anthony
antanas	antanas
kartais	sometimes
kartais	occasionally
juozas	juozas
kaime	village
šių	these
herbas	herb
herbas	emblem
tūkst	thousand
tėvas	father
sporto	sport
sporto	sporting
gavo	got
karalius	king
juos	them
muziejus	museum
šeima	family
kaune	kaunas
laimėjo	won
provincija	province
salos	island
upė	river
istorija	story
istorija	history
com	com
sūnus	son
tsrs	ussr
tsrs	soviet
kelio	road
amerikos	american
amerikos	america
klubas	club
klubas	hip
piliakalnis	mound
teatro	theatrical
teatro	theater
teatro	theatre
giminės	relatives
laiko	temporal
laiko	time
kadangi	whereas
pedagogas	pedagogue
sudarė	represented
teka	flowing
veikia	works
veikia	operates
rūšis	species
gyvenimo	living
gyvenimo	life
kelias	road
panevėžio	panevėžys
būtų	would
pietus	lunch
žmogaus	human
netoli	near
užsienio	foreign
apibūdinimas	characterisation
apibūdinimas	description
moterų	female
literatūros	literary
žmona	wife
