occidentaux	occidentales
entourée	rodeada
contacts	contactos
poudre	polvo
avertissement	advertencia
continental	continental
occupant	ocupante
travaillent	trabajan
abandonnée	abandonada
frederick	frederick
géré	gestionado
ring	ring
théologien	teólogo
algorithme	algoritmo
minuit	medianoche
buste	busto
humide	húmedo
catalan	catalán
contrats	contratos
censure	censura
chapelles	capillas
indicatif	indicativo
bush	bush
marathon	maratón
solitaire	solitario
lombardie	lombardía
lazare	lázaro
aveyron	aveyron
justifier	justificar
baies	bayas
beauvais	beauvais
avr	avr
perpignan	perpiñán
peste	peste
wallace	wallace
instructions	instrucciones
controverse	controversia
fonder	fundar
angles	ángulos
autorise	autoriza
aaron	aaron
soudan	sudán
lama	lama
détenu	detenido
murphy	murphy
purement	puramente
divorce	divorcio
cook	cook
manhattan	manhattan
hardy	hardy
parme	parma
paiement	pago
imposant	imponente
fair	fair
systématique	sistemático
rémy	rémy
prochain	próximo
morris	morris
survie	supervivencia
collégiale	colegiada
hydrogène	hidrógeno
provoquer	provocar
igor	igor
métaux	metales
parrain	padrino
révélation	revelación
hudson	hudson
avoue	confiesa
fabrice	fabrice
gravité	gravedad
valérie	valerie
groupement	agrupación
belfort	belfort
pente	pendiente
multi	multi
adhésion	adhesión
remparts	murallas
kid	kid
apple	apple
karen	karen
drôme	drôme
nazi	nazi
moral	moral
chanoine	canónigo
narrateur	narrador
complément	complemento
futurs	futuros
traverser	cruzar
pacific	pacific
dons	donaciones
ignore	ignora
patrie	patria
sèche	seco
oxygène	oxígeno
molécules	moléculas
céramique	cerámica
uss	uss
judaïsme	judaísmo
pauvreté	pobreza
sévère	severo
sévère	severa
souligne	destaca
exemplaire	ejemplar
enregistrer	guardar
monstre	monstruo
séparés	separados
morales	morales
perry	perry
roubaix	roubaix
brève	breve
anthologie	antología
positive	positiva
substance	sustancia
geste	gesto
matrice	matriz
nfl	nfl
sardaigne	cerdeña
escrime	esgrima
perception	percepción
charleroi	charleroi
axes	ejes
significations	significados
descendance	descendencia
mayer	mayer
appartenance	pertenencia
commonwealth	commonwealth
gregory	gregory
arménien	armenio
étymologie	etimología
composants	componentes
rival	rival
patriarche	patriarca
constituant	constituyente
dominant	dominante
carburant	combustible
téléchargement	descarga
voler	volar
sigle	sigla
kilomètre	kilómetro
dubois	dubois
identifié	identificado
successives	sucesivas
vaucluse	vaucluse
honneurs	honores
capturé	capturado
jet	jet
enterrée	enterrada
riz	arroz
constance	constanza
guatemala	guatemala
extraordinaire	extraordinario
chan	chan
postérité	posteridad
médicis	medici
doyen	decano
décédée	fallecida
créatures	criaturas
otan	otan
patinage	patinaje
perdent	pierden
indispensable	indispensable
révision	revisión
const	const
préliminaire	preliminar
name	name
bulle	burbuja
alessandro	alessandro
modifiée	modificada
pete	pete
médicaments	medicamentos
cricket	cricket
cricket	críquet
ancêtres	antepasados
olga	olga
développés	desarrollados
touristes	turistas
réédité	reeditado
terrible	terrible
blood	blood
hilaire	hilaire
confondre	confundir
mobiles	móviles
barrière	barrera
soie	seda
acoustique	acústica
colonial	colonial
marches	escalones
amicalement	amistosamente
sécession	secesión
intellectuelle	intelectual
aluminium	aluminio
piège	trampa
biélorussie	bielorrusia
doc	doc
citations	citas
tubes	tubos
écho	eco
thématique	temática
tragédie	tragedia
mozart	mozart
organiste	organista
excellent	excelente
hart	hart
entraîner	entrenar
hôtels	hoteles
arras	arras
diminution	disminución
horizon	horizonte
gorge	garganta
librement	libremente
silver	silver
pauline	pauline
offrant	ofreciendo
indiquent	indican
hugh	hugh
amphibiens	anfibios
durand	durand
océanie	oceanía
kenya	kenia
diamant	diamante
quinzaine	quincena
derby	derby
libertés	libertades
magazines	revistas
tennessee	tennessee
chaos	caos
chanter	cantar
abrégé	abreviado
historiquement	históricamente
fusil	fusil
serbes	serbios
maintient	mantiene
marx	marx
reliques	reliquias
roberts	roberts
broadway	broadway
rotterdam	rotterdam
salaire	salario
rappeur	rapero
plaines	llanuras
watson	watson
permettra	permitirá
réels	reales
préféré	preferido
ingénierie	ingeniería
bayonne	bayona
cède	cede
clara	clara
bataillons	batallones
pérez	pérez
magistrat	magistrado
chanteurs	cantantes
automobiles	automóviles
admissible	admisible
ethnique	étnico
haies	vallas
flanc	flanco
randonnée	senderismo
chambéry	chambéry
vignes	viñas
contrainte	coacción
folk	folk
portails	portales
billets	billetes
apogée	clímax
apogée	apogeo
obtenue	obtenida
proposent	proponen
antarctique	antártida
contenir	contener
conducteur	conductor
étendu	extendido
interdite	prohibido
how	how
proviennent	provienen
sphère	esfera
lévy	lévy
sortis	salidos
choisie	elegida
chirurgie	cirugía
oublié	olvidado
grammaire	gramática
critics	critics
yann	yann
mineure	menor
balles	balas
légendaire	legendario
tigre	tigre
horloge	reloj
middle	middle
séoul	seúl
partager	compartir
pluriel	plural
omar	omar
monica	mónica
dépôts	depósitos
josef	josef
michèle	michèle
pommes	manzanas
vannes	válvulas
haine	odio
motte	motte
poussée	alza
giorgio	giorgio
picard	picard
set	set
lettonie	letonia
alerte	alerta
fermes	granjas
copies	copias
restaurer	restaurar
annecy	annecy
edwards	edwards
raid	raid
distances	distancias
gardiens	guardianes
plafond	techo
piscine	piscina
minorité	minoría
ronald	ronald
charité	caridad
exceptionnelle	excepcional
sienne	siena
emily	emily
explications	explicaciones
abel	abel
dessiné	dibujado
about	about
associe	asocia
séparé	separado
enregistrée	registrada
archéologue	arqueólogo
recommandations	recomendaciones
plainte	denuncia
ouvrière	obrera
hippolyte	hippolyte
activement	activamente
idéologie	ideología
summer	summer
cage	jaula
préserver	preservar
souverains	soberanos
copyright	copyright
gaule	galia
martine	martine
indochine	indochina
captain	captain
buffalo	buffalo
juriste	jurista
démographie	demografía
sonate	sonata
asiatique	asiático
regarde	mira
joueuses	jugadoras
suffixe	sufijo
corde	cuerda
geoffroy	geoffroy
oklahoma	oklahoma
documentaires	documentales
sep	sep
pâte	pasta
xviii	xviii
organisateur	organizador
papa	papi
rames	remos
florent	florent
archidiocèse	arquidiócesis
imagine	imagina
ordinateurs	ordenadores
tables	tablas
bassiste	bajista
jessica	jessica
servit	sirvió
martial	marcial
bouton	botón
toucher	tocar
now	now
aoste	aosta
combattant	combatiente
tropicale	tropical
fossiles	fósiles
citadelle	ciudadela
plastique	plástico
exister	existir
décider	decidir
menaces	amenazas
ventre	vientre
forestier	forestal
carrières	carreras
identiques	idénticas
identiques	idénticos
vicaire	vicario
plages	playas
barrages	presas
mayence	maguncia
entraîné	entrenado
brasserie	cervecería
prestige	prestigio
empare	apodera
châtillon	châtillon
missionnaire	misionero
vendue	vendida
favorables	favorables
protestant	protestante
spirituel	espiritual
priorité	prioridad
rivalité	rivalidad
valentin	valentín
problématique	problemática
précédé	precedido
sex	sex
danseuse	bailarina
earth	earth
violent	violento
démon	demonio
constructeurs	constructores
arcades	arcadas
madonna	madonna
sourire	sonrisa
sommeil	sueño
digne	digno
perdus	perdidos
chirurgien	cirujano
défi	reto
défi	desafío
rite	rito
consulat	consulado
schmidt	schmidt
indigènes	indígenas
obtention	obtención
cinéaste	cineasta
magnifique	hermoso
classic	classic
hôpitaux	hospitales
divinité	divinidad
ukrainien	ucraniano
amanda	amanda
afro	afro
démontrer	demostrar
intellectuels	intelectuales
stevens	stevens
trilogie	trilogía
précieux	preciosos
indication	indicación
installent	instalan
danube	danubio
traversant	cruzando
centenaire	centenario
donjon	calabozo
croissant	creciente
jul	jul
affluence	afluencia
amant	amante
caps	caps
légal	legal
incapable	incapaz
prévenir	prevenir
batman	batman
tibétain	tibetano
carmen	carmen
jungle	selva
assomption	asunción
condamnation	condena
légitime	legítimo
let	let
biodiversité	biodiversidad
lys	lirio
disparus	desaparecidos
cou	cuello
billboard	billboard
accidents	accidentes
blois	blois
kazakhstan	kazajstán
spectre	espectro
ajoutant	agregando
transcription	transcripción
violoniste	violinista
achille	aquiles
édit	edicto
profiter	disfrutar
sandra	sandra
élémentaire	elemental
disposant	disponiendo
recrutement	reclutamiento
rohan	rohan
procédures	procedimientos
présidé	presidido
terminal	terminal
explorer	explorer
partition	partición
couples	parejas
considérant	considerando
reconnus	reconocidos
amérindiens	amerindios
plastiques	plásticos
conservateurs	conservadores
entrent	entran
rappel	recordatorio
incarne	encarna
plats	platos
neuchâtel	neuchâtel
cameron	cameron
miracle	milagro
gène	gen
formés	formados
cfa	cfa
deutsche	deutsche
anarchiste	anarquista
indo	indo
graphiques	gráficos
charlemagne	carlomagno
monique	monique
parallèles	paralelas
créature	criatura
apporté	traído
négatif	negativo
juger	juzgar
résidents	residentes
opérateurs	operadores
use	use
albanie	albania
thé	té
assister	asistir
armor	armor
unit	unit
enregistrés	registrados
connexion	conexión
briques	ladrillos
opinions	opiniones
distribué	distribuido
tranche	tramo
bonnet	gorro
wikipédiens	wikipedistas
sul	sul
partisan	partidario
dumas	dumas
knight	knight
accuse	acusa
colloque	coloquio
suspendu	suspendido
felix	felix
under	under
diffuse	difunde
mare	mare
exigences	requisitos
homonyme	homónimo
