зникли	gone
петров	petrov
банки	banks
банки	jars
банки	cans
олія	oil
менші	smaller
ніс	nose
литовський	lithuanian
корсика	corse
корсика	corsica
допомагав	helped
зустрічає	meets
пройшло	elapsed
мороз	frost
мороз	moroz
спільний	shared
спільний	mutual
політичне	political
бомбардування	bombardment
бомбардування	bombing
левицький	anatol
шалон	chalon
лікарські	medicinal
ілліч	ilyich
бакеу	bacău
зоології	vertebrate
єпископів	bishops
вікно	window
кінцівки	limb
кінцівки	limbs
поразок	failures
внз	hsv
внз	college
чеський	bohemian
чеський	český
ніл	neil
мирослав	myroslav
мирослав	mirosław
мирослав	miroslav
доступний	available
доступний	accessible
показ	showing
показ	display
максимум	maximum
марсель	marseille
марсель	marcel
сопрано	soprano
уточнення	refinements
відкривається	opening
передали	ceded
активісти	activists
речовина	matter
речовина	substance
технологічних	technological
рак	rak
рак	cancer
рак	fulfillment
обмежений	restricted
обмежений	limited
запропонували	offered
руками	hands
густав	gustav
тамара	tamara
цікава	entertaining
цікава	ventriloquist
дно	seabed
менший	smaller
склади	syllables
склади	warehouses
методики	techniques
установа	organization
установа	organisation
установа	institution
пенальті	penalty
емігрував	emigrated
пошта	mail
поколінь	generations
вулицями	streets
менша	smaller
комі	komi
облік	accounting
оборона	defense
репресії	repression
чиї	whose
радіус	radius
відмовитися	abandon
фелікс	felix
фелікс	félix
білоруська	belarusian
йшов	walked
показаний	displayed
введений	entered
нікому	anyone
конкурсів	competitions
адміністратором	administrator
узяв	tossed
кара	kara
кара	cara
логіка	logic
кур	cour
кур	cours
виконуються	installments
лісами	forests
мгц	mhz
фонди	funds
успадкував	inherited
автомобільні	automotive
розуму	wit
розділені	separated
дозволила	letting
мерт	meurthe
четверте	fourth
місцезнаходження	whereabouts
місцезнаходження	location
представництво	dealership
прагне	keen
спортсмен	athlete
класичний	classic
навчається	studying
відповів	replied
нану	nanu
надавати	authorized
підручників	manuals
схили	slopes
грамоти	manuscript
кухні	kitchen
більшістю	majority
струм	current
валюта	currency
передмістя	suburb
володимиром	volodymyr
вулкан	volcano
зібрати	collect
зібрати	gather
зібрати	build
обслуговує	serves
творами	dealer
залежать	depend
законодавство	legislation
гітлера	hitler
етнічна	ethnic
плями	spots
плями	blobs
фотографія	photography
фотографія	photograph
відкриває	opens
катання	skating
катання	sledding
спр	spr
піаніст	pianist
археолог	archaeologist
провідні	vascular
фактор	factor
здобути	accumulate
унії	mound
сірого	greyscale
козацької	cossack
заміна	replacing
заміна	replace
заміна	replacement
стебла	stems
парафія	parish
сталася	occurred
легше	easier
навряд	barely
навряд	hardly
детально	detail
пуату	poitou
страви	dishes
енді	andy
