von	de
das	isso
des	do
mit	com
für	para
auf	em
ein	um
eine	uma
auch	também
nicht	não
war	foi
sie	você
sie	ela
cest	cest
bis	até
ich	eu
werden	serão
sind	são
oder	ou
wird	será
score	pontuação
dass	que
über	sobre
aber	mas
wie	como
nur	apenas
nur	só
noch	ainda
hat	tem
artikel	artigos
man	man
vor	antes
sein	ser
diese	este
diese	estes
diese	esta
diese	estas
the	the
kann	pode
hier	aqui
diskussion	discussão
seit	desde
dieser	este
jahr	ano
wenn	quando
wenn	se
dann	então
zwei	dois
jahre	anos
mai	maio
isbn	isbn
hatte	tinha
zwischen	entre
team	equipe
mehr	mais
gegen	contra
waren	eram
waren	mercadorias
zeit	tempo
stadt	cidade
schon	já
haben	ter
gibt	dá
mal	vez
ersten	primeiro
dort	lá
seed	seed
siehe	veja
siehe	ver
drei	três
teil	parte
berlin	berlim
heute	hoje
habe	tenho
während	enquanto
ihre	sua
dieses	este
können	podem
jan	jan
mir	me
sehr	muito
ihr	seu
erste	primeira
august	august
ohne	sem
deutschland	alemanha
ihm	nele
ende	fim
märz	março
band	banda
januar	janeiro
oktober	outubro
immer	sempre
nov	nov
wikipedia	wikipédia
jun	jun
kirche	igreja
juni	junho
konnte	podia
april	abril
september	setembro
juli	julho
geschichte	história
verlag	editora
jpg	jpg
dezember	dezembro
dez	dec
universität	universidade
platz	praça
steht	stands
sep	sep
november	novembro
liste	lista
kam	veio
wir	nós
jahrhundert	século
vier	quatro
seite	página
februar	fevereiro
dessen	cujo
gab	deu
etwas	algo
mich	me
zusammen	juntos
zusammen	junto
film	filme
wäre	seria
leben	vida
namen	nome
weil	porque
relevanz	relevância
muss	deve
einige	alguns
einige	algumas
mitglied	membro
deren	cujos
deren	cujo
viele	muitos
viele	muitas
text	texto
löschen	apagar
bekannt	conhecido
zurück	voltar
geht	vai
jetzt	agora
friedrich	frederico
saison	temporada
stand	stand
würde	dignidade
politiker	políticos
personen	pessoas
titel	título
karl	karl
gut	bem
familie	família
weiter	continue
name	nome
ganz	toda
sohn	filho
hans	hans
erl	erl
gehört	pertence
gehört	ouvido
bild	imagem
nichts	nada
wien	viena
gelöscht	excluído
gelöscht	eliminado
denn	pois
peter	peter
kommt	vem
begann	começou
sei	seja
fall	caso
wilhelm	guilherme
englisch	inglês
fünf	cinco
könig	rei
mehrere	vários
mehrere	várias
form	forma
gruppe	grupo
finden	encontrar
genannt	chamado
nahm	tomou
heinrich	henrique
spielte	jogou
neu	novo
john	john
könnte	poderia
gewann	ganhou
beispiel	exemplo
usa	eua
recht	direito
zwar	though
bin	sou
york	york
paul	paul
frage	pergunta
insgesamt	total
gehörte	pertencia
kurz	curto
unternehmen	empresa
unternehmen	empresas
straße	rua
rund	redondo
einfach	fácil
einfach	simples
datei	arquivo
frau	mulher
lassen	deixar
fast	quase
hatten	tiveram
hatten	tinham
trat	pisou
tod	morte
arbeit	trabalho
macht	poder
vielleicht	talvez
paris	paris
alles	tudo
landkreis	concelho
führte	resultou
kategorie	categoria
bedeutung	importância
bedeutung	significado
relevant	relevante
welt	mundo
quelle	fonte
haus	casa
michael	michael
region	região
findet	encontra
lang	lang
allen	allen
hamburg	hamburgo
besonders	especialmente
deutsch	alemão
franz	franz
lange	lange
begriff	termo
gegründet	fundada
gesellschaft	sociedade
beide	ambos
will	will
georg	georg
arbeitete	trabalhou
führt	executa
studierte	estudou
london	londres
alten	antigo
kinder	crianças
österreich	áustria
weg	caminho
