základného	basic
mačka	cat
manuel	manuel
potrebná	needed
potrebná	necessary
sekcie	sections
médiá	media
chrámy	temples
pridať	add
programovanie	programming
väzňov	prisoners
väzňov	inmates
väzňov	detainees
jason	jason
pezinok	pezinok
podpísaná	signed
podpísaná	autographed
priniesli	brought
fiat	fiat
bojovníkov	warriors
bojovníkov	fighters
kruh	circle
šumperk	šumperk
cestovateľ	traveler
cestovateľ	traveller
písanie	typing
písanie	writing
koňa	horse
rozšíriť	extend
rozšíriť	expand
square	square
bunka	cell
benešov	benešov
prevádzkuje	operates
idea	idea
pan	pan
notre	notre
mäso	meat
mäso	flesh
zastaviť	stop
zastaviť	halt
spirit	spirit
vidí	sees
zničili	destroyed
obsahovala	contained
domácnosti	households
domácnosti	household
zabiť	kill
zabiť	slay
vyvinula	evolved
étienne	étienne
jazier	lakes
zviera	beast
zviera	animal
strata	loss
kresťanská	christian
moore	moore
prekonal	overcame
prekonal	surpassed
ostali	stayed
publikované	published
publikované	posted
ville	ville
technicky	technically
predchodcu	predecessor
stalin	stalin
kandidátov	candidates
ovplyvňuje	affects
via	via
hale	hale
hale	lobby
kampaň	campaign
ozbrojené	armed
sabbath	sabbath
zrejmé	obvious
tichý	silent
dar	dar
dar	gift
zapísané	registered
zapísané	entered
satelit	satellite
silno	strongly
silno	tight
silno	hard
zürich	zürich
dispozícia	disposition
používateľov	users
povedané	speaking
stĺp	pillar
napísala	wrote
doska	plate
doska	plank
doska	board
akýkoľvek	any
dinosaurov	dinosaurs
stavy	states
stavy	stocks
stavy	statuses
nájde	finds
regionálne	regional
regionálne	regionally
kompletne	completely
dielne	workshops
štyria	four
ľudstva	humanity
nároky	entitlements
nároky	claims
chlapec	boy
vyvinuté	developed
vyvinuté	evolved
platiť	pay
piešťanoch	piešťany
povolania	professions
povolania	occupations
definované	defined
okno	window
vzniknúť	arise
obieha	orbits
zlúčenín	compounds
zranených	injured
zranených	wounded
roviny	plains
master	master
parametrov	parameters
odborníkov	professionals
odborníkov	experts
bao	bao
maximálny	maximal
maximálny	max
maximálny	maximum
janeiro	janeiro
subjekt	entity
subjekt	subject
chov	rearing
chov	breeding
chov	farming
chov	holding
prehra	loss
prehra	setback
prehra	defeat
prehra	losing
cyprus	cyprus
tvrdia	argue
château	château
premeny	transformations
premeny	transformation
produkciu	production
budúcnosť	future
vzorec	formula
petrohrade	petrograd
posun	shift
posun	drift
posun	displacement
posun	offset
zničiť	destroy
zničiť	ruin
debehogne	debehogne
audi	audi
jazdy	rides
jazdy	driving
poľnohospodárstva	agriculture
angličtina	english
laurent	laurent
blokov	blocks
kostí	bones
herca	actor
novela	novel
detské	children
myšlienok	thoughts
jerry	jerry
drevená	wooden
žiaci	students
žiaci	pupils
žiaci	pupil
cicavce	mammals
cicavce	mammal
maďari	hungarians
patrik	patrik
patrik	patrick
presný	precise
presný	accurate
presný	exact
galanta	galanta
zameraný	centred
zameraný	focused
modré	blue
zaradenie	listing
zaradenie	classification
zaradenie	inclusion
okolité	surrounding
okolité	ambient
farebné	color
farebné	colour
farebné	colored
farebné	colorful
úplné	complete
vodopád	waterfall
severozápadnom	northwest
zahraničnej	foreign
bežný	ordinary
bežný	normal
rozpore	inconsistent
príčina	cause
príčina	reason
glenn	glenn
interview	interview
rajón	raion
vedieť	know
lotyšsko	latvia
disciplín	disciplines
elektronickej	electronic
arsenal	arsenal
predstavoval	represented
mála	few
zasvätený	privy
konštanta	constant
johan	johan
naša	our
naša	ours
donald	donald
pravdepodobné	probable
pravdepodobné	likely
predstavenia	performances
inter	inter
strechy	roofs
strechy	roofing
strechy	rooftops
strechy	roof
šaľa	šaľa
normálne	normally
normálne	normal
odmieta	refuses
odmieta	refusing
odmieta	rejects
ruiny	ruins
kombinácii	combination
prevodovka	gearbox
výbuchu	blast
výbuchu	explosion
príležitosť	occasion
príležitosť	opportunity
umelca	artist
vsetín	vsetín
vĺn	waves
expozícia	exposure
tradičný	traditional
tommy	tommy
ifta	ifta
paulo	paulo
narodený	born
samo	self
samo	itself
marta	marta
marta	martha
príspevok	post
príspevok	contribution
kresťanských	christian
vedu	science
vykonať	perform
vykonať	execute
technik	technician
golden	golden
šiesty	sixth
navrhnuté	suggested
navrhnuté	designed
navrhnuté	proposed
oni	they
jelena	jelena
irán	iran
výkony	performances
lepší	better
záznamov	records
víťazstva	victory
zmienky	mentions
získané	obtained
získané	gained
získané	acquired
získané	retrieved
žľazy	glands
rozlišuje	distinguishes
rozlišuje	differentiates
preložil	translated
sociológia	sociology
vodík	hydrogen
poškodenie	injury
poškodenie	damage
neúspešne	unsuccessfully
kňazov	priests
spojiť	merge
spojiť	link
spojiť	connect
spojiť	combine
slnečné	sunny
slnečné	solar
rovina	plane
hĺbky	depths
hĺbky	depth
krku	neck
stanovené	set
stanovené	fixed
prezývka	alias
prezývka	nickname
zničil	ruined
výpočet	calculation
výpočet	computation
európu	europe
potomkovia	offspring
potomkovia	descendants
kleť	kleť
jaromír	jaromír
predsedovia	chairs
predsedovia	presidents
predsedovia	chairmen
predsedovia	chairpersons
deje	happening
rozum	brains
rozum	reason
rozum	mind
rozum	sense
renesancie	renaissance
kopec	hill
pokúšal	tried
zasahuje	interferes
zasahuje	intervenes
rovnaká	same
pozícií	positions
argumenty	arguments
zoo	zoo
three	three
menia	changing
podobá	resembles
filmfare	filmfare
orol	eagle
výskumy	research
potenciál	potential
nádej	hope
ježiš	jeez
ježiš	jesus
nestor	nestor
příbram	příbram
diagram	diagram
telefón	phone
telefón	telephone
závislosť	dependence
závislosť	dependency
závislosť	addiction
premenná	variable
pres	pres
atmosféru	atmosphere
definovaná	defined
izraelský	israeli
zvolili	elected
zvolili	chose
zvolili	opted
stropkov	stropkov
ronald	ronald
sub	sub
petrom	peter
know	know
diego	diego
mercedes	mercedes
gonzález	gonzález
slovom	word
obývaných	inhabited
obývaných	populated
kôň	horse
závod	plant
závod	race
tváre	faces
federer	federer
vysielania	broadcast
vysielania	broadcasts
vysielania	broadcasting
žiadosti	applications
žiadosti	requests
umelo	artificially
samica	female
jaskýň	caves
dokumentu	document
vedomosti	knowledge
stv	stv
obmedzené	limited
obmedzené	restricted
blansko	blansko
vzájomné	mutual
faktory	factors
poprade	poprad
žiak	pupil
beat	beat
plánuje	plans
plánuje	intends
plánuje	planned
cestovného	fare
cestovného	fares
členka	member
odchod	departure
odchod	leaving
súkromná	private
raf	raf
spojenci	allies
ods	ods
mechanické	mechanical
nástup	onset
nástup	boarding
nástup	entrance
relativity	relativity
