okrajšava	abbreviation
pripravljeni	ready
pripravljeni	prepared
razdelitev	breakdown
razdelitev	distribution
razdelitev	splitting
jež	hedgehog
phillips	phillips
jamo	cave
jamo	pit
ehc	ehc
rado	rado
ustave	constitutions
ilirska	ilirska
virginija	virginia
janković	jankovic
truplo	body
truplo	corpse
sarajevo	sarajevo
kristina	kristina
palmer	palmer
situacije	situations
lago	iago
lago	lago
albin	albin
teorij	theories
določitev	designation
določitev	determination
pomembnost	importance
pomembnost	relevance
pomembnost	materiality
pomembnost	significance
finsko	finnish
vreme	weather
kate	kate
opazoval	watched
predlaga	suggests
predlaga	proposes
izbrala	chose
mac	mac
zala	adora
zala	zala
medina	medina
gesla	passwords
whitney	whitney
nastanjen	accommodated
inženirjev	engineers
ravnina	plane
makedonija	macedonia
uni	uni
milena	milena
priznava	recognises
priznava	admits
priznava	acknowledges
zakone	laws
ralf	ralf
preteklost	past
razume	understands
sosednje	neighbouring
sosednje	adjacent
izkopavanja	excavations
sinov	sons
laboratorij	laboratory
laboratorij	lab
avtomobil	car
avtomobil	automobile
čisti	pure
ključno	crucial
ključno	key
komercialno	commercial
komercialno	commercially
obleke	clothes
obleke	clothing
obleke	dresses
obleke	suits
terapija	therapy
dokazuje	proves
prop	prop
krim	crimea
strateško	strategically
strateško	strategic
bogastvo	riches
bogastvo	fortune
bogastvo	wealth
globina	depth
hitri	speedy
hitri	fast
nogomet	soccer
nogomet	football
potrebo	need
damon	damon
missouri	missouri
stika	contact
tiger	tiger
tiger	tigger
kvadrat	square
kvadrat	squared
tekoči	liquid
legende	legends
upodobljen	depicted
ashley	ashley
obrat	plant
obrat	establishment
riserva	riserva
mačka	cat
dogodka	event
olga	olga
reagira	reacts
sobe	rooms
italia	italia
naboji	bullets
naboji	cartridges
donja	donja
tkivo	tissue
étienne	étienne
mal	mal
zdravnika	physician
zdravnika	doctor
sevnica	sevnica
trgovci	traders
trgovci	merchants
trgovci	dealers
epizod	episodes
prinese	brings
podaja	pass
turistični	tourist
severozahodni	northwestern
severozahodni	northwest
veščine	skills
veščine	skill
fevd	fief
papeški	papal
nasprotnik	opponent
simpson	simpson
wing	wing
merilo	benchmark
merilo	scale
merilo	criterion
merilo	measure
merilo	criteria
braziliji	brasil
bei	bei
bobby	bobby
obljubil	promised
greben	ridge
greben	reef
piquet	piquet
mihajlovič	mikhailovich
bavarska	bavaria
udarec	blow
udarec	strike
udarec	punch
odstrani	remove
prenesel	downloaded
imi	imi
sončni	sunny
sončni	solar
zavrti	rotate
zavrti	spin
past	trap
past	entrapment
dovoljuje	allows
farina	farina
rome	roma
tupoljev	tupolev
tradicionalna	traditional
kapitulaciji	capitulation
regent	regent
cone	zones
družbena	social
airbus	airbus
dvorane	halls
makedonski	macedonian
bois	bois
kača	snake
parov	couples
parov	pairs
izbrano	chosen
izbrano	selected
psov	dogs
celico	cell
slavo	fame
slavo	glory
babica	grandmother
babica	granny
babica	grandma
izumil	invented
navidezno	ostensibly
navidezno	quasi
navidezno	seemingly
navidezno	virtual
philipp	philipp
zaviralci	inhibitors
meyer	meyer
phil	phil
uspeva	thrives
kombinacijo	combination
miro	myrrh
miro	miro
miro	mira
sobi	room
konji	horses
ustvarjalci	creators
sep	sps
fontsize	fontsize
jovanović	jovanović
sato	sato
krili	wings
pahor	pahor
