prisoner	väzeň
signals	signály
signals	signálov
owen	owen
capita	obyvateľa
intervention	intervencie
intervention	zásah
intervention	intervencia
arriving	prichádzajú
cylinder	valec
cylinder	valca
tenth	desiaty
tenth	desiate
tenth	desiateho
liu	liu
tested	testovaný
tested	skúša
tested	testovaná
tested	testované
tested	skúšaný
renowned	preslávený
shops	obchodov
shops	obchody
shops	predajne
dome	kupola
dome	kupoly
dome	kupolu
philosopher	filozof
epic	epic
stem	kmeňových
stem	kmeňové
stem	kmeň
specified	špecifikovaný
specified	špecifikovaná
specified	špecifikované
davies	davies
collapse	zabaliť
collapse	zbaliť
collapse	zrútenie
collapse	kolaps
allan	allan
sight	zrak
albanian	albánsky
albanian	albánska
canyon	canyon
samples	vzorky
samples	vzoriek
perceived	vnímané
celebrity	celebrita
celebrity	celebrity
priests	kňazi
priests	kňazov
louise	louisa
louise	louise
workshop	workshopy
workshop	workshop
workshop	seminár
herzegovina	hercegovine
herzegovina	hercegovina
claude	claude
fortune	bohatstvo
bars	bary
bars	mreže
bars	bars
bars	tyčinky
bars	tyče
cornwall	cornwallu
palmer	palmer
presidency	predsedníctva
presidency	predsedníctvo
tiny	maličké
tiny	drobné
appeals	odvolanie
appeals	odvolania
istanbul	istanbule
rookie	zelenáč
rookie	nováčik
calgary	calgary
shock	šoku
shock	šok
pulled	vytiahol
stevens	stevens
employee	zamestnanec
employee	zamestnanca
yang	jang
yang	yang
housed	umiestnené
tomb	hrobke
tomb	hrobka
tomb	hrob
tomb	hrobky
tomb	hrobku
earning	zarábať
innovation	inovácie
innovation	inováciu
innovation	inovácia
streams	toky
streams	prúdy
streams	prúdov
unity	jednotu
unity	jednotnosť
unity	jednoty
unity	jednota
lucas	lucas
grows	rastie
armenia	arménska
armenia	arménsko
interchange	výmena
proteins	proteíny
proteins	bielkoviny
proposals	návrhy
swimmers	plavcov
mainland	pevniny
mainland	kontinent
mainland	pevninu
hamlet	hamlet
coup	prevrat
newport	newport
negotiations	vyjednávania
negotiations	rokovania
negotiations	vyjednávanie
exhibitions	výstavy
malta	malta
hate	nenávidieť
hate	nenávisť
hate	nenávidím
hate	neznášam
westminster	westminster
installation	inštalácia
installation	inštaláciu
installation	montáž
installation	zariadenie
installation	inštalovanie
enters	vstúpi
enters	vstupuje
enters	vchádza
goalkeeper	brankár
julian	julian
julian	juliana
morocco	maroko
efficiency	efektívnosť
efficiency	účinnosť
efficiency	efektivita
chapters	kapitol
chapters	kapitoly
helicopter	vrtuľník
helicopter	helikoptéra
fewer	menej
fortress	pevnosť
ani	ani
burned	spálené
burned	spálil
displays	zobrazenia
displays	zobrazí
displays	zobrazuje
compiled	zostavené
compiled	zostavená
compiled	zostavený
compiled	zostavujú
ips	ip
contributors	prispievateľov
torpedo	torpédo
giovanni	giovanni
chat	chat
catholics	katolíkov
herald	herald
chuck	chuck
chuck	chucka
pit	pit
pit	jama
supplied	dodáva
supplied	dodávané
supplied	dodávajú
optional	nepovinné
optional	dobrovoľné
optional	voliteľné
optional	nepovinný
optional	voliteľný
desk	stôl
garrison	garrison
sprint	šprint
exile	exile
surprised	prekvapilo
surprised	prekvapený
surprised	prekvapená
surprised	prekvapil
surprised	prekvapení
achievements	úspechy
biblical	biblické
rebels	povstalci
rebels	rebelov
rebels	rebeli
denis	denis
geographical	geografický
geographical	geografická
geographical	zemepisné
geographical	geografické
sit	sadnúť
alpine	alpskom
bills	účty
glacier	ľadovec
binding	záväzná
binding	záväzný
binding	väzba
binding	viazanie
binding	záväzné
estonia	estónska
estonia	estónsko
eating	jedenie
eating	jem
eating	stravovanie
eating	jesť
saving	ukladanie
saving	šetrenie
saving	úspory
saving	úspora
chi	chi
developer	vývojárov
developer	vývojár
indie	indie
difficulties	ťažkosti
difficulties	ťažkostí
doctrine	doktrína
worn	nosenie
fork	vidličku
simpson	simpson
moreover	navyše
maintaining	udržanie
maintaining	udržiavanie
theological	teologickej
upcoming	nadchádzajúce
temporarily	prechodne
temporarily	dočasne
hotels	hotely
hotels	hotelov
edmonton	edmonton
developments	vývoj
literacy	gramotnosti
literacy	gramotnosť
currency	mena
currency	meny
missionary	misionára
arrives	príde
hammer	kladivom
hammer	hammer
hammer	kladivo
dollar	dolár
ambassadors	veľvyslancov
twitter	twitter
twitter	twitteri
centres	centrá
centres	strediská
centres	stredísk
centres	centier
solomon	solomon
recommend	odporúčame
recommend	odporučiť
recommend	odporúčam
descendants	potomkovia
descendants	potomkov
ruth	ruth
handling	zaobchádzanie
handling	manipulácia
customs	colné
collect	zozbierať
collect	zbierať
collect	zhromaždiť
grid	mriežky
grid	sieť
secured	zabezpečené
secured	zabezpečený
secured	zaistené
secured	zabezpečená
certificate	osvedčenie
certificate	potvrdenie
certificate	certifikát
certificate	osvedčenia
destination	cieľ
albania	albánsko
albania	albánska
euro	eurá
euro	eura
euro	eur
euro	euro
consumption	spotreba
consumption	konzumácia
consumption	spotrebu
consumption	spotreby
feat	feat
pushing	tlačí
pushing	tlačenie
constantly	neprestajne
constantly	neustále
survivors	preživších
survivors	prežili
survivors	neprežil
mansion	sídlo
cardiff	cardiffe
temples	chrámy
blake	blake
sheet	list
sheet	plech
sheet	výtlačok
lift	zdvihnúť
lift	výťah
confidence	sebavedomie
confidence	dôvera
confidence	dôveru
cuisine	kuchyňa
cuisine	kuchyne
frankfurt	frankfurte
frankfurt	frankfurt
galaxy	galaxie
galaxy	galaxii
galaxy	galaxy
galaxy	galaxia
ecuador	ekvádor
breeding	chov
breeding	chovné
outbreak	ohnisko
legendary	legendárna
legendary	legendárny
handball	hádzanej
handball	hádzanárske
georgian	gruzínska
georgian	gruzínsko
copenhagen	kodani
copenhagen	kodaň
trek	trek
ignored	ignorovali
ignored	ignorovať
ignored	ignorovala
ignored	ignoroval
arch	arch
arch	oblúk
keys	kľúče
keys	klávesy
proceedings	konania
enjoy	enjoy
enjoy	poteší
quartet	kvarteto
propaganda	propaganda
propaganda	propagandy
disk	disk
disk	disku
realized	uvedomil
realized	uvedomila
neat	čistú
funny	vtipné
funny	smiešne
funny	sranda
funny	zábavné
punishment	trest
punishment	potrestanie
punishment	trestom
accuracy	správnosť
accuracy	presnosť
meter	meter
meter	merač
theoretical	teoretické
theoretical	teoretický
theoretical	teoretická
suspension	prerušenie
suspension	suspenzia
suspension	pozastavenie
graduation	promócie
flew	letel
flew	letela
flew	leteli
flew	lietal
seeds	semienka
seeds	semená
seeds	semien
lighting	osvetlenie
jennifer	jennifer
smooth	hladká
smooth	hladko
smooth	plynulé
smooth	hladký
smooth	hladké
customer	zákazníka
customer	zákazník
customer	zákazníkovi
customer	odberateľ
armstrong	armstrong
involve	zapojiť
philosophical	filozofické
escaped	utiekli
escaped	utiekol
escaped	unikli
escaped	ušiel
escaped	utiekla
powell	powell
kills	zabije
kills	zabíja
taste	chut
taste	chuť
taste	chuti
allmusic	allmusic
requiring	vyžadujúce
bros	bros
bros	bratia
boulevard	boulevard
brooks	brooks
sending	zasielanie
sending	odosielanie
sending	posielanie
sending	posiela
atomic	atómové
atomic	atómová
antarctica	antarktíde
strikes	udrie
reconstruction	rekonštrukcia
reconstruction	rekonštrukcie
chronicle	chronicle
traveling	cestovanie
leslie	leslie
ellis	ellis
devon	devon
ghana	ghana
gen	gen
rebel	rebel
duncan	duncan
pianist	klavirista
canon	canon
reformed	reformovanej
pack	svorka
pack	zbaliť
pack	balenia
pack	balenie
pack	zabaliť
pack	pack
iceland	island
solve	vyriešiť
solve	riešiť
cyclists	cyklistov
payment	vyplatenie
payment	platbu
payment	platobné
payment	platby
payment	platba
suburbs	predmestí
militia	milície
pronounced	vyslovuje
pronounced	výrazné
pronounced	výrazná
exhibit	výstavu
exhibit	výstava
mph	mph
glen	glen
eugene	eugene
compromise	kompromis
compromise	kompromisy
compromise	kompromisné
compromise	kompromisný
tactical	taktické
discovers	objaví
uganda	ugande
jail	väzenia
jail	väznica
jail	base
jail	väzenie
jail	basy
yeah	áno
yeah	veru
yeah	ano
somehow	nejak
somehow	nejako
somehow	akosi
withdraw	odobrať
holmes	holmes
promise	sľubujem
promise	sľub
deals	obchody
deals	dohody
convert	previesť
dos	dos
afternoon	poobede
afternoon	popoludní
afternoon	popoludnie
recall	pripomenúť
arrive	doraziť
