criaturas	creature
euro	euro
colapso	collasso
parágrafo	paragrafo
marx	marx
matheus	matheus
pátria	patria
tigre	tigre
pescoço	collo
competir	competere
number	number
operar	operare
semestre	semestre
ring	ring
temática	tematica
derivados	derivati
dinamarquês	danese
invenção	invenzione
hidrogênio	idrogeno
perdida	persa
timor	timor
hebraico	ebraico
jurisdição	giurisdizione
adolfo	adolfo
bactérias	batteri
progressivo	progressivo
requer	richiede
alfa	alfa
reeleito	rieletto
harrison	harrison
ligeiramente	leggermente
futuros	futuri
were	were
impróprio	improprio
inferiores	inferiori
fiéis	fedeli
universitária	universitaria
potências	potenze
toque	tocco
encontros	appuntamenti
subiu	salito
votado	votato
viajar	viaggiare
turner	turner
incorporada	incorporata
mountain	mountain
primárias	primarie
bombeiros	pompieri
pertencem	appartengono
pecuária	allevamento
rodapé	piè
maneiras	modi
notar	notare
hills	hills
absoluto	assoluto
supercopa	supercoppa
money	money
crenças	credenze
viseu	viseu
moreno	moreno
compreender	capire
compreender	comprendere
lobos	lupi
denis	denis
airlines	airlines
monstros	mostri
sobrevivência	sopravvivenza
acidentes	infortuni
silvio	silvio
continha	conteneva
parentes	parenti
julia	julia
verificabilidade	verificabilità
orgânica	organica
realizando	realizzando
inteira	intera
significativamente	significativamente
caracterizado	caratterizzato
butterflies	butterflies
aparecida	aparecida
mariposa	falena
perfeita	perfetta
bush	bush
redonda	rotonda
sociologia	sociologia
gótico	gotico
quadrado	quadrato
rodríguez	rodríguez
renânia	renania
sin	sin
normais	normali
coragem	coraggio
atitudes	atteggiamenti
obtidos	ottenuti
medeiros	medeiros
vantagens	vantaggi
eyes	eyes
ilegal	illegale
identification	identification
vítor	vítor
sugeriu	suggerito
submarino	sottomarino
mudado	cambiato
intenso	intenso
ferrari	ferrari
peixoto	peixoto
trilhas	piste
voltaram	tornati
espelho	specchio
maracanã	maracanã
expandir	espandi
existiu	esistito
fritz	fritz
impede	impedisce
allan	allan
boeing	boeing
assalto	assalto
favoráveis	favorevoli
opa	opa
bourbon	bourbon
hardy	hardy
fêmeas	femmine
sudão	sudan
verbo	verbo
móvel	mobile
ampliação	ingrandimento
abraço	abbraccio
vestido	vestito
muralhas	mura
barragem	diga
informar	informare
jefferson	jefferson
identificado	identificato
residencial	residenziale
bastos	bastos
delegação	delegazione
michelle	michelle
simmons	simmons
expresso	espresso
human	human
jstor	jstor
precipitação	precipitazione
khan	khan
produzindo	producendo
published	published
corda	corda
corda	stringa
coligação	coalizione
espíritos	spiriti
ritual	rituale
concluir	concludere
teto	soffitto
restaurantes	ristoranti
cozinha	cucina
mariano	mariano
explorar	esplorare
delgada	delgada
gaspar	gaspar
comer	mangiare
mísseis	missili
dívida	debito
field	field
definidos	definiti
raças	razze
albânia	albania
second	second
únicas	uniche
quebec	quebec
médias	medie
navarra	navarra
amar	amare
fio	filo
tricolor	tricolore
infecção	infezione
aparelhos	apparecchi
also	also
ideais	ideali
vizinha	vicina
águia	aquila
antioquia	antiochia
than	than
soberania	sovranità
biografias	biografie
oklahoma	oklahoma
main	main
sabor	sapore
naturalidade	naturalezza
kentucky	kentucky
negativo	negativo
causado	causato
protestantes	protestanti
cantada	cantata
inês	agnese
navegador	browser
vaz	vaz
anfíbio	anfibio
petersburgo	pietroburgo
remo	remo
juízes	giudici
iowa	iowa
silver	silver
heaven	heaven
corretamente	correttamente
ralph	ralph
entende	capisce
responde	rispondi
georg	georg
fixo	fisso
penas	piume
segura	sicuro
info	info
introduzida	introdotta
faro	faro
contam	contano
jesuítas	gesuiti
chipre	cipro
falcão	falco
capturar	catturare
santarém	santarém
saudita	saudita
marítimo	marittimo
pen	pen
inseto	insetto
expectativa	aspettativa
sultão	sultano
financiamento	finanziamento
protesto	protesta
feat	feat
pecado	peccato
taxonomic	taxonomic
craig	craig
fugiu	scappato
drive	drive
burocratas	burocrati
pensando	pensando
wellington	wellington
pilar	pilastro
geográfico	geografico
full	full
roberts	roberts
pato	anatra
participante	partecipante
ama	ama
protegido	protetto
prefixo	prefisso
concedida	concessa
institucional	istituzionale
square	square
lendas	leggende
emmy	emmy
prato	piatto
reportagem	reportage
anuais	annuali
difusão	diffusione
pas	pas
psd	psd
tributo	tributo
uruguaio	uruguaiano
medicamentos	medicinali
fraco	debole
dezesseis	sedici
demonstração	dimostrazione
bull	bull
salário	stipendio
rodolfo	rodolfo
wallace	wallace
cole	cole
comandos	comandi
recomendação	raccomandazione
coberto	coperto
conspiração	cospirazione
antero	antero
justificar	giustificare
carol	carol
usos	usi
fall	fall
gilbert	gilbert
jake	jake
concorrentes	concorrenti
bibliotecas	biblioteche
aníbal	annibale
detalhe	dettaglio
triste	triste
doente	malato
aveiro	aveiro
happy	happy
radar	radar
representações	rappresentanze
saboia	savoia
trabalham	lavorano
pacto	patto
escândalo	scandalo
rivais	rivali
lyon	lione
jessica	jessica
absolutamente	assolutamente
pacheco	pacheco
tragédia	tragedia
tyler	tyler
brandão	brandão
interessado	interessato
diabo	diavolo
vela	vela
vigilância	sorveglianza
óbvio	ovvio
tiger	tiger
müller	müller
alexandra	alexandra
hal	hal
function	function
feiras	fiere
equações	equazioni
myspace	myspace
bruto	bruto
lorde	lord
fernández	fernández
linguística	linguistica
johns	johns
tantas	tante
etiópia	etiopia
dependência	dipendenza
compor	comporre
figueira	fico
public	public
church	church
aprendeu	imparato
adelaide	adelaide
alcançado	raggiunto
multidão	folla
resolvido	risolto
lane	lane
teodoro	teodoro
guarnição	guarnigione
markku	markku
roland	roland
permanência	permanenza
especializado	specializzato
dano	danno
hesse	hesse
reconhece	riconosce
barreira	barriera
protestante	protestante
prevista	prevista
mineral	minerale
fina	sottile
esperava	aspettavo
esperava	speravo
adolescência	adolescenza
mind	mind
líbano	libano
pete	pete
sólido	solido
magnético	magnetico
gigantes	giganti
ameaças	minacce
múltiplos	multipli
mercadorias	merci
comemoração	commemorazione
sentença	sentenza
precisava	serviva
índices	indici
prevenção	prevenzione
melodia	melodia
junius	junius
pesquisador	ricercatore
celebração	celebrazione
manuscrito	manoscritto
participam	partecipano
crônicas	cronache
württemberg	württemberg
caçadores	cacciatori
masters	masters
sebastian	sebastian
separar	separa
incapaz	incapace
interessados	interessati
deficiência	disabilità
kew	kew
work	work
collins	collins
hospitais	ospedali
briga	rissa
tomado	preso
maomé	maometto
removido	rimosso
painel	pannello
armadura	armatura
micro	micro
adquirido	acquisito
recomendações	raccomandazioni
garantia	garanzia
greatest	greatest
luxo	lusso
phillips	phillips
boxe	pugilato
esculturas	sculture
born	born
aurora	aurora
mitchell	mitchell
poço	pozzo
made	made
subida	salita
