maksimal	maximum
oppgi	enter
grovt	rough
dødsfall	deaths
number	number
synge	sing
bestå	consist
bestå	pass
girls	girls
skule	school
sas	sas
hjørnet	corner
cia	cia
armstrong	armstrong
terry	terry
skåret	carved
hyppig	frequent
mig	mig
avsluttes	ends
elias	elias
stalin	stalin
mathias	mathias
christiansen	christiansen
bye	bye
halen	tail
halen	halen
fyrste	prince
avtaler	deals
avtaler	appointments
produktet	product
afrikansk	african
påfallende	conspicuous
tolkning	interpretation
distanse	distance
lovet	promised
oversettes	translated
pink	pink
journalister	journalists
journalister	reporters
regent	regent
ming	ming
grace	grace
lisboa	lisbon
regjerte	reigned
villig	willing
rapportert	reported
venter	waiting
venter	pending
berget	salvaged
huske	remember
stian	stian
walisisk	welsh
fornyet	renewed
salmebok	hymnal
guder	gods
valdres	valdres
herjet	ravaged
netto	net
railway	railway
formell	formal
stiftelse	foundation
through	through
interessante	interesting
argentinsk	argentinian
argentinsk	argentine
fest	party
forsvunnet	missing
forsvunnet	disappeared
dyret	animal
håndtere	handle
kirkegården	cemetery
middle	middle
bille	bille
bille	beetle
philippe	philippe
philippe	phillipe
telenor	telenor
beograd	belgrade
sammensetning	composition
tråden	thread
sluttspillet	playoffs
orange	orange
moser	moser
examen	examen
wenche	wenche
utdødd	extinct
forut	ahead
avgjort	definitely
avgjort	settled
oppgradert	upgraded
melk	milk
humor	humor
humor	humour
strøket	stricken
strøket	neighborhood
police	police
mette	mette
utvalgt	chosen
utvalgt	selected
museer	museums
lånt	borrowed
lånt	lent
notodden	notodden
fotballspillere	footballers
konsul	consul
litterær	literary
eksistens	existence
department	department
stridsvogner	tanks
skulptur	sculpture
dana	dana
streng	strict
streng	string
pietro	pietro
nordstrand	nordstrand
aktuell	timely
velkommen	welcome
quisling	quisling
krigføring	warfare
krigsskip	warships
krigsskip	warship
berkeley	berkeley
sanne	sanne
sanne	true
hendene	hands
blind	blind
celler	cells
sogndal	sogndal
valdemar	valdemar
most	most
manuskriptet	manuscript
apollo	apollo
trompet	trumpet
hole	hole
følgelig	hence
følgelig	consequently
rumensk	romanian
camp	camp
skjulte	hidden
skjulte	hid
skjulte	concealed
tell	count
hydro	hydro
misjonær	missionary
vennskap	friendships
vennskap	friendship
partikler	particles
christina	christina
clinton	clinton
rekker	streaks
plattform	platform
svare	answer
svare	respond
utvides	expands
riktige	correct
heiberg	heiberg
opptredener	performances
