категория category
что what
для for
как how
как as
как like
был was
его his
его him
также also
это this
это it
это that
или or
после after
области areas
год year
было was
время time
состав composition
была was
так so
место spot
место place
место location
были were
район neighborhood
район district
район area
вид species
вид view
под under
если if
только only
только just
есть got
язык tongue
язык language
ссср ussr
районе neighborhood
код code
более more
мая may
дата date
ноября november
деревня village
где where
января january
марта marta
марта martha
марта march
все everything
все all
все everyone
августа august
августа augusta
том tom
октября october
октября oct
сентября september
статьи articles
уже already
июня june
апреля april
сша usa
который which
название name
название title
поселение settlement
человек person
человек human
человек man
смерти deaths
лет years
февраля february
февраля feb
они they
того togo
города city
города towns
города cities
может maybe
может could
может can
она she
войны wars
войны war
можно can
когда when
однако however,
однако however
которые which
высота altitude
высота height
нет no
переписи census
переписи censuses
село selo
село village
быть be
стал became
статья article
род genus
род rod
один alone
один odin
один one
без without
реки river
реки rivers
между between
статус status
населения population
годы years
через via
через through
национальный national
область province
область region
область oblast
область area
список list
сельское rural
сайт website
сайт site
века ages
века centuries
официальный official
часть part
против against
этот this
будет will
несколько several
несколько multiple
несколько somewhat
город town
город city
мира peace
мира mira
первое first
чем than
части parts
описание description
всего total
первый first
среди among
файл file
карты cards
карты maps
два two
всех all
всех everyone
раз once
там there
территории territories
второй second
очень very
главы chapters
карта map
карта card
площадь plaza
площадь square
площадь area
всё everything
даже even
затем then
группы group
группы groups
основания grounds
размер size
имеет has
поселения settlements
почтовый postal
над over
страны country
страны countries
ему him
входит enters
индекс index
улица street
население demographics
население population
работы work
имена names
вместе together
упоминание mentioning
упоминание mention
здесь here
истории stories
истории history
которая which
александр alexandre
александр alexander
армии armies
армии army
деление division
деление subdivision
деление fission
хотя although
хотя though
кроме except
игроки players
другие other
другие others
получил got
история story
история history
себя myself
себя yourself
совета council
фильм movie
фильм film
рождения birth
пункты items
пункты paragraphs
времени time
либо or
либо either
участник member
участник participant
страница page
участие involvement
участие participation
википедии wikipedia
три three
человека human
автор author
республики republic
внутреннее internal
внутреннее inner
эти these
статей articles
случае case
центр center
центр centre
округ county
округ okrug
округ district
жизни life
жизни lives
генерал general
родился born
мне me
союза union
кто who
связи links
связи linkages
связи communications
день day
именно exactly
период period
община community
индексы indices
индексы indexes
округа districts
округа counties
франции france
группа group
имя name
игры games
цифровой digital
поэтому therefore
санкт sankt
идентификатор identifier
идентификатор id
ширина width
ширина breadth
просто just
регион region
тогда then
конце end
отечественной patriotic
вот here
работал worked
церкви churches
церкви church
клуб club
наук sciences
ввп gdp
больше more
федерации federation
федерации federations
наиболее most
изображения images
изображения image
советский soviet
степени degrees
степени degree
северо northwestern
изображение image
награды honours
награды rewards
награды awards
ранее previously
ранее earlier
ранее formerly
википедия wikipedia
перед before
германии german
германии germany
владимир vladimír
владимир vladimir
москва moscow
системы systems
стала became
стороны sides
стороны parties
совет council
академии academy
две two
николай nicolai
николай nikolai
николай nicholas
николай nikolay
некоторые some
менее less
роль role
юго southwest
дом home
дом dom
дом house
значимость significance
значимость relevance
высоты heights
русский russian
член member
член penis
член dick
член cock
орден order
