les	die
est	ist
une	eine
une	ein
dans	in
catégorie	kategorie
par	von
par	durch
pour	für
sur	auf
qui	wer
que	dass
avec	mit
son	son
pas	nicht
sont	sind
elle	sie
été	sommer
comme	wie
mais	aber
cette	dieser
cette	dieses
cette	diese
pop	pop
deux	zwei
ses	seine
naissance	geburt
aussi	auch
france	frankreich
saint	heiliger
après	nach
fait	gemacht
fait	fakt
entre	zwischen
sous	unter
même	selbst
même	sogar
français	französisch
ont	haben
paris	paris
lui	ihm
lui	er
lieu	ort
autres	sonstige
décès	tod
références	referenzen
liens	links
était	war
commune	gemeinde
ville	stadt
jean	johannes
date	datum
dont	davon
peut	kann
depuis	seitdem
depuis	seit
première	erste
alors	dann
premier	erste
ces	diese
http	http
ainsi	so
film	film
voir	siehe
pays	land
source	quelle
grand	groß
tout	alles
groupe	gruppe
également	auch
titre	titel
monde	welt
nord	norden
années	jahre
bien	gut
contre	gegen
liste	liste
puis	dann
équipe	mannschaft
club	club
sud	süden
partie	teil
avant	vor
non	nein
très	sehr
trois	drei
articles	artikel
guerre	krieg
sans	ohne
saison	jahreszeit
fin	ende
vers	würmer
année	jahr
temps	zeit
plusieurs	mehrere
faire	machen
faire	tun
mars	märz
histoire	geschichte
série	reihe
série	serie
joueur	spieler
mai	mai
tour	tour
mort	tod
juin	juni
jpg	jpg
pierre	pierre
région	region
janvier	januar
septembre	september
juillet	juli
état	zustand
octobre	oktober
place	platz
famille	familie
états	zustände
général	allgemein
avril	april
insee	insee
tous	alle
politique	politik
album	album
décembre	dezember
août	august
todo	todo
novembre	november
avait	hatte
donc	also
prix	preise
prix	preis
align	align
nouvelle	neue
février	februar
département	abteilung
peu	wenig
américain	amerikaner
américain	amerikanisch
soit	entweder
début	anfang
ligne	zeile
suite	fortsetzung
championnat	meisterschaft
encore	wieder
selon	nach
image	bild
vie	leben
lien	link
football	fußball
pendant	während
jeux	spiele
moins	weniger
ouest	westen
page	seite
nouveau	neu
vous	sie
partir	weggehen
village	dorf
université	universität
louis	louis
nombre	anzahl
nombre	zahl
quelques	einige
siècle	jahrhundert
coupe	schnitt
population	bevölkerung
connexes	verwandte
communes	gemeinden
président	präsident
national	national
société	gesellschaft
quatre	vier
cas	fälle
cas	fall
jeu	spiel
genre	gattung
musique	musik
